id,receipt_number,store_id,customer_id,cashier_id,occurred_at,payment_method,item_count,subtotal,vat_amount,total
84,0004-00002354,4,,91,2023-01-25T20:52:00,card,4,18.66,1.80,20.46
85,0003-00001349,3,,9,2023-01-26T11:51:00,mobile,1,7.25,0.73,7.98
86,0003-00002647,3,,9,2023-01-26T16:37:00,cash,13,90.86,10.50,101.36
87,0006-00001341,6,,23,2023-01-26T16:48:00,card,1,5.76,0.23,5.99
88,0006-00001851,6,97,95,2023-01-26T19:10:00,card,13,75.85,10.07,85.92
89,0002-00002633,2,895,85,2023-01-26T19:11:00,card,2,11.27,2.22,13.49
90,0008-00002686,8,,28,2023-01-26T20:58:00,mobile,3,9.69,1.23,10.92
91,0008-00000074,8,,103,2023-01-27T11:36:00,cash,1,5.44,0.54,5.98
92,0002-00000300,2,,77,2023-01-27T11:41:00,card,3,12.67,1.28,13.95
93,0006-00000244,6,,62,2023-01-27T13:32:00,cash,1,3.41,0.34,3.75
94,0007-00001484,7,292,18,2023-01-28T13:13:00,card,1,4.95,1.04,5.99
95,0007-00000651,7,,73,2023-01-28T18:42:00,card,1,3.22,0.68,3.90
96,0008-00001877,8,,29,2023-01-29T09:56:00,card,1,5.36,0.54,5.90
97,0003-00000201,3,899,9,2023-01-29T11:57:00,cash,8,39.79,6.36,46.15
98,0003-00001886,3,,9,2023-01-29T16:04:00,cash,2,27.23,5.71,32.94
99,0002-00002491,2,,42,2023-01-29T16:22:00,card,3,30.04,3.91,33.95
100,0001-00002161,1,,72,2023-01-30T12:03:00,card,1,3.10,0.65,3.75
101,0004-00001452,4,,69,2023-01-30T13:03:00,card,2,9.76,0.97,10.73
102,0007-00002219,7,,55,2023-01-30T16:13:00,cash,3,9.41,1.49,10.90
103,0001-00000026,1,,72,2023-01-30T17:22:00,card,2,5.40,0.90,6.30
104,0004-00002668,4,895,91,2023-02-01T11:13:00,card,2,6.63,0.61,7.24
105,0005-00001291,5,,31,2023-02-01T12:40:00,card,1,1.36,0.14,1.50
106,0003-00000948,3,,9,2023-02-01T13:45:00,cash,2,6.98,1.47,8.45
107,0001-00002655,1,,72,2023-02-01T18:36:00,card,15,77.21,11.48,88.69
108,0007-00000062,7,,73,2023-02-01T20:51:00,card,4,11.33,1.60,12.93
109,0001-00002422,1,,72,2023-02-02T11:25:00,card,3,16.07,1.98,18.05
110,0001-00001522,1,751,72,2023-02-02T11:50:00,cash,4,30.24,4.87,35.11
111,0008-00001860,8,,47,2023-02-02T16:03:00,cash,4,23.24,2.51,25.75
112,0002-00002728,2,,5,2023-02-02T16:08:00,card,2,21.32,3.58,24.90
113,0003-00002261,3,,9,2023-02-03T09:47:00,card,3,8.11,0.83,8.94
114,0006-00002168,6,,23,2023-02-03T16:08:00,cash,1,3.64,0.36,4.00
115,0005-00001470,5,,8,2023-02-03T19:18:00,mobile,8,41.27,5.42,46.69
116,0001-00000045,1,,72,2023-02-04T12:59:00,card,3,27.12,4.34,31.46
117,0008-00002088,8,896,28,2023-02-04T13:39:00,cash,2,6.63,0.85,7.48
118,0002-00002556,2,,98,2023-02-04T19:20:00,card,11,82.71,8.62,91.33
119,0007-00000188,7,,30,2023-02-04T20:22:00,mobile,6,64.33,11.04,75.37
120,0008-00000881,8,594,29,2023-02-04T20:56:00,card,4,19.39,2.49,21.88
121,0004-00001211,4,422,91,2023-02-05T15:48:00,card,6,45.45,5.22,50.67
122,0005-00001493,5,,16,2023-02-06T10:47:00,card,2,4.60,0.67,5.27
123,0002-00001271,2,318,77,2023-02-07T12:40:00,card,1,6.60,1.38,7.98
124,0006-00001836,6,,62,2023-02-07T19:38:00,card,2,12.36,2.59,14.95
125,0008-00000564,8,,21,2023-02-07T19:58:00,card,1,4.81,0.19,5.00
126,0001-00002661,1,,72,2023-02-07T20:14:00,cash,4,46.90,3.00,49.90
127,0003-00001560,3,,9,2023-02-08T09:39:00,card,1,3.26,0.69,3.95
128,0005-00000124,5,,99,2023-02-08T14:17:00,card,2,12.18,1.88,14.06
129,0001-00002209,1,284,72,2023-02-08T18:51:00,card,1,26.37,1.05,27.42
130,0008-00000931,8,,29,2023-02-10T11:31:00,mobile,1,3.51,0.74,4.25
131,0005-00000051,5,339,8,2023-02-10T12:56:00,card,2,10.51,2.20,12.71
132,0008-00002095,8,,61,2023-02-10T13:52:00,card,3,41.45,5.51,46.96
133,0001-00001792,1,83,72,2023-02-10T19:50:00,card,1,9.08,1.91,10.99
134,0007-00002402,7,,73,2023-02-11T09:46:00,card,1,0.33,0.07,0.40
135,0001-00000455,1,802,72,2023-02-11T09:56:00,cash,1,7.02,1.47,8.49
136,0004-00000446,4,,91,2023-02-11T15:39:00,card,1,25.42,2.54,27.96
137,0004-00000574,4,,69,2023-02-11T21:06:00,card,4,26.47,4.55,31.02
138,0005-00002286,5,,89,2023-02-13T17:13:00,card,3,14.73,3.10,17.83
139,0002-00002152,2,,98,2023-02-14T10:19:00,cash,1,1.59,0.16,1.75
140,0004-00001420,4,875,91,2023-02-14T10:24:00,mobile,2,13.14,2.77,15.91
141,0005-00002092,5,,99,2023-02-14T13:42:00,cash,2,20.21,1.24,21.45
142,0008-00001081,8,,94,2023-02-15T09:13:00,card,1,4.95,1.04,5.99
143,0007-00001840,7,,55,2023-02-15T09:44:00,card,4,59.25,5.09,64.34
144,0003-00002978,3,,9,2023-02-15T19:13:00,card,1,2.47,0.52,2.99
145,0006-00001747,6,,71,2023-02-16T17:37:00,mobile,4,23.04,3.38,26.42
146,0008-00001868,8,502,61,2023-02-16T21:45:00,mobile,4,19.53,3.70,23.23
147,0006-00002719,6,,95,2023-02-17T10:04:00,mobile,1,2.47,0.52,2.99
148,0006-00000005,6,,71,2023-02-17T11:56:00,card,4,15.58,2.80,18.38
149,0008-00000552,8,,61,2023-02-17T20:54:00,card,1,5.74,1.21,6.95
150,0001-00001723,1,,72,2023-02-18T12:01:00,card,3,26.69,5.10,31.79
151,0006-00002051,6,709,62,2023-02-18T12:06:00,card,2,4.15,0.47,4.62
152,0001-00001594,1,,72,2023-02-18T12:36:00,card,2,5.28,0.71,5.99
153,0002-00001833,2,,85,2023-02-18T13:00:00,card,4,12.62,2.31,14.93
154,0004-00002616,4,,91,2023-02-18T19:55:00,card,5,70.45,12.18,82.63
155,0004-00002006,4,,69,2023-02-19T12:01:00,card,5,42.69,8.69,51.38
156,0002-00000116,2,,98,2023-02-19T13:29:00,card,4,35.68,5.01,40.69
157,0004-00000542,4,,69,2023-02-19T15:48:00,cash,3,26.65,4.30,30.95
158,0006-00000172,6,255,62,2023-02-19T18:05:00,card,8,56.99,6.39,63.38
159,0001-00000974,1,,72,2023-02-19T18:39:00,card,1,2.05,0.21,2.26
160,0004-00001023,4,,91,2023-02-19T19:26:00,card,3,13.45,2.03,15.48
161,0001-00000529,1,,72,2023-02-20T09:52:00,cash,4,53.63,8.77,62.40
162,0005-00001373,5,,16,2023-02-20T11:10:00,card,1,10.73,2.25,12.98
163,0003-00001600,3,,9,2023-02-20T12:54:00,card,4,29.58,3.28,32.86
164,0004-00002957,4,,91,2023-02-21T13:35:00,card,2,3.94,0.34,4.28
165,0008-00002456,8,,61,2023-02-22T15:02:00,card,1,2.47,0.52,2.99
166,0008-00002027,8,679,47,2023-02-22T17:32:00,mobile,11,90.55,13.44,103.99
167,0005-00000392,5,,89,2023-02-22T18:32:00,card,2,3.50,0.49,3.99
168,0004-00001275,4,535,91,2023-02-22T18:53:00,card,6,23.63,3.36,26.99
169,0002-00000621,2,426,98,2023-02-22T19:58:00,card,1,6.53,1.37,7.90
170,0004-00002341,4,,69,2023-02-22T20:55:00,cash,5,18.14,3.00,21.14
171,0001-00002919,1,,72,2023-02-23T10:29:00,card,1,3.27,0.69,3.96
172,0006-00000109,6,,95,2023-02-23T12:01:00,mobile,1,0.91,0.04,0.95
173,0002-00001321,2,,5,2023-02-23T18:34:00,card,5,15.28,2.84,18.12
174,0006-00001370,6,,95,2023-02-23T19:27:00,card,1,4.92,1.03,5.95
175,0003-00002173,3,293,9,2023-02-24T13:07:00,cash,5,21.38,4.21,25.59
176,0007-00002264,7,77,18,2023-02-24T17:21:00,cash,2,15.16,2.29,17.45
177,0002-00002714,2,,98,2023-02-24T17:31:00,card,3,10.53,1.39,11.92
178,0003-00002672,3,757,9,2023-02-24T17:48:00,card,3,27.88,1.31,29.19
179,0007-00000567,7,,55,2023-02-24T18:12:00,cash,2,16.23,0.76,16.99
180,0003-00002397,3,,9,2023-02-24T20:00:00,card,2,9.49,1.99,11.48
181,0008-00000134,8,339,29,2023-02-24T20:59:00,cash,1,3.30,0.69,3.99
182,0006-00002462,6,,95,2023-02-25T15:02:00,cash,2,9.69,1.24,10.93
183,0004-00002478,4,,91,2023-02-25T15:14:00,card,4,9.59,1.01,10.60
184,0006-00002945,6,,62,2023-02-25T18:30:00,card,2,25.55,5.37,30.92
185,0008-00002533,8,,65,2023-02-25T18:53:00,card,5,29.01,3.79,32.80
186,0008-00002988,8,,61,2023-02-26T20:09:00,card,2,31.78,6.67,38.45
187,0004-00000007,4,,91,2023-02-26T21:12:00,card,4,18.15,3.82,21.97
188,0007-00002180,7,87,73,2023-02-27T10:52:00,card,1,1.23,0.26,1.49
189,0007-00002245,7,,73,2023-02-27T11:27:00,cash,4,25.75,3.91,29.66
190,0005-00000330,5,,8,2023-02-27T20:51:00,card,6,26.54,4.76,31.30
191,0001-00000701,1,20,72,2023-02-28T14:43:00,mobile,7,63.05,7.37,70.42
192,0004-00002921,4,,69,2023-02-28T19:03:00,card,1,39.65,8.33,47.98
193,0005-00001287,5,,31,2023-03-01T11:27:00,card,3,13.17,1.76,14.93
194,0005-00001431,5,,31,2023-03-01T17:22:00,card,5,35.01,5.33,40.34
195,0008-00001120,8,,84,2023-03-01T18:51:00,card,1,12.98,0.52,13.50
196,0001-00001917,1,,72,2023-03-02T10:21:00,cash,11,43.88,4.96,48.84
197,0003-00002350,3,,9,2023-03-02T12:48:00,cash,1,1.91,0.08,1.99
198,0007-00000971,7,,18,2023-03-02T15:39:00,mobile,3,32.08,6.73,38.81
199,0006-00000825,6,,95,2023-03-03T11:30:00,card,1,5.76,0.23,5.99
200,0007-00001125,7,730,73,2023-03-03T13:13:00,mobile,2,3.16,0.32,3.48
201,0001-00001499,1,,72,2023-03-03T18:25:00,card,1,5.72,0.23,5.95
202,0001-00002774,1,,72,2023-03-03T18:51:00,cash,1,4.12,0.87,4.99
203,0003-00002933,3,,9,2023-03-03T19:43:00,card,7,42.05,5.74,47.79
204,0005-00001602,5,129,99,2023-03-04T09:01:00,card,4,19.85,2.87,22.72
205,0003-00002367,3,802,9,2023-03-04T11:07:00,card,2,16.91,2.97,19.88
206,0003-00001089,3,,9,2023-03-04T12:37:00,cash,1,1.81,0.18,1.99
207,0001-00001785,1,531,72,2023-03-04T13:56:00,card,3,19.30,2.83,22.13
208,0002-00002222,2,,77,2023-03-04T14:03:00,cash,4,22.93,4.48,27.41
209,0001-00000424,1,,72,2023-03-05T10:03:00,card,4,35.20,6.00,41.20
210,0004-00001993,4,,69,2023-03-05T14:16:00,card,5,36.69,5.50,42.19
211,0008-00001623,8,,94,2023-03-05T20:05:00,card,2,1.80,0.18,1.98
212,0005-00001119,5,,99,2023-03-06T11:16:00,cash,2,12.39,2.60,14.99
213,0001-00001717,1,,72,2023-03-07T12:05:00,card,4,26.92,5.07,31.99
214,0005-00000645,5,,89,2023-03-07T12:06:00,card,1,2.44,0.51,2.95
215,0002-00002916,2,,85,2023-03-07T19:09:00,cash,6,94.88,16.79,111.67
216,0003-00001739,3,,9,2023-03-07T19:22:00,cash,1,2.72,0.27,2.99
217,0003-00000274,3,,9,2023-03-07T20:35:00,card,1,2.87,0.12,2.99
218,0008-00000899,8,,29,2023-03-08T10:01:00,card,5,27.26,2.46,29.72
219,0001-00000015,1,,72,2023-03-09T11:59:00,card,4,21.54,3.92,25.46
220,0006-00000595,6,,62,2023-03-09T20:15:00,mobile,8,117.62,14.04,131.66
221,0003-00000427,3,,9,2023-03-10T10:16:00,card,2,16.36,2.25,18.61
222,0006-00002179,6,124,76,2023-03-10T10:39:00,card,3,10.69,2.24,12.93
223,0006-00000168,6,531,95,2023-03-10T13:08:00,cash,1,19.80,4.16,23.96
224,0004-00001330,4,,69,2023-03-10T18:40:00,card,1,4.88,1.02,5.90
225,0002-00001068,2,,77,2023-03-10T20:19:00,card,1,17.33,3.64,20.97
226,0003-00002082,3,,9,2023-03-10T21:12:00,mobile,1,1.83,0.18,2.01
227,0007-00001301,7,883,55,2023-03-12T15:56:00,card,1,1.81,0.18,1.99
228,0005-00000619,5,,99,2023-03-12T19:35:00,card,1,2.44,0.51,2.95
229,0003-00002980,3,,9,2023-03-12T19:42:00,card,1,7.43,1.56,8.99
230,0002-00000210,2,200,77,2023-03-13T13:50:00,card,1,2.03,0.20,2.23
231,0007-00001657,7,,55,2023-03-14T11:52:00,card,1,1.91,0.08,1.99
232,0004-00002850,4,173,91,2023-03-14T12:14:00,card,1,4.53,0.45,4.98
233,0002-00000755,2,,5,2023-03-15T10:06:00,cash,1,2.47,0.52,2.99
234,0004-00001409,4,676,69,2023-03-15T15:56:00,card,3,17.33,3.64,20.97
235,0005-00000774,5,221,89,2023-03-15T17:22:00,card,5,42.91,6.51,49.42
236,0006-00002111,6,,62,2023-03-16T12:53:00,card,2,11.56,2.43,13.99
237,0002-00001741,2,,42,2023-03-16T13:47:00,mobile,2,9.22,1.74,10.96
238,0004-00000204,4,,69,2023-03-16T15:05:00,cash,3,8.45,1.53,9.98
239,0005-00000304,5,,99,2023-03-17T10:23:00,card,7,58.07,11.25,69.32
240,0003-00000022,3,,9,2023-03-17T12:43:00,mobile,4,27.70,3.82,31.52
241,0004-00000449,4,840,69,2023-03-17T14:36:00,card,1,2.48,0.52,3.00
242,0007-00000435,7,193,55,2023-03-17T17:00:00,cash,1,5.61,1.18,6.79
243,0006-00002479,6,886,23,2023-03-17T19:08:00,card,5,35.66,7.18,42.84
244,0004-00000603,4,693,91,2023-03-17T21:38:00,mobile,6,32.28,6.58,38.86
245,0001-00000280,1,,72,2023-03-18T11:50:00,card,1,3.35,0.13,3.48
246,0008-00000039,8,,29,2023-03-18T12:26:00,card,4,26.57,4.69,31.26
247,0005-00000747,5,900,8,2023-03-18T13:14:00,card,2,7.12,1.35,8.47
248,0007-00001541,7,,109,2023-03-18T16:57:00,card,1,1.87,0.08,1.95
249,0008-00002517,8,,94,2023-03-18T17:36:00,mobile,6,55.81,9.70,65.51
250,0005-00000660,5,,89,2023-03-18T18:00:00,cash,12,123.77,12.69,136.46
251,0002-00001832,2,785,5,2023-03-18T19:30:00,card,12,74.08,10.64,84.72
252,0005-00002112,5,293,89,2023-03-19T13:02:00,mobile,4,40.90,3.08,43.98
253,0007-00002151,7,,73,2023-03-19T19:00:00,card,2,11.87,0.56,12.43
254,0003-00001767,3,,9,2023-03-20T18:35:00,card,3,8.50,1.38,9.88
255,0005-00000290,5,,89,2023-03-21T12:40:00,cash,2,7.74,0.73,8.47
256,0001-00000719,1,,72,2023-03-21T18:02:00,card,8,58.42,5.93,64.35
257,0007-00002428,7,,55,2023-03-22T16:43:00,cash,2,4.55,0.40,4.95
258,0002-00002081,2,,42,2023-03-22T20:58:00,cash,1,6.60,1.38,7.98
259,0003-00000979,3,,9,2023-03-23T13:48:00,card,1,3.30,0.69,3.99
260,0002-00002866,2,,98,2023-03-23T14:01:00,cash,2,11.88,1.11,12.99
261,0008-00002684,8,175,103,2023-03-23T14:29:00,cash,5,34.25,3.18,37.43
262,0006-00002803,6,,95,2023-03-23T18:58:00,mobile,2,3.34,0.60,3.94
263,0007-00002454,7,579,55,2023-03-24T13:14:00,cash,1,5.75,0.23,5.98
264,0004-00001663,4,,69,2023-03-24T17:05:00,cash,1,2.48,0.52,3.00
265,0007-00002241,7,578,55,2023-03-24T17:05:00,card,1,34.33,1.37,35.70
266,0007-00001665,7,246,30,2023-03-24T19:39:00,card,2,5.95,0.66,6.61
267,0005-00002207,5,308,99,2023-03-24T20:32:00,voucher,1,2.68,0.27,2.95
268,0002-00000724,2,,85,2023-03-24T20:33:00,voucher,3,21.47,2.22,23.69
269,0003-00001319,3,,9,2023-03-25T10:10:00,card,2,16.93,1.00,17.93
270,0008-00001094,8,77,94,2023-03-25T11:34:00,card,1,9.28,0.37,9.65
271,0005-00000661,5,489,8,2023-03-25T11:36:00,card,3,25.98,5.46,31.44
272,0008-00001021,8,,84,2023-03-25T11:39:00,cash,4,25.90,1.53,27.43
273,0004-00000987,4,531,69,2023-03-25T12:13:00,card,2,6.85,0.80,7.65
274,0005-00002382,5,,31,2023-03-25T13:31:00,cash,2,14.51,1.45,15.96
275,0005-00000043,5,,99,2023-03-25T17:30:00,card,5,25.33,5.32,30.65
276,0004-00000848,4,,69,2023-03-25T18:01:00,card,6,75.69,13.92,89.61
277,0007-00001278,7,297,109,2023-03-25T20:15:00,card,5,20.84,3.98,24.82
278,0005-00002157,5,317,99,2023-03-26T14:37:00,cash,1,4.54,0.45,4.99
279,0004-00001472,4,,69,2023-03-27T09:26:00,mobile,3,7.60,1.12,8.72
280,0005-00002381,5,692,16,2023-03-27T10:25:00,card,5,17.57,2.90,20.47
281,0004-00001873,4,834,69,2023-03-27T16:54:00,cash,2,17.65,2.75,20.40
282,0005-00002305,5,,99,2023-03-28T13:39:00,cash,16,81.34,12.82,94.16
283,0001-00002127,1,4,72,2023-03-28T14:32:00,mobile,1,2.47,0.52,2.99
284,0007-00001466,7,,10,2023-03-29T10:34:00,card,1,9.90,2.08,11.98
285,0004-00001728,4,,69,2023-03-29T10:38:00,card,3,17.53,3.39,20.92
286,0004-00002895,4,,91,2023-03-29T14:11:00,card,1,11.54,2.42,13.96
287,0008-00000123,8,273,47,2023-03-29T15:10:00,card,5,12.82,2.39,15.21
288,0004-00002577,4,316,69,2023-03-29T20:30:00,card,1,4.09,0.86,4.95
289,0002-00000230,2,821,42,2023-03-30T11:03:00,cash,1,5.78,1.21,6.99
290,0003-00001223,3,,9,2023-03-30T19:14:00,cash,2,12.10,2.30,14.40
291,0005-00002131,5,358,99,2023-03-30T19:18:00,card,7,41.30,5.30,46.60
292,0007-00001633,7,,73,2023-03-30T20:13:00,card,3,31.76,1.87,33.63
293,0005-00002982,5,,8,2023-03-31T13:22:00,cash,1,2.71,0.27,2.98
294,0007-00002379,7,359,55,2023-03-31T18:10:00,card,3,16.78,1.15,17.93
295,0001-00001513,1,,72,2023-03-31T18:20:00,card,10,72.84,10.78,83.62
296,0004-00001820,4,,69,2023-03-31T20:05:00,cash,2,21.05,3.94,24.99
297,0001-00000413,1,552,72,2023-04-01T12:26:00,mobile,1,2.50,0.25,2.75
298,0001-00001422,1,,72,2023-04-01T12:43:00,card,1,2.71,0.27,2.98
299,0004-00002970,4,676,91,2023-04-01T14:07:00,card,2,21.48,4.31,25.79
300,0008-00000526,8,,84,2023-04-01T15:33:00,card,1,4.79,0.19,4.98
301,0003-00002485,3,,9,2023-04-01T15:54:00,card,1,4.09,0.86,4.95
302,0007-00000840,7,470,55,2023-04-01T19:38:00,voucher,2,13.95,1.18,15.13
303,0001-00001582,1,,72,2023-04-01T19:48:00,card,2,14.18,1.26,15.44
304,0002-00000439,2,413,5,2023-04-02T11:59:00,cash,4,10.97,1.50,12.47
305,0008-00001218,8,,28,2023-04-03T09:56:00,card,2,26.40,5.54,31.94
306,0002-00002204,2,,85,2023-04-03T20:03:00,voucher,1,2.47,0.52,2.99
307,0004-00002953,4,,69,2023-04-03T20:11:00,card,2,18.05,2.44,20.49
308,0004-00002483,4,576,91,2023-04-03T21:41:00,card,5,34.86,6.69,41.55
309,0003-00001664,3,,9,2023-04-04T19:20:00,cash,7,69.94,14.29,84.23
310,0002-00002566,2,,42,2023-04-05T11:17:00,mobile,1,10.45,1.04,11.49
311,0003-00000877,3,,9,2023-04-05T11:25:00,card,2,64.03,3.87,67.90
312,0006-00001952,6,482,71,2023-04-05T13:52:00,card,1,8.26,1.73,9.99
313,0005-00001587,5,,31,2023-04-05T14:57:00,cash,1,0.95,0.04,0.99
314,0007-00002073,7,,10,2023-04-05T19:00:00,mobile,2,13.44,1.34,14.78
315,0008-00001620,8,,61,2023-04-06T09:09:00,cash,1,36.33,7.63,43.96
316,0008-00000883,8,283,84,2023-04-06T12:55:00,card,5,16.23,2.30,18.53
317,0008-00002964,8,381,103,2023-04-06T13:30:00,card,3,8.70,1.08,9.78
