id,sku,ean13,name,category_id,supplier_id,brand,unit,unit_price,cost_price,vat_rate,active
66,SKU-000066,8469146708782,Azúcar blanco Buenamesa 1kg,25,25,Buenamesa,kg,0.99,0.77,0.10,true
67,SKU-000067,8440977168471,Detergente líquido Puente Viejo 52,37,9,Puente Viejo,ud,5.99,4.89,0.21,true
68,SKU-000068,8428418986075,Bombilla LED El Molinar,56,1,El Molinar,ud,3.49,3.08,0.21,true
69,SKU-000069,8449212687555,Polos de hielo Puente Viejo pack 4,35,36,Puente Viejo,pack,4.99,4.39,0.10,true
70,SKU-000070,8420715806711,Pasta de dientes Monteclaro,42,15,Monteclaro,ud,3.50,2.82,0.21,true
71,SKU-000071,8482851641601,Bizcocho Ribera Alta,22,9,Ribera Alta,ud,2.99,2.47,0.10,true
72,SKU-000072,8439713583395,Alimento para pájaros Selecta,53,38,Selecta,ud,4.95,3.70,0.21,true
73,SKU-000073,8480923699765,Sal marina Buenamesa,20,36,Buenamesa,kg,0.99,0.76,0.10,true
74,SKU-000074,8452025633411,Alimento para pájaros Ribera Alta,53,41,Ribera Alta,ud,3.99,3.18,0.21,true
75,SKU-000075,8442027453490,Agua mineral Vega Real pack 12,26,29,Vega Real,pack,2.49,2.26,0.21,true
76,SKU-000076,8492076906409,Nata para cocinar Monteclaro,15,22,Monteclaro,ud,1.99,1.59,0.04,true
77,SKU-000077,8496090120544,Macarrones Sabor de Antaño,17,23,Sabor de Antaño,ud,1.00,0.83,0.10,true
78,SKU-000078,8418472547510,Cuchillas de afeitar Ribera Alta pack 4,45,3,Ribera Alta,pack,9.99,7.76,0.21,true
79,SKU-000079,8437319999152,Tomate frito Ribera Alta,20,35,Ribera Alta,ud,1.49,1.11,0.10,true
80,SKU-000080,8475996503460,Polos de hielo Ribera Alta pack 6,35,19,Ribera Alta,pack,2.95,2.34,0.10,true
81,SKU-000081,8409497446377,Queso curado cuña Valdehermoso,13,30,Valdehermoso,ud,7.99,6.48,0.04,true
82,SKU-000082,8451311055135,Cerveza sin alcohol Puente Viejo pack 4,28,8,Puente Viejo,pack,5.95,4.88,0.21,true
83,SKU-000083,8424868381736,Desodorante Monteclaro,47,50,Monteclaro,ud,4.99,3.32,0.21,true
84,SKU-000084,8438577233279,Solomillo de cerdo Puente Viejo,11,39,Puente Viejo,kg,11.95,10.06,0.04,true
85,SKU-000085,8459755011311,Pastillas lavavajillas Los Almendros pack 12,40,1,Los Almendros,pack,7.99,5.74,0.21,true
86,SKU-000086,8422364991282,Bizcocho Campo Sur,22,10,Campo Sur,ud,3.99,3.41,0.10,true
87,SKU-000087,8442779946110,Cereales de desayuno Origen,21,20,Origen,ud,2.99,2.28,0.10,true
88,SKU-000088,8419364170953,Pizza congelada Buenamesa,36,3,Buenamesa,ud,5.99,4.74,0.10,true
89,SKU-000089,8443647347244,Alimento para pájaros Campo Sur,53,8,Campo Sur,ud,2.99,2.57,0.21,true
90,SKU-000090,8415832492015,Cuchillas de afeitar Sabor de Antaño pack 6,45,21,Sabor de Antaño,pack,6.49,5.25,0.21,true
91,SKU-000091,8452781925850,Pienso para perro Vega Real 1kg,51,3,Vega Real,kg,3.49,3.19,0.21,true
92,SKU-000092,8461818777973,Lavavajillas a mano Tierra Nuestra,40,36,Tierra Nuestra,ud,2.25,1.99,0.21,true
93,SKU-000093,8488821947278,Merluza fresca Ribera Alta 500g,12,26,Ribera Alta,kg,13.99,11.57,0.04,true
94,SKU-000094,8402085968091,Bolsas de basura Buenamesa pack 4,55,41,Buenamesa,pack,2.99,2.05,0.21,true
95,SKU-000095,8465849461009,Guisantes congelados Valdehermoso,33,11,Valdehermoso,ud,1.99,1.67,0.10,true
96,SKU-000096,8451590553780,Lejía Sabor de Antaño 1L,38,35,Sabor de Antaño,L,1.99,1.67,0.21,true
97,SKU-000097,8485794874334,Arena para gato Selecta,52,3,Selecta,ud,4.95,3.99,0.21,true
98,SKU-000098,8416769909638,Protegeslips Sabor de Antaño pack 12,46,30,Sabor de Antaño,pack,1.49,1.26,0.21,true
99,SKU-000099,8445653843550,Ginebra Selecta,32,4,Selecta,ud,15.75,10.33,0.21,true
100,SKU-000100,8428527773115,Refresco de cola El Molinar pack 12,27,14,El Molinar,pack,3.00,2.28,0.21,true
101,SKU-000101,8473762930090,Yogur natural Los Almendros pack 12,15,31,Los Almendros,pack,2.99,2.68,0.04,true
102,SKU-000102,8414956203446,Huevos camperos L Valdehermoso pack 12,16,43,Valdehermoso,pack,3.00,2.67,0.04,true
103,SKU-000103,8453508743085,Agua con gas Casa Robles pack 6,26,27,Casa Robles,pack,2.99,2.45,0.21,true
104,SKU-000104,8493156489805,Pan de molde integral Sabor de Antaño,14,6,Sabor de Antaño,ud,2.99,2.05,0.04,true
105,SKU-000105,8465150850356,Bombilla LED Valdehermoso,56,30,Valdehermoso,ud,6.99,5.22,0.21,true
106,SKU-000106,8414704875239,Vaso de cristal Casa Robles,54,29,Casa Robles,ud,3.49,1.72,0.21,true
107,SKU-000107,8486180734911,Champú Casa Robles,43,30,Casa Robles,ud,5.99,4.14,0.21,true
108,SKU-000108,8460709326993,Compresas Monteclaro pack 6,46,36,Monteclaro,pack,3.95,3.25,0.21,true
109,SKU-000109,8414279179718,Barra de pan Valdehermoso,14,14,Valdehermoso,ud,0.99,0.60,0.04,true
110,SKU-000110,8474209894784,Zumo de naranja Vega Real 2L,30,18,Vega Real,L,1.99,1.60,0.21,true
111,SKU-000111,8460593277791,Aceite de oliva virgen extra Tierra Nuestra 1L,19,3,Tierra Nuestra,L,6.99,5.44,0.10,true
112,SKU-000112,8423299411265,Helado de vainilla Tierra Nuestra,35,47,Tierra Nuestra,ud,3.99,3.36,0.10,true
113,SKU-000113,8470769332391,Pavo en lonchas Sabor de Antaño,13,40,Sabor de Antaño,ud,2.99,2.45,0.04,true
114,SKU-000114,8479573747735,Jamón serrano lonchas Los Almendros,13,30,Los Almendros,ud,5.95,4.37,0.04,true
115,SKU-000115,8498592997570,Crema hidratante Tierra Nuestra,44,39,Tierra Nuestra,ud,6.99,5.97,0.21,true
116,SKU-000116,8451994733405,Pechuga de pollo Buenamesa 1kg,11,40,Buenamesa,kg,6.49,5.47,0.04,true
117,SKU-000117,8473283156016,Cepillo de dientes Los Almendros 60,42,39,Los Almendros,ud,2.99,2.27,0.21,true
118,SKU-000118,8481716371660,Vino tinto Rioja Monteclaro,29,16,Monteclaro,ud,5.99,5.06,0.21,true
119,SKU-000119,8457980619784,Papel higiénico Origen pack 12,39,10,Origen,pack,6.99,5.71,0.21,true
120,SKU-000120,8428940206504,Bolsas de basura Sabor de Antaño pack 4,55,37,Sabor de Antaño,pack,2.49,1.57,0.21,true
121,SKU-000121,8412324320887,Pan de molde integral La Almazara,14,49,La Almazara,ud,2.75,2.09,0.04,true
122,SKU-000122,8417769387709,Gel infantil Origen,50,31,Origen,ud,2.95,2.18,0.04,true
123,SKU-000123,8401059895043,Cereales de desayuno Casa Robles,21,36,Casa Robles,ud,2.50,2.12,0.10,true
124,SKU-000124,8413907066680,Gel infantil Valdehermoso 34,50,4,Valdehermoso,ud,3.99,3.39,0.04,true
125,SKU-000125,8487632741150,Arroz integral Valdehermoso,17,31,Valdehermoso,kg,2.00,1.74,0.10,true
126,SKU-000126,8457548086881,Pienso para perro Los Almendros,51,11,Los Almendros,kg,2.50,2.09,0.21,true
127,SKU-000127,8455582869927,Merluza congelada Ribera Alta,34,50,Ribera Alta,ud,6.99,5.60,0.10,true
128,SKU-000128,8430879343045,Croquetas Tierra Nuestra,36,3,Tierra Nuestra,ud,3.99,3.52,0.10,true
129,SKU-000129,8400474647336,Avena en copos Los Almendros,21,50,Los Almendros,ud,2.99,2.49,0.10,true
130,SKU-000130,8478044945441,Bombilla LED Sabor de Antaño,56,1,Sabor de Antaño,ud,4.95,3.71,0.21,true
131,SKU-000131,8477342295005,Sartén antiadherente Campo Sur,54,30,Campo Sur,ud,10.99,5.69,0.21,true
132,SKU-000132,8457928927247,Bolsas de basura Puente Viejo pack 4,55,27,Puente Viejo,pack,2.95,1.90,0.21,false
133,SKU-000133,8416726008978,Compresas Puente Viejo pack 6,46,10,Puente Viejo,pack,1.99,1.66,0.21,true
134,SKU-000134,8439662998806,Pizza congelada Sabor de Antaño,36,33,Sabor de Antaño,ud,3.49,2.80,0.10,true
135,SKU-000135,8421584802903,Arena para gato Los Almendros,52,27,Los Almendros,ud,7.49,6.34,0.21,true
136,SKU-000136,8488963063843,Cuchillas de afeitar Ribera Alta pack 12,45,34,Ribera Alta,pack,7.95,6.66,0.21,true
137,SKU-000137,8489561483644,Piña en almíbar El Molinar,18,10,El Molinar,ud,1.49,1.24,0.10,true
138,SKU-000138,8435041228885,Fideos finos Valdehermoso,17,23,Valdehermoso,ud,1.75,1.44,0.10,true
139,SKU-000139,8478551681658,Queso fresco batido Campo Sur,15,35,Campo Sur,ud,2.99,2.47,0.04,true
140,SKU-000140,8417385489399,Fregasuelos Casa Robles,38,29,Casa Robles,ud,2.99,2.33,0.21,true
141,SKU-000141,8464193698307,Pizza congelada La Almazara,36,12,La Almazara,ud,4.50,3.91,0.10,false
142,SKU-000142,8450825096269,Muslo de pollo Buenamesa 1kg,11,1,Buenamesa,kg,4.49,3.79,0.04,true
143,SKU-000143,8488203926211,Merluza fresca Casa Robles,12,19,Casa Robles,kg,9.95,8.50,0.04,true
144,SKU-000144,8427752279324,Pilas AA Casa Robles pack 12,55,12,Casa Robles,pack,2.95,1.89,0.21,true
145,SKU-000145,8493656672493,Pienso para perro Monteclaro 1kg,51,8,Monteclaro,kg,2.75,2.46,0.21,true
146,SKU-000146,8439220255273,Lejía Sabor de Antaño 1.5L,38,27,Sabor de Antaño,L,1.49,1.15,0.21,true
147,SKU-000147,8442955182394,Espaguetis Los Almendros,17,18,Los Almendros,ud,0.99,0.89,0.10,true
148,SKU-000148,8416330003529,Berberechos Selecta,18,39,Selecta,ud,3.00,2.28,0.10,true
149,SKU-000149,8476988941666,Galletas de chocolate Origen,22,13,Origen,ud,3.99,3.51,0.10,true
150,SKU-000150,8486384040078,Infusión manzanilla Tierra Nuestra,31,35,Tierra Nuestra,ud,2.00,1.58,0.21,true
151,SKU-000151,8430925420966,Nata para cocinar Monteclaro 75,15,18,Monteclaro,ud,1.95,1.59,0.04,true
152,SKU-000152,8462004041595,Bizcocho Buenamesa,22,39,Buenamesa,ud,2.49,2.20,0.10,true
153,SKU-000153,8431591922150,Avena en copos Origen,21,8,Origen,ud,2.99,2.38,0.10,true
154,SKU-000154,8464026282864,Pienso para gato Vega Real 500g,52,19,Vega Real,kg,3.49,3.02,0.21,true
155,SKU-000155,8457412408924,Alimento para pájaros La Almazara,53,36,La Almazara,ud,2.99,2.31,0.21,true
156,SKU-000156,8425835421592,Cerveza sin alcohol Doña Elena pack 12,28,21,Doña Elena,pack,6.99,5.54,0.21,true
157,SKU-000157,8445819305373,Champú El Molinar,43,49,El Molinar,ud,5.49,4.71,0.21,true
158,SKU-000158,8495920291904,Cerveza sin alcohol Doña Elena pack 6,28,26,Doña Elena,pack,3.99,3.08,0.21,true
159,SKU-000159,8411352031888,Ginebra Valdehermoso 5,32,15,Valdehermoso,ud,24.99,18.29,0.21,true
160,SKU-000160,8470064260887,Sal marina Sabor de Antaño 500g,20,36,Sabor de Antaño,kg,0.50,0.43,0.10,true
161,SKU-000161,8454610349370,Protegeslips La Almazara pack 6,46,13,La Almazara,pack,1.99,1.73,0.21,true
162,SKU-000162,8408207424995,Fideos finos Vega Real,17,48,Vega Real,ud,1.49,1.16,0.10,true
163,SKU-000163,8477258247136,Vaso de cristal Valdehermoso,54,1,Valdehermoso,ud,3.25,2.17,0.21,true
164,SKU-000164,8488036159961,Champú Puente Viejo,43,22,Puente Viejo,ud,5.99,4.84,0.21,true
165,SKU-000165,8482973900129,Gel infantil Selecta,50,40,Selecta,ud,3.99,3.14,0.04,true
166,SKU-000166,8406476027145,Detergente líquido Vega Real,37,47,Vega Real,ud,8.25,6.65,0.21,true
167,SKU-000167,8476301342545,Chuleta de cordero Origen 500g,11,47,Origen,kg,19.95,17.85,0.04,true
168,SKU-000168,8416159178170,Cuchillas de afeitar Vega Real pack 6,45,30,Vega Real,pack,10.95,8.52,0.21,true
169,SKU-000169,8474786991654,Queso curado cuña Puente Viejo,13,32,Puente Viejo,ud,4.50,4.01,0.04,true
170,SKU-000170,8413768290729,Detergente líquido Valdehermoso,37,32,Valdehermoso,ud,7.99,6.73,0.21,true
171,SKU-000171,8470787407309,Avena en copos El Molinar,21,19,El Molinar,ud,1.49,1.21,0.10,true
172,SKU-000172,8419604280442,Sartén antiadherente Ribera Alta,54,16,Ribera Alta,ud,14.50,7.93,0.21,true
173,SKU-000173,8482392702281,Pan de molde integral Vega Real,14,36,Vega Real,ud,1.95,1.63,0.04,true
174,SKU-000174,8410793815644,Arena para gato Puente Viejo,52,23,Puente Viejo,ud,4.49,3.45,0.21,true
175,SKU-000175,8416379421278,Compresas El Molinar pack 12,46,49,El Molinar,pack,2.95,2.52,0.21,true
176,SKU-000176,8451507229388,Guisantes congelados Buenamesa,33,8,Buenamesa,ud,1.49,1.20,0.10,true
177,SKU-000177,8493684953861,Limpiacristales Selecta,38,40,Selecta,ud,3.95,3.24,0.21,true
178,SKU-000178,8409131548290,Merluza congelada Tierra Nuestra,34,25,Tierra Nuestra,ud,5.99,4.92,0.10,true
179,SKU-000179,8492553729422,Pañales talla 3 Puente Viejo pack 4,48,8,Puente Viejo,pack,12.75,10.93,0.04,true
180,SKU-000180,8454307899676,Fideos finos Campo Sur,17,1,Campo Sur,ud,0.99,0.81,0.10,false
181,SKU-000181,8469726358192,Helado de vainilla Casa Robles,35,9,Casa Robles,ud,3.50,3.17,0.10,true
182,SKU-000182,8482889143023,Pavo en lonchas Los Almendros,13,21,Los Almendros,ud,2.75,2.48,0.04,true
183,SKU-000183,8480494525319,Leche entera Sabor de Antaño 2L,15,33,Sabor de Antaño,L,0.95,0.73,0.04,true
184,SKU-000184,8422791276785,Bombilla LED Tierra Nuestra 47,56,40,Tierra Nuestra,ud,7.99,6.82,0.21,true
185,SKU-000185,8467399838140,Patatas fritas Valdehermoso,23,40,Valdehermoso,ud,2.99,2.58,0.10,true
186,SKU-000186,8407495876394,Suavizante La Almazara,37,16,La Almazara,ud,4.25,3.15,0.21,false
187,SKU-000187,8465625935212,Patatas fritas Casa Robles,23,4,Casa Robles,ud,2.99,2.30,0.10,true
188,SKU-000188,8409766754936,Merluza congelada Monteclaro,34,25,Monteclaro,ud,4.99,4.12,0.10,true
189,SKU-000189,8464789653574,Croissant Campo Sur,14,13,Campo Sur,ud,1.50,0.85,0.04,true
190,SKU-000190,8496895486760,Cerveza sin alcohol Puente Viejo pack 6,28,41,Puente Viejo,pack,3.95,3.34,0.21,false
191,SKU-000191,8465925307979,Cepillo de dientes Doña Elena,42,39,Doña Elena,ud,3.50,2.97,0.21,true
192,SKU-000192,8445231196924,Pañales talla 3 Sabor de Antaño pack 4,48,9,Sabor de Antaño,pack,14.99,12.04,0.04,true
193,SKU-000193,8478407667430,Fideos finos La Almazara,17,4,La Almazara,ud,1.99,1.75,0.10,false
194,SKU-000194,8470409094382,Mayonesa Ribera Alta,20,30,Ribera Alta,ud,2.95,2.31,0.10,true
195,SKU-000195,8482300802195,Café molido natural Tierra Nuestra,31,16,Tierra Nuestra,ud,5.99,5.20,0.21,true
196,SKU-000196,8474813119297,Gel infantil Campo Sur,50,23,Campo Sur,ud,4.95,4.09,0.04,true
197,SKU-000197,8492163277580,Pienso para gato Casa Robles,52,25,Casa Robles,kg,5.95,4.90,0.21,true
198,SKU-000198,8459423215515,Vinagre de Jerez Selecta,19,37,Selecta,ud,2.49,2.15,0.10,true
199,SKU-000199,8466309187491,Fregasuelos Los Almendros,38,19,Los Almendros,ud,3.75,3.24,0.21,true
200,SKU-000200,8469519026710,Cuchillas de afeitar El Molinar pack 4,45,4,El Molinar,pack,12.75,11.51,0.21,true
201,SKU-000201,8490123816886,Huevos frescos M Los Almendros pack 12 94,16,39,Los Almendros,pack,2.99,2.51,0.04,true
202,SKU-000202,8482614016707,Cerveza rubia El Molinar pack 4,28,5,El Molinar,pack,4.50,3.76,0.21,true
203,SKU-000203,8452181115707,Aceite de girasol Vega Real 2L,19,41,Vega Real,L,2.75,2.31,0.10,true
204,SKU-000204,8457450612550,Pastillas lavavajillas Sabor de Antaño pack 6,40,26,Sabor de Antaño,pack,8.49,6.81,0.21,true
205,SKU-000205,8432757112378,Snacks para perro La Almazara,51,10,La Almazara,ud,4.99,4.00,0.21,true
206,SKU-000206,8463824380352,Refresco de cola Puente Viejo pack 4,27,32,Puente Viejo,pack,2.99,2.40,0.21,true
207,SKU-000207,8443641991344,Lavavajillas a mano Monteclaro 54,40,48,Monteclaro,ud,1.49,1.10,0.21,true
208,SKU-000208,8439314660112,Ginebra Origen,32,25,Origen,ud,22.99,17.92,0.21,true
209,SKU-000209,8445143004898,Cuchillas de afeitar Valdehermoso pack 6,45,21,Valdehermoso,pack,6.75,5.62,0.21,true
210,SKU-000210,8419643632356,Cerveza rubia Monteclaro pack 4,28,39,Monteclaro,pack,4.99,3.98,0.21,true
211,SKU-000211,8416278405928,Pienso para gato La Almazara 500g,52,31,La Almazara,kg,3.00,2.37,0.21,true
212,SKU-000212,8433434257344,Leche de continuación Selecta,49,6,Selecta,ud,17.99,13.59,0.04,true
213,SKU-000213,8491358450326,Bolsas de basura Doña Elena pack 4,55,1,Doña Elena,pack,2.99,1.77,0.21,true
214,SKU-000214,8442317397510,Acondicionador El Molinar,43,48,El Molinar,ud,4.25,3.54,0.21,true
215,SKU-000215,8406205466160,Detergente líquido Doña Elena,37,19,Doña Elena,ud,8.95,7.25,0.21,true
216,SKU-000216,8476269614265,Alimento para pájaros Los Almendros,53,22,Los Almendros,ud,2.95,2.52,0.21,true
217,SKU-000217,8463925653898,Bombilla LED Doña Elena,56,34,Doña Elena,ud,4.99,3.76,0.21,true
218,SKU-000218,8438999300900,Menestra congelada Los Almendros,33,36,Los Almendros,ud,2.95,2.42,0.10,true
219,SKU-000219,8452397295156,Desodorante Monteclaro 70,47,31,Monteclaro,ud,3.75,2.35,0.21,true
220,SKU-000220,8403162032919,Pienso para perro Buenamesa,51,12,Buenamesa,kg,3.00,2.43,0.21,true
221,SKU-000221,8430189203961,Pechuga de pollo Doña Elena 500g,11,32,Doña Elena,kg,5.95,5.38,0.04,true
222,SKU-000222,8494800169067,Patatas fritas Casa Robles 27,23,14,Casa Robles,ud,2.75,2.25,0.10,true
223,SKU-000223,8461955499523,Protegeslips Selecta pack 4,46,27,Selecta,pack,2.99,2.39,0.21,true
224,SKU-000224,8401685043313,Gel infantil El Molinar,50,32,El Molinar,ud,2.99,2.41,0.04,true
225,SKU-000225,8409204223918,Patata La Almazara,10,22,La Almazara,kg,1.95,1.73,0.04,true
226,SKU-000226,8495564781700,Alubias blancas Doña Elena,24,48,Doña Elena,ud,1.99,1.74,0.10,true
227,SKU-000227,8478218868415,Sartén antiadherente Casa Robles,54,8,Casa Robles,ud,13.49,7.57,0.21,true
228,SKU-000228,8463984111933,Protegeslips Los Almendros pack 6,46,35,Los Almendros,pack,2.50,2.06,0.21,true
229,SKU-000229,8426568124279,Avena en copos Sabor de Antaño,21,14,Sabor de Antaño,ud,2.75,2.22,0.10,true
230,SKU-000230,8461411497728,Papel higiénico Valdehermoso pack 6,39,41,Valdehermoso,pack,7.99,6.30,0.21,true
231,SKU-000231,8427062420102,Huevos camperos L Vega Real pack 12,16,41,Vega Real,pack,4.99,4.15,0.04,true
232,SKU-000232,8485785838055,Gel de ducha El Molinar,44,48,El Molinar,ud,2.50,2.07,0.21,true
233,SKU-000233,8477378108850,Vino blanco Rueda Buenamesa,29,36,Buenamesa,ud,5.99,5.46,0.21,true
234,SKU-000234,8488168753198,Polos de hielo Valdehermoso pack 4,35,12,Valdehermoso,pack,4.00,2.85,0.10,true
