id,loan_number,customer_id,loan_type,principal,annual_rate,term_months,monthly_payment,started_on,status
26,PRE-0000026,403,auto,14300.00,8.01,36,448.18,2023-09-01,active
27,PRE-0000027,609,personal,26800.00,8.39,48,659.18,2019-02-01,active
28,PRE-0000028,607,mortgage,256600.00,4.32,180,1939.45,2019-11-01,paid_off
29,PRE-0000029,630,auto,41500.00,6.83,84,622.90,2022-05-01,active
30,PRE-0000030,520,auto,14000.00,6.44,84,207.49,2022-02-01,active
31,PRE-0000031,655,auto,42000.00,5.81,60,808.27,2024-09-01,paid_off
32,PRE-0000032,778,auto,9900.00,8.52,60,203.21,2023-05-01,active
33,PRE-0000033,337,personal,24400.00,11.06,24,1137.91,2020-11-01,active
34,PRE-0000034,204,mortgage,271700.00,4.58,360,1389.61,2019-11-01,active
35,PRE-0000035,702,personal,11700.00,8.75,12,1021.83,2023-01-01,active
36,PRE-0000036,790,personal,24800.00,10.91,60,538.10,2022-09-01,defaulted
37,PRE-0000037,130,student,12000.00,5.08,36,360.08,2021-06-01,active
38,PRE-0000038,148,personal,4000.00,11.20,12,353.90,2024-01-01,active
39,PRE-0000039,457,personal,24900.00,7.98,60,504.64,2020-01-01,active
40,PRE-0000040,442,personal,17400.00,10.35,24,805.74,2024-02-01,active
41,PRE-0000041,117,mortgage,63100.00,2.58,180,423.12,2024-12-01,active
42,PRE-0000042,285,personal,7400.00,8.15,36,232.40,2021-06-01,active
43,PRE-0000043,173,auto,19100.00,5.88,48,447.51,2020-09-01,defaulted
44,PRE-0000044,83,personal,19800.00,9.03,60,411.30,2022-12-01,active
45,PRE-0000045,60,auto,23600.00,5.61,48,550.04,2024-12-01,active
46,PRE-0000046,552,auto,35600.00,5.76,72,585.97,2024-01-01,active
47,PRE-0000047,96,personal,12900.00,8.04,36,404.48,2024-08-01,paid_off
48,PRE-0000048,11,auto,11900.00,7.77,60,239.98,2022-05-01,active
49,PRE-0000049,670,mortgage,362400.00,3.47,300,1808.43,2024-10-01,defaulted
50,PRE-0000050,167,mortgage,404000.00,2.80,180,2751.25,2021-07-01,active
51,PRE-0000051,550,personal,9400.00,10.53,60,202.18,2019-03-01,paid_off
52,PRE-0000052,795,personal,10900.00,11.38,36,358.82,2024-08-01,defaulted
53,PRE-0000053,349,student,22600.00,5.04,36,677.75,2019-01-01,active
54,PRE-0000054,577,personal,15800.00,11.29,12,1398.57,2023-12-01,active
55,PRE-0000055,514,personal,5200.00,7.66,12,451.52,2024-06-01,paid_off
56,PRE-0000056,550,auto,19500.00,6.72,84,291.65,2019-04-01,active
57,PRE-0000057,525,student,16600.00,5.29,84,236.89,2021-09-01,paid_off
58,PRE-0000058,500,auto,23800.00,7.39,36,739.13,2023-07-01,paid_off
59,PRE-0000059,470,auto,20700.00,5.76,84,300.02,2019-10-01,active
60,PRE-0000060,671,mortgage,170700.00,4.05,180,1266.93,2021-03-01,paid_off
61,PRE-0000061,112,student,5700.00,4.62,36,169.86,2019-06-01,active
62,PRE-0000062,136,personal,24200.00,8.96,60,501.88,2020-09-01,active
63,PRE-0000063,87,personal,17400.00,8.82,24,793.48,2020-02-01,active
64,PRE-0000064,239,personal,24600.00,10.64,12,2170.06,2022-06-01,paid_off
65,PRE-0000065,68,personal,9900.00,12.35,36,330.48,2020-01-01,paid_off
66,PRE-0000066,209,mortgage,109100.00,4.49,240,689.63,2023-12-01,active
67,PRE-0000067,755,student,12200.00,6.20,84,179.40,2024-03-01,active
68,PRE-0000068,198,auto,41400.00,7.85,60,836.47,2023-05-01,active
69,PRE-0000069,306,personal,5200.00,9.89,24,239.69,2021-04-01,active
70,PRE-0000070,732,auto,44100.00,8.73,72,789.03,2021-09-01,active
71,PRE-0000071,36,personal,26600.00,12.18,24,1254.39,2021-04-01,active
72,PRE-0000072,785,student,22800.00,5.91,36,692.69,2024-12-01,active
73,PRE-0000073,451,mortgage,256700.00,2.90,240,1410.84,2021-01-01,active
74,PRE-0000074,6,auto,39400.00,5.88,72,650.74,2022-04-01,paid_off
75,PRE-0000075,668,auto,43300.00,8.66,36,1370.09,2022-01-01,active
76,PRE-0000076,606,mortgage,273700.00,2.52,240,1453.01,2025-01-01,active
77,PRE-0000077,440,mortgage,102400.00,2.83,240,559.23,2019-01-01,active
78,PRE-0000078,110,auto,43300.00,7.24,84,658.60,2019-04-01,active
79,PRE-0000079,357,mortgage,95000.00,3.62,180,684.75,2021-01-01,active
80,PRE-0000080,672,mortgage,277000.00,2.71,360,1124.97,2019-10-01,active
81,PRE-0000081,272,student,13700.00,4.35,120,141.00,2024-06-01,active
82,PRE-0000082,676,personal,13900.00,8.03,24,628.85,2019-03-01,paid_off
83,PRE-0000083,669,auto,33700.00,5.58,60,644.95,2023-10-01,active
84,PRE-0000084,296,personal,28200.00,9.24,48,704.98,2020-07-01,active
85,PRE-0000085,319,auto,14900.00,6.56,84,221.69,2024-08-01,active
86,PRE-0000086,690,student,15200.00,6.11,84,222.85,2023-12-01,paid_off
87,PRE-0000087,613,mortgage,302300.00,3.10,300,1449.31,2025-02-01,active
88,PRE-0000088,236,personal,9300.00,11.55,48,242.85,2022-01-01,defaulted
89,PRE-0000089,582,personal,7600.00,8.88,36,241.25,2022-08-01,active
90,PRE-0000090,41,personal,11800.00,7.79,60,238.08,2024-01-01,active
91,PRE-0000091,297,auto,30500.00,6.81,48,727.67,2025-02-01,active
92,PRE-0000092,559,auto,25500.00,7.40,72,439.66,2022-08-01,active
93,PRE-0000093,84,mortgage,208400.00,2.82,240,1137.09,2019-05-01,active
94,PRE-0000094,669,mortgage,374000.00,3.35,180,2646.20,2023-07-01,active
95,PRE-0000095,54,mortgage,277300.00,3.90,360,1307.94,2023-11-01,paid_off
96,PRE-0000096,742,auto,9900.00,8.80,36,313.90,2020-04-01,active
97,PRE-0000097,798,personal,3600.00,10.29,36,116.65,2024-09-01,active
98,PRE-0000098,508,auto,25300.00,7.08,84,382.83,2019-07-01,active
99,PRE-0000099,321,mortgage,187500.00,4.54,240,1190.27,2019-04-01,active
100,PRE-0000100,717,mortgage,197100.00,3.18,300,953.23,2024-06-01,paid_off
101,PRE-0000101,784,mortgage,154400.00,3.59,300,780.44,2019-09-01,paid_off
102,PRE-0000102,187,personal,2900.00,10.72,60,62.65,2021-10-01,paid_off
103,PRE-0000103,688,mortgage,283600.00,3.41,240,1631.68,2021-04-01,active
104,PRE-0000104,134,auto,29100.00,7.11,72,497.66,2023-02-01,active
105,PRE-0000105,37,personal,28500.00,7.71,36,889.28,2023-01-01,paid_off
106,PRE-0000106,374,auto,23100.00,5.96,60,446.16,2019-09-01,active
107,PRE-0000107,578,personal,3500.00,8.62,48,86.47,2022-03-01,active
108,PRE-0000108,799,auto,29500.00,8.95,84,473.88,2024-09-01,paid_off
109,PRE-0000109,350,personal,20400.00,7.90,60,412.66,2024-01-01,defaulted
110,PRE-0000110,164,auto,33900.00,5.62,36,1025.48,2023-03-01,active
111,PRE-0000111,783,auto,30100.00,6.49,60,588.80,2022-06-01,paid_off
112,PRE-0000112,391,auto,6700.00,8.77,72,120.01,2021-05-01,active
113,PRE-0000113,761,personal,28900.00,10.18,48,735.48,2019-09-01,paid_off
114,PRE-0000114,251,auto,33400.00,6.61,48,793.78,2021-07-01,paid_off
115,PRE-0000115,782,auto,31100.00,8.37,48,764.65,2020-07-01,active
116,PRE-0000116,681,personal,28800.00,8.08,60,585.06,2021-11-01,active
117,PRE-0000117,771,personal,8300.00,10.87,48,213.99,2023-07-01,paid_off
118,PRE-0000118,364,auto,33400.00,5.88,36,1014.28,2021-10-01,active
119,PRE-0000119,185,personal,26600.00,10.32,12,2342.52,2023-01-01,active
120,PRE-0000120,64,student,14300.00,4.38,60,265.82,2019-11-01,defaulted
121,PRE-0000121,376,personal,26600.00,9.29,60,555.92,2019-08-01,active
122,PRE-0000122,585,personal,11500.00,11.53,24,538.82,2024-10-01,active
123,PRE-0000123,142,personal,22800.00,8.35,48,560.37,2021-02-01,active
124,PRE-0000124,593,personal,23600.00,11.51,12,2091.43,2022-10-01,paid_off
125,PRE-0000125,760,personal,12100.00,9.46,48,303.76,2024-05-01,active
126,PRE-0000126,13,student,9000.00,5.52,120,97.76,2022-03-01,active
127,PRE-0000127,728,auto,14000.00,6.52,84,208.03,2023-08-01,paid_off
128,PRE-0000128,570,auto,21300.00,6.74,48,507.49,2021-08-01,active
129,PRE-0000129,234,personal,5900.00,9.49,24,270.87,2024-08-01,active
130,PRE-0000130,12,student,10900.00,6.01,60,210.78,2022-01-01,active
131,PRE-0000131,31,auto,17100.00,7.76,60,344.77,2024-09-01,active
132,PRE-0000132,194,personal,8200.00,11.52,12,726.72,2021-05-01,paid_off
133,PRE-0000133,115,personal,14100.00,8.72,60,290.78,2020-08-01,active
134,PRE-0000134,570,personal,3400.00,9.16,24,155.58,2019-11-01,paid_off
135,PRE-0000135,506,personal,23900.00,8.95,36,759.46,2022-05-01,active
136,PRE-0000136,705,personal,26800.00,9.24,12,2346.68,2024-08-01,active
137,PRE-0000137,422,personal,3700.00,7.80,60,74.67,2024-09-01,paid_off
138,PRE-0000138,318,personal,26800.00,11.66,12,2376.89,2022-01-01,paid_off
139,PRE-0000139,206,student,7000.00,4.74,120,73.36,2023-12-01,active
140,PRE-0000140,232,student,19200.00,4.77,84,269.30,2023-03-01,active
141,PRE-0000141,102,auto,25000.00,7.86,60,505.24,2020-07-01,active
142,PRE-0000142,500,student,24300.00,6.02,36,739.47,2021-10-01,active
143,PRE-0000143,264,mortgage,153000.00,2.61,240,818.98,2020-08-01,paid_off
144,PRE-0000144,133,student,15000.00,5.73,36,454.50,2024-06-01,active
145,PRE-0000145,285,personal,19300.00,10.17,48,491.08,2019-08-01,paid_off
146,PRE-0000146,459,personal,28400.00,10.55,24,1317.74,2024-01-01,defaulted
147,PRE-0000147,104,personal,20800.00,8.05,24,941.20,2021-07-01,active
148,PRE-0000148,797,mortgage,263200.00,2.44,300,1172.82,2021-10-01,active
149,PRE-0000149,347,auto,41700.00,7.80,48,1014.11,2019-06-01,active
150,PRE-0000150,31,personal,18100.00,8.95,12,1582.45,2023-03-01,paid_off
151,PRE-0000151,31,mortgage,116000.00,3.82,240,691.98,2024-11-01,active
152,PRE-0000152,598,auto,38300.00,7.17,72,656.11,2022-04-01,active
153,PRE-0000153,732,student,22400.00,6.36,120,252.75,2021-10-01,paid_off
154,PRE-0000154,216,auto,30700.00,8.26,48,753.23,2024-09-01,active
155,PRE-0000155,228,auto,41500.00,5.67,72,681.33,2023-05-01,paid_off
156,PRE-0000156,110,personal,9500.00,8.89,60,196.70,2024-04-01,paid_off
157,PRE-0000157,738,mortgage,358400.00,4.18,240,2205.98,2020-12-01,paid_off
158,PRE-0000158,100,personal,18300.00,10.49,60,393.25,2021-11-01,active
159,PRE-0000159,337,auto,28400.00,5.51,72,464.13,2023-01-01,active
160,PRE-0000160,526,student,8700.00,4.87,36,260.24,2021-02-01,active
161,PRE-0000161,563,personal,24500.00,12.09,24,1154.33,2024-12-01,paid_off
162,PRE-0000162,82,mortgage,281000.00,2.90,300,1317.96,2019-10-01,active
163,PRE-0000163,495,personal,4900.00,10.45,48,125.34,2022-12-01,active
164,PRE-0000164,542,auto,7500.00,7.30,60,149.57,2020-12-01,active
165,PRE-0000165,630,personal,21100.00,10.60,36,686.80,2020-07-01,active
166,PRE-0000166,86,personal,28900.00,10.05,60,614.75,2023-05-01,active
167,PRE-0000167,706,personal,29400.00,9.89,36,947.14,2023-07-01,active
168,PRE-0000168,537,personal,6100.00,12.20,24,287.72,2023-05-01,active
169,PRE-0000169,391,auto,30700.00,7.28,48,739.14,2020-09-01,active
170,PRE-0000170,404,auto,15500.00,6.72,48,369.16,2020-06-01,active
171,PRE-0000171,481,personal,21000.00,8.47,48,517.32,2019-06-01,paid_off
172,PRE-0000172,77,personal,22000.00,10.32,12,1937.43,2023-07-01,active
173,PRE-0000173,478,mortgage,370800.00,4.49,180,2834.70,2023-02-01,active
174,PRE-0000174,312,personal,7800.00,8.68,48,192.92,2022-03-01,paid_off
175,PRE-0000175,584,mortgage,173100.00,3.63,300,878.69,2024-09-01,paid_off
176,PRE-0000176,326,mortgage,296800.00,3.90,360,1399.91,2019-11-01,paid_off
177,PRE-0000177,597,personal,5900.00,10.52,60,126.87,2024-04-01,active
178,PRE-0000178,500,mortgage,220300.00,4.27,360,1086.32,2020-08-01,active
179,PRE-0000179,549,personal,22600.00,11.36,36,743.75,2023-10-01,active
180,PRE-0000180,81,auto,15100.00,8.83,48,374.55,2022-12-01,active
181,PRE-0000181,764,personal,20700.00,10.44,48,529.39,2021-11-01,active
182,PRE-0000182,570,mortgage,279700.00,3.80,300,1445.65,2021-05-01,active
183,PRE-0000183,256,personal,7300.00,11.89,60,161.98,2019-04-01,active
184,PRE-0000184,111,auto,38700.00,6.60,84,576.55,2024-12-01,active
185,PRE-0000185,707,mortgage,381900.00,4.43,240,2401.68,2022-06-01,active
186,PRE-0000186,33,auto,7500.00,7.34,84,114.45,2022-05-01,paid_off
187,PRE-0000187,765,personal,26400.00,8.48,36,833.14,2021-04-01,paid_off
188,PRE-0000188,500,mortgage,396200.00,4.38,300,2175.31,2023-05-01,active
189,PRE-0000189,278,personal,21200.00,7.82,36,662.57,2022-09-01,paid_off
190,PRE-0000190,364,mortgage,412700.00,4.34,360,2052.04,2022-01-01,paid_off
191,PRE-0000191,461,student,17400.00,5.44,84,249.54,2019-11-01,active
192,PRE-0000192,44,personal,5100.00,11.14,48,132.16,2022-12-01,active
193,PRE-0000193,502,mortgage,163100.00,3.39,360,722.41,2019-12-01,active
194,PRE-0000194,255,personal,3900.00,9.45,12,341.88,2019-08-01,active
195,PRE-0000195,242,personal,15700.00,12.01,48,413.52,2025-01-01,paid_off
196,PRE-0000196,2,mortgage,343600.00,2.54,300,1548.38,2019-05-01,active
197,PRE-0000197,585,mortgage,239000.00,4.25,360,1175.74,2020-09-01,active
198,PRE-0000198,706,mortgage,260700.00,2.77,360,1067.05,2022-12-01,active
199,PRE-0000199,279,personal,23000.00,10.00,12,2022.07,2023-08-01,active
200,PRE-0000200,214,mortgage,169000.00,2.40,360,659.00,2022-08-01,active
201,PRE-0000201,509,personal,20700.00,10.43,24,959.31,2024-02-01,active
202,PRE-0000202,568,student,17800.00,5.24,120,190.89,2025-01-01,paid_off
203,PRE-0000203,381,personal,6100.00,8.04,48,149.03,2021-09-01,paid_off
204,PRE-0000204,164,mortgage,205500.00,3.43,360,914.78,2024-01-01,paid_off
205,PRE-0000205,523,student,14900.00,5.82,120,164.08,2024-08-01,active
206,PRE-0000206,8,personal,6700.00,8.14,48,164.01,2019-02-01,paid_off
207,PRE-0000207,448,auto,16900.00,7.18,36,523.21,2022-08-01,active
208,PRE-0000208,212,student,14800.00,5.71,84,214.15,2023-04-01,active
209,PRE-0000209,480,auto,33800.00,5.52,48,786.38,2023-11-01,paid_off
210,PRE-0000210,170,personal,20800.00,9.03,60,432.08,2023-08-01,active
211,PRE-0000211,495,personal,8500.00,11.24,24,397.11,2022-09-01,active
212,PRE-0000212,711,personal,12100.00,11.04,12,1069.64,2021-03-01,paid_off
213,PRE-0000213,167,auto,44100.00,8.91,84,707.52,2020-04-01,active
214,PRE-0000214,436,personal,14800.00,8.40,60,302.93,2024-05-01,active
215,PRE-0000215,600,mortgage,415200.00,3.34,240,2374.00,2020-10-01,active
216,PRE-0000216,612,personal,17300.00,11.09,24,807.04,2024-03-01,paid_off
217,PRE-0000217,63,personal,27400.00,12.23,24,1292.76,2021-06-01,active
218,PRE-0000218,175,auto,23900.00,6.97,84,360.36,2023-05-01,active
219,PRE-0000219,95,student,5700.00,5.36,120,61.47,2019-08-01,paid_off
220,PRE-0000220,628,mortgage,161800.00,4.14,360,785.57,2021-11-01,paid_off
221,PRE-0000221,170,student,24900.00,6.33,36,761.23,2022-08-01,active
222,PRE-0000222,116,student,7000.00,3.99,84,95.65,2021-12-01,active
223,PRE-0000223,238,auto,35500.00,8.00,48,866.66,2022-10-01,active
224,PRE-0000224,127,auto,23400.00,7.77,36,730.79,2019-08-01,paid_off
225,PRE-0000225,683,personal,17900.00,8.38,48,440.19,2023-05-01,active
226,PRE-0000226,299,personal,17400.00,9.88,12,1528.77,2020-05-01,active
227,PRE-0000227,693,mortgage,375700.00,2.74,180,2547.79,2020-07-01,active
228,PRE-0000228,705,auto,33800.00,8.40,36,1065.42,2024-09-01,active
229,PRE-0000229,598,mortgage,168800.00,4.29,240,1048.87,2023-10-01,active
230,PRE-0000230,707,personal,24200.00,12.36,36,807.95,2022-02-01,paid_off
231,PRE-0000231,409,auto,26600.00,6.97,60,526.34,2020-08-01,active
232,PRE-0000232,236,auto,26800.00,8.13,60,545.08,2025-01-01,active
233,PRE-0000233,558,auto,35400.00,8.13,84,554.05,2024-12-01,active
234,PRE-0000234,154,auto,8500.00,7.13,60,168.83,2025-01-01,active
235,PRE-0000235,364,auto,30700.00,6.35,60,598.53,2022-12-01,defaulted
236,PRE-0000236,21,personal,7600.00,10.51,48,194.62,2023-04-01,defaulted
237,PRE-0000237,515,auto,12900.00,7.34,48,310.95,2022-11-01,paid_off
238,PRE-0000238,182,student,5200.00,4.16,120,53.04,2024-06-01,active
239,PRE-0000239,506,student,8200.00,5.78,120,90.13,2022-12-01,active
240,PRE-0000240,674,auto,43300.00,7.64,84,667.14,2024-12-01,defaulted
241,PRE-0000241,150,personal,4300.00,12.45,12,382.96,2024-12-01,active
242,PRE-0000242,677,auto,6700.00,8.03,72,117.57,2023-01-01,active
243,PRE-0000243,73,personal,13000.00,7.90,36,406.77,2024-02-01,active
244,PRE-0000244,394,mortgage,333500.00,4.11,360,1613.40,2020-04-01,active
245,PRE-0000245,65,mortgage,105900.00,4.46,360,534.07,2021-10-01,paid_off
246,PRE-0000246,574,personal,24400.00,11.51,48,636.69,2024-03-01,paid_off
247,PRE-0000247,202,auto,23900.00,7.19,36,740.04,2024-04-01,active
248,PRE-0000248,143,personal,2100.00,8.43,48,51.69,2025-02-01,active
249,PRE-0000249,524,mortgage,363100.00,3.31,300,1780.98,2025-02-01,active
250,PRE-0000250,248,student,11900.00,4.76,120,124.83,2024-05-01,paid_off
251,PRE-0000251,769,personal,2600.00,10.29,48,66.31,2019-07-01,active
252,PRE-0000252,91,personal,4000.00,12.00,24,188.29,2024-09-01,active
253,PRE-0000253,268,mortgage,139600.00,3.91,300,729.94,2022-04-01,active
254,PRE-0000254,391,auto,33000.00,8.49,72,586.52,2025-01-01,active
255,PRE-0000255,61,auto,14000.00,5.61,48,326.29,2023-11-01,paid_off
256,PRE-0000256,253,personal,17400.00,11.35,36,572.54,2020-05-01,defaulted
257,PRE-0000257,573,personal,21100.00,12.47,60,474.38,2024-08-01,active
258,PRE-0000258,481,personal,7400.00,10.25,12,651.44,2021-04-01,active
259,PRE-0000259,589,student,3400.00,3.59,60,61.99,2022-08-01,active
260,PRE-0000260,8,auto,36100.00,5.91,84,525.81,2022-02-01,active
261,PRE-0000261,678,student,3700.00,6.06,60,71.63,2024-12-01,active
262,PRE-0000262,442,auto,25500.00,7.20,36,789.70,2024-07-01,active
263,PRE-0000263,525,auto,24200.00,6.27,48,571.34,2021-11-01,paid_off
264,PRE-0000264,258,personal,19100.00,8.40,36,602.06,2024-10-01,active
265,PRE-0000265,318,personal,28300.00,9.95,36,912.50,2024-03-01,active
266,PRE-0000266,146,mortgage,147100.00,2.99,240,815.08,2024-09-01,active
267,PRE-0000267,761,personal,19600.00,11.83,60,434.31,2023-11-01,paid_off
268,PRE-0000268,460,auto,22200.00,8.79,48,550.24,2023-02-01,paid_off
269,PRE-0000269,95,auto,26400.00,5.59,36,798.24,2021-11-01,active
270,PRE-0000270,571,mortgage,408400.00,2.50,180,2723.17,2021-10-01,defaulted
271,PRE-0000271,520,personal,9300.00,7.75,48,225.95,2022-09-01,paid_off
272,PRE-0000272,45,auto,10200.00,8.03,60,206.97,2023-10-01,active
273,PRE-0000273,179,student,24400.00,6.48,120,276.81,2024-04-01,active
274,PRE-0000274,232,personal,13200.00,11.40,12,1169.10,2019-05-01,active
275,PRE-0000275,694,mortgage,61600.00,2.72,300,283.22,2020-11-01,active
276,PRE-0000276,410,auto,39700.00,6.77,48,946.44,2020-08-01,active
277,PRE-0000277,310,student,11900.00,4.07,120,120.88,2020-05-01,active
278,PRE-0000278,13,personal,17000.00,9.91,48,430.43,2021-08-01,active
279,PRE-0000279,458,auto,33300.00,6.44,84,493.52,2024-12-01,active
280,PRE-0000280,63,mortgage,80800.00,4.60,180,622.25,2022-01-01,active
