id,account_id,merchant_id,type,amount,balance_after,description,occurred_at,is_foreign
20,1048,,direct_debit,-42.50,2006.18,RECIBO DOMICILIADO,2023-01-04T19:01:00,false
21,668,126,card_payment,-25.36,155.12,COMPRA MUEBLES LA PLAZA,2023-01-05T09:57:00,false
22,281,,direct_debit,-59.66,2045.83,RECIBO DOMICILIADO,2023-01-05T11:25:00,false
23,93,,transfer_in,530.68,1306.17,TRANSFERENCIA RECIBIDA,2023-01-05T12:22:00,false
24,218,,direct_debit,-26.48,423.89,RECIBO DOMICILIADO,2023-01-05T12:29:00,false
25,84,,atm_withdrawal,-150.00,155.24,REINTEGRO CAJERO,2023-01-05T12:38:00,false
26,1039,,direct_debit,-26.99,2853.98,RECIBO DOMICILIADO,2023-01-05T17:58:00,false
27,361,,transfer_in,299.80,1060.74,TRANSFERENCIA RECIBIDA,2023-01-05T20:40:00,false
28,356,114,card_payment,-17.52,1715.05,COMPRA FARMACIA BUENAVISTA,2023-01-06T09:40:00,false
29,789,99,card_payment,-18.26,3739.76,COMPRA FARMACIA LA PLAZA,2023-01-06T12:33:00,true
30,979,93,card_payment,-9.78,126.50,COMPRA ELECTRO LOS ARCOS,2023-01-06T17:30:00,false
31,811,,direct_debit,-38.33,591.36,RECIBO DOMICILIADO,2023-01-06T17:45:00,false
32,169,,direct_debit,-31.06,2958.75,RECIBO DOMICILIADO,2023-01-06T19:12:00,false
33,93,,direct_debit,-48.17,1258.00,RECIBO DOMICILIADO,2023-01-07T09:00:00,false
34,945,,direct_debit,-51.44,2286.09,RECIBO DOMICILIADO,2023-01-07T13:13:00,false
35,698,138,card_payment,-137.68,2072.76,COMPRA RESTAURANTE CENTRAL,2023-01-07T13:17:00,false
36,276,,transfer_in,42.30,4453.53,TRANSFERENCIA RECIBIDA,2023-01-07T16:00:00,false
37,228,,direct_debit,-51.81,1407.30,RECIBO DOMICILIADO,2023-01-07T16:13:00,false
38,302,,direct_debit,-15.12,2693.47,RECIBO DOMICILIADO,2023-01-07T16:39:00,false
39,945,31,card_payment,-18.93,2267.16,COMPRA MUEBLES LA PLAZA,2023-01-08T11:10:00,false
40,949,144,card_payment,-54.26,826.45,COMPRA LIBRERÍA REAL,2023-01-09T13:30:00,true
41,523,115,card_payment,-166.99,2088.89,COMPRA FARMACIA DEL PUERTO,2023-01-11T19:25:00,false
42,1074,,transfer_in,361.28,2598.88,TRANSFERENCIA RECIBIDA,2023-01-11T21:22:00,false
43,456,,atm_withdrawal,-100.00,2678.17,REINTEGRO CAJERO,2023-01-12T12:36:00,false
44,683,,fee,-2.50,3905.09,COMISION MANTENIMIENTO,2023-01-12T19:05:00,false
45,388,154,card_payment,-3.78,1188.57,COMPRA ÓPTICA DEL SOL,2023-01-12T20:50:00,false
46,777,8,card_payment,-97.05,3413.28,COMPRA SUPERMERCADO MODERNO,2023-01-13T12:33:00,false
47,219,139,card_payment,-36.33,2273.44,COMPRA RESTAURANTE DEL CARMEN,2023-01-13T15:40:00,true
48,1048,,atm_withdrawal,-40.00,1966.18,REINTEGRO CAJERO,2023-01-13T18:29:00,false
49,766,92,card_payment,-35.86,1160.45,COMPRA CAFETERÍA EL FARO,2023-01-14T13:39:00,false
50,74,31,card_payment,-26.14,2787.60,COMPRA MUEBLES LA PLAZA,2023-01-14T14:26:00,false
51,88,,atm_withdrawal,-150.00,3251.20,REINTEGRO CAJERO,2023-01-14T16:34:00,false
52,761,102,card_payment,-11.62,1179.13,COMPRA LIBRERÍA LOS ARCOS,2023-01-14T19:07:00,true
53,524,,interest,5.73,1114.84,ABONO INTERESES,2023-01-14T19:22:00,false
54,127,21,card_payment,-26.72,1811.23,COMPRA RESTAURANTE MODERNO,2023-01-14T21:21:00,false
55,1009,,transfer_out,-425.48,469.62,TRANSFERENCIA EMITIDA,2023-01-15T09:40:00,false
56,239,,atm_withdrawal,-200.00,1078.84,REINTEGRO CAJERO,2023-01-15T13:53:00,false
57,219,118,card_payment,-14.13,2259.31,COMPRA TALLER EL FARO,2023-01-15T20:39:00,false
58,1066,43,card_payment,-15.17,1050.49,COMPRA CAFETERÍA EL FARO,2023-01-16T12:50:00,true
59,190,62,card_payment,-18.79,1718.25,COMPRA PELUQUERÍA DEL PUERTO,2023-01-16T18:59:00,false
60,978,142,card_payment,-17.00,1491.19,COMPRA MUEBLES EL FARO,2023-01-16T19:26:00,false
61,494,161,card_payment,-13.20,1992.80,COMPRA ELECTRO BUENAVISTA,2023-01-17T13:15:00,false
62,1053,125,card_payment,-48.28,3611.00,COMPRA ELECTRO SAN MARCOS,2023-01-17T13:23:00,false
63,77,169,card_payment,-28.50,1556.69,COMPRA CAFETERÍA SAN MARCOS,2023-01-18T12:35:00,false
64,880,127,card_payment,-11.76,463.60,COMPRA ÓPTICA SAN MARCOS,2023-01-18T13:57:00,false
65,351,,transfer_out,-684.05,1587.23,TRANSFERENCIA EMITIDA,2023-01-18T14:33:00,false
66,722,,fee,-4.50,1903.04,COMISION MANTENIMIENTO,2023-01-18T17:14:00,false
67,660,145,card_payment,-23.92,342.79,COMPRA LIBRERÍA DEL SOL,2023-01-18T20:08:00,false
68,246,,transfer_in,597.52,1225.60,TRANSFERENCIA RECIBIDA,2023-01-19T12:48:00,false
69,987,150,card_payment,-18.97,2481.72,COMPRA PANADERÍA LA PLAZA,2023-01-19T13:30:00,false
70,692,,transfer_out,-486.99,1898.20,TRANSFERENCIA EMITIDA,2023-01-19T14:08:00,false
71,70,5,card_payment,-53.92,1249.31,COMPRA ELECTRO NUEVO,2023-01-20T08:57:00,false
72,156,173,card_payment,-9.00,824.06,COMPRA LIBRERÍA NUEVO,2023-01-20T17:35:00,false
73,259,61,card_payment,-19.73,157.34,COMPRA PANADERÍA LA PLAZA,2023-01-22T08:03:00,false
74,770,,fee,-3.00,2808.11,COMISION MANTENIMIENTO,2023-01-22T09:40:00,false
75,85,56,card_payment,-43.90,627.17,COMPRA BAR REAL,2023-01-22T11:25:00,false
76,611,,transfer_out,-832.44,501.55,TRANSFERENCIA EMITIDA,2023-01-22T19:47:00,false
77,209,,transfer_out,-191.17,1751.35,TRANSFERENCIA EMITIDA,2023-01-22T19:55:00,false
78,624,56,card_payment,-9.75,257.61,COMPRA BAR REAL,2023-01-23T09:10:00,false
79,75,50,card_payment,-26.48,635.32,COMPRA ÓPTICA DEL SOL,2023-01-23T11:31:00,false
80,780,155,card_payment,-50.08,1510.84,COMPRA LIBRERÍA LOS ARCOS,2023-01-23T21:39:00,false
81,796,113,card_payment,-24.65,1824.54,COMPRA FARMACIA LOS ARCOS,2023-01-25T08:17:00,false
82,960,175,card_payment,-11.73,705.02,COMPRA LA TIENDA DE MODERNO,2023-01-25T11:46:00,false
83,890,,salary,2346.80,3779.32,NOMINA,2023-01-25T12:13:00,false
84,878,,atm_withdrawal,-40.00,1976.83,REINTEGRO CAJERO,2023-01-25T16:34:00,false
85,263,,transfer_in,1198.37,3460.25,TRANSFERENCIA RECIBIDA,2023-01-25T17:14:00,false
86,986,18,card_payment,-5.30,1847.64,COMPRA SUPERMERCADO LA PLAZA,2023-01-25T18:42:00,false
87,186,164,card_payment,-21.01,2378.86,COMPRA LIBRERÍA REAL,2023-01-25T21:06:00,false
88,77,101,card_payment,-6.00,1550.69,COMPRA ÓPTICA BUENAVISTA,2023-01-26T13:43:00,false
89,1003,147,card_payment,-57.58,2993.52,COMPRA TALLER SAN MARCOS,2023-01-26T14:05:00,false
90,632,,salary,1060.96,3194.04,NOMINA,2023-01-26T14:11:00,false
91,991,73,card_payment,-17.47,3592.90,COMPRA MUEBLES MODERNO,2023-01-26T14:37:00,false
92,955,,salary,1858.25,3093.64,NOMINA,2023-01-26T15:27:00,false
93,226,27,card_payment,-5.49,2593.99,COMPRA LA TIENDA DE SAN MARCOS,2023-01-26T20:24:00,false
94,537,,transfer_out,-206.88,3322.77,TRANSFERENCIA EMITIDA,2023-01-27T10:31:00,false
95,168,,salary,893.28,5227.72,NOMINA,2023-01-28T10:16:00,false
96,884,,salary,760.37,5023.79,NOMINA,2023-01-28T11:16:00,false
97,535,,transfer_out,-376.21,63.38,TRANSFERENCIA EMITIDA,2023-01-28T13:12:00,false
98,584,,transfer_in,18.36,2605.34,TRANSFERENCIA RECIBIDA,2023-01-29T09:53:00,false
99,429,150,card_payment,-6.39,1801.48,COMPRA PANADERÍA LA PLAZA,2023-01-29T10:27:00,false
100,528,85,card_payment,-82.49,1397.05,COMPRA ELECTRO CENTRAL,2023-01-29T12:35:00,false
101,611,125,card_payment,-4.95,496.60,COMPRA ELECTRO SAN MARCOS,2023-01-29T14:38:00,false
102,66,,transfer_out,-494.32,1891.56,TRANSFERENCIA EMITIDA,2023-01-29T17:00:00,false
103,579,10,card_payment,-6.89,140.03,COMPRA PANADERÍA LA ESTRELLA,2023-01-30T08:18:00,false
104,1035,78,card_payment,-8.35,4431.30,COMPRA LA TIENDA DE EL FARO,2023-01-30T18:17:00,false
105,68,122,card_payment,-8.07,522.65,COMPRA CASA NUEVO,2023-01-30T20:28:00,false
106,225,170,card_payment,-12.84,849.78,COMPRA BAR MODERNO,2023-01-30T21:20:00,false
107,98,12,card_payment,-14.41,2022.48,COMPRA MUEBLES LA ESQUINA,2023-01-31T09:14:00,false
108,1067,152,card_payment,-15.36,3691.58,COMPRA LIBRERÍA DEL CARMEN,2023-01-31T12:44:00,false
109,64,105,card_payment,-27.14,1909.29,COMPRA ÓPTICA BUENAVISTA,2023-01-31T17:32:00,false
110,708,32,card_payment,-18.10,2732.14,COMPRA CASA NUEVO,2023-01-31T17:52:00,true
111,339,,interest,1.12,2653.44,ABONO INTERESES,2023-01-31T18:27:00,false
112,862,,direct_debit,-58.63,1984.25,RECIBO DOMICILIADO,2023-02-01T12:06:00,false
113,409,97,card_payment,-12.72,1877.58,COMPRA ELECTRO LA ESQUINA,2023-02-01T16:50:00,false
114,70,62,card_payment,-35.31,1214.00,COMPRA PELUQUERÍA DEL PUERTO,2023-02-01T17:00:00,false
115,9,,transfer_out,-429.08,187.62,TRANSFERENCIA EMITIDA,2023-02-02T10:13:00,false
116,332,83,card_payment,-2.67,919.87,COMPRA PELUQUERÍA LOS ARCOS,2023-02-02T12:35:00,false
117,930,,direct_debit,-29.22,2035.40,RECIBO DOMICILIADO,2023-02-02T13:09:00,false
118,102,,direct_debit,-53.58,3209.13,RECIBO DOMICILIADO,2023-02-02T14:44:00,false
119,596,,direct_debit,-22.97,1339.46,RECIBO DOMICILIADO,2023-02-02T17:40:00,false
120,549,75,card_payment,-4.45,715.03,COMPRA TALLER LA ESQUINA,2023-02-02T18:35:00,false
121,552,167,card_payment,-14.96,2584.84,COMPRA BAR NUEVO,2023-02-02T21:43:00,false
122,1063,,direct_debit,-69.35,2648.55,RECIBO DOMICILIADO,2023-02-03T09:01:00,false
123,84,,atm_withdrawal,-150.00,5.24,REINTEGRO CAJERO,2023-02-03T12:19:00,false
124,680,,direct_debit,-18.20,1026.61,RECIBO DOMICILIADO,2023-02-03T13:20:00,false
125,955,,direct_debit,-37.19,3056.45,RECIBO DOMICILIADO,2023-02-03T19:30:00,false
126,1087,,fee,-12.00,2769.39,COMISION MANTENIMIENTO,2023-02-04T08:24:00,false
127,738,2,card_payment,-295.16,3493.63,COMPRA CASA CENTRAL,2023-02-04T09:57:00,false
128,575,,direct_debit,-6.33,831.11,RECIBO DOMICILIADO,2023-02-04T20:06:00,false
129,478,,transfer_out,-336.77,913.80,TRANSFERENCIA EMITIDA,2023-02-04T20:40:00,false
130,879,,direct_debit,-18.97,266.85,RECIBO DOMICILIADO,2023-02-05T08:29:00,false
131,668,128,card_payment,-7.05,148.07,COMPRA LA TIENDA DE DEL PUERTO,2023-02-05T10:00:00,false
132,942,,direct_debit,-41.18,2377.09,RECIBO DOMICILIADO,2023-02-05T10:02:00,false
133,148,126,card_payment,-8.14,1535.02,COMPRA MUEBLES LA PLAZA,2023-02-05T11:07:00,false
134,382,,direct_debit,-72.37,3792.06,RECIBO DOMICILIADO,2023-02-05T11:15:00,false
135,156,,direct_debit,-22.52,801.54,RECIBO DOMICILIADO,2023-02-05T13:59:00,false
136,980,109,card_payment,-18.48,2515.21,COMPRA EL RINCÓN DE GRAN VÍA,2023-02-05T19:56:00,false
137,486,,direct_debit,-31.83,1159.91,RECIBO DOMICILIADO,2023-02-05T20:18:00,false
138,499,,direct_debit,-76.49,1053.32,RECIBO DOMICILIADO,2023-02-05T20:37:00,false
139,875,,direct_debit,-57.85,2393.20,RECIBO DOMICILIADO,2023-02-05T21:24:00,false
140,601,,direct_debit,-59.12,1499.26,RECIBO DOMICILIADO,2023-02-06T09:11:00,false
141,738,,fee,-12.00,3481.63,COMISION MANTENIMIENTO,2023-02-06T09:36:00,false
142,500,148,card_payment,-73.97,2612.10,COMPRA PELUQUERÍA LA PLAZA,2023-02-06T12:30:00,false
143,686,,atm_withdrawal,-40.00,4364.47,REINTEGRO CAJERO,2023-02-06T13:32:00,false
144,311,,transfer_out,-472.63,871.05,TRANSFERENCIA EMITIDA,2023-02-06T14:59:00,false
145,525,,direct_debit,-39.33,2596.03,RECIBO DOMICILIADO,2023-02-07T08:53:00,false
146,443,,direct_debit,-32.48,2621.08,RECIBO DOMICILIADO,2023-02-07T11:27:00,false
147,917,,direct_debit,-32.51,1341.82,RECIBO DOMICILIADO,2023-02-07T13:24:00,false
148,543,,direct_debit,-50.29,1977.67,RECIBO DOMICILIADO,2023-02-07T17:27:00,false
149,692,,direct_debit,-21.19,1877.01,RECIBO DOMICILIADO,2023-02-07T18:44:00,false
150,623,,transfer_out,-1320.55,621.28,TRANSFERENCIA EMITIDA,2023-02-07T18:55:00,false
151,413,,direct_debit,-174.41,2155.98,RECIBO DOMICILIADO,2023-02-07T19:30:00,false
152,708,,direct_debit,-154.18,2577.96,RECIBO DOMICILIADO,2023-02-07T19:30:00,false
153,257,14,card_payment,-490.24,-111.87,COMPRA ÓPTICA MODERNO,2023-02-08T20:24:00,true
154,306,160,card_payment,-32.01,470.97,COMPRA TALLER DEL CARMEN,2023-02-09T08:53:00,false
155,261,,interest,0.07,3885.18,ABONO INTERESES,2023-02-09T12:00:00,false
156,327,130,card_payment,-44.50,1858.60,COMPRA PELUQUERÍA EL FARO,2023-02-09T13:10:00,true
157,332,151,card_payment,-7.91,911.96,COMPRA FARMACIA MODERNO,2023-02-09T18:26:00,false
158,311,151,card_payment,-26.28,844.77,COMPRA FARMACIA MODERNO,2023-02-09T20:12:00,false
159,185,96,card_payment,-60.22,540.28,COMPRA LIBRERÍA BUENAVISTA,2023-02-10T10:46:00,false
160,298,75,card_payment,-31.61,3278.89,COMPRA TALLER LA ESQUINA,2023-02-10T17:28:00,false
161,701,,transfer_in,49.78,2887.24,TRANSFERENCIA RECIBIDA,2023-02-10T21:58:00,false
162,713,138,card_payment,-83.43,2985.26,COMPRA RESTAURANTE CENTRAL,2023-02-11T18:26:00,false
163,939,82,card_payment,-12.45,1255.10,COMPRA ELECTRO MODERNO,2023-02-11T19:20:00,false
164,714,28,card_payment,-6.79,318.00,COMPRA PANADERÍA NUEVO,2023-02-11T19:21:00,false
165,441,,transfer_in,804.98,2656.72,TRANSFERENCIA RECIBIDA,2023-02-11T21:57:00,false
166,1056,56,card_payment,-21.05,2347.55,COMPRA BAR REAL,2023-02-13T14:57:00,false
167,699,169,card_payment,-7.03,1353.91,COMPRA CAFETERÍA SAN MARCOS,2023-02-13T17:26:00,false
168,653,,transfer_in,267.37,435.73,TRANSFERENCIA RECIBIDA,2023-02-13T18:14:00,false
169,923,,transfer_out,-436.06,2142.96,TRANSFERENCIA EMITIDA,2023-02-14T17:56:00,false
170,1039,104,card_payment,-44.72,2809.26,COMPRA BAR NUEVO,2023-02-14T18:20:00,false
171,710,136,card_payment,-13.46,2029.44,COMPRA MUEBLES LA ESTRELLA,2023-02-14T20:09:00,false
172,973,155,card_payment,-47.57,1170.06,COMPRA LIBRERÍA LOS ARCOS,2023-02-15T21:26:00,false
173,1042,100,card_payment,-315.14,2618.06,COMPRA ÓPTICA NUEVO,2023-02-16T13:14:00,false
174,859,,transfer_out,-617.56,1214.28,TRANSFERENCIA EMITIDA,2023-02-16T16:15:00,false
175,1076,56,card_payment,-19.85,663.11,COMPRA BAR REAL,2023-02-16T20:41:00,false
176,43,,transfer_out,-182.96,554.73,TRANSFERENCIA EMITIDA,2023-02-17T14:29:00,false
177,216,,transfer_in,239.46,1110.43,TRANSFERENCIA RECIBIDA,2023-02-17T17:08:00,false
178,433,,transfer_out,-254.81,10.75,TRANSFERENCIA EMITIDA,2023-02-18T10:13:00,false
179,886,141,card_payment,-48.22,3800.42,COMPRA LA TIENDA DE SAN MARCOS,2023-02-18T11:33:00,false
180,950,,transfer_in,261.54,1561.41,TRANSFERENCIA RECIBIDA,2023-02-19T11:23:00,false
181,447,47,card_payment,-37.84,930.73,COMPRA BAR NUEVO,2023-02-19T13:43:00,false
182,245,83,card_payment,-8.93,5243.91,COMPRA PELUQUERÍA LOS ARCOS,2023-02-19T14:05:00,false
183,195,20,card_payment,-5.98,1953.73,COMPRA LA TIENDA DE BUENAVISTA,2023-02-19T15:55:00,false
184,676,,transfer_out,-294.80,1988.50,TRANSFERENCIA EMITIDA,2023-02-19T18:14:00,false
185,868,,transfer_in,347.81,935.27,TRANSFERENCIA RECIBIDA,2023-02-19T18:36:00,false
186,10,,atm_withdrawal,-100.00,2830.76,REINTEGRO CAJERO,2023-02-19T20:55:00,false
187,603,90,card_payment,-88.79,4267.25,COMPRA LA TIENDA DE LOS ARCOS,2023-02-19T21:40:00,false
188,721,73,card_payment,-21.24,161.64,COMPRA MUEBLES MODERNO,2023-02-20T08:32:00,false
189,331,,transfer_in,980.33,1450.21,TRANSFERENCIA RECIBIDA,2023-02-20T11:21:00,false
190,861,34,card_payment,-3.48,1475.42,COMPRA CAFETERÍA DEL SOL,2023-02-20T11:38:00,false
191,1012,20,card_payment,-35.16,1803.34,COMPRA LA TIENDA DE BUENAVISTA,2023-02-20T14:39:00,false
192,432,,interest,0.64,2980.56,ABONO INTERESES,2023-02-21T09:11:00,false
193,50,,atm_withdrawal,-50.00,958.45,REINTEGRO CAJERO,2023-02-21T13:58:00,false
194,1082,172,card_payment,-35.21,2926.04,COMPRA EL RINCÓN DE MODERNO,2023-02-22T12:02:00,false
195,136,,fee,-4.50,1132.59,COMISION MANTENIMIENTO,2023-02-22T18:38:00,false
196,669,148,card_payment,-4.02,1251.06,COMPRA PELUQUERÍA LA PLAZA,2023-02-22T21:27:00,false
197,651,,transfer_out,-535.70,-155.96,TRANSFERENCIA EMITIDA,2023-02-24T12:23:00,false
198,653,,transfer_out,-752.20,-316.47,TRANSFERENCIA EMITIDA,2023-02-24T17:38:00,false
199,482,90,card_payment,-25.68,4508.14,COMPRA LA TIENDA DE LOS ARCOS,2023-02-24T21:59:00,false
200,838,,salary,1602.12,2981.83,NOMINA,2023-02-25T08:41:00,false
201,1071,,transfer_in,566.36,3246.77,TRANSFERENCIA RECIBIDA,2023-02-25T12:01:00,false
202,508,,salary,1540.54,3563.16,NOMINA,2023-02-25T12:12:00,false
203,119,138,card_payment,-47.43,2407.21,COMPRA RESTAURANTE CENTRAL,2023-02-25T17:38:00,false
204,50,85,card_payment,-17.38,941.07,COMPRA ELECTRO CENTRAL,2023-02-25T19:02:00,false
205,826,,transfer_out,-803.76,876.37,TRANSFERENCIA EMITIDA,2023-02-25T20:56:00,false
206,1019,9,card_payment,-23.99,2659.03,COMPRA PELUQUERÍA DEL PUERTO,2023-02-26T11:21:00,true
207,683,,salary,2174.70,6079.79,NOMINA,2023-02-26T11:51:00,false
208,792,,salary,2408.60,5828.45,NOMINA,2023-02-27T11:02:00,false
209,283,,salary,1688.24,3392.84,NOMINA,2023-02-27T11:25:00,false
210,359,,fee,-12.00,1304.87,COMISION MANTENIMIENTO,2023-02-27T12:40:00,false
211,537,135,card_payment,-24.68,3298.09,COMPRA SUPERMERCADO GRAN VÍA,2023-02-27T14:54:00,false
212,486,32,card_payment,-21.23,1138.68,COMPRA CASA NUEVO,2023-02-27T18:29:00,true
213,441,,atm_withdrawal,-100.00,2556.72,REINTEGRO CAJERO,2023-02-28T09:38:00,false
214,174,102,card_payment,-9.33,246.77,COMPRA LIBRERÍA LOS ARCOS,2023-02-28T12:37:00,true
215,992,176,card_payment,-26.79,2560.65,COMPRA RESTAURANTE NUEVO,2023-02-28T13:07:00,false
216,820,,transfer_in,839.37,1078.14,TRANSFERENCIA RECIBIDA,2023-02-28T14:11:00,false
217,998,70,card_payment,-53.69,4046.94,COMPRA EL RINCÓN DE LA ESTRELLA,2023-02-28T14:20:00,false
218,756,,transfer_out,-653.27,2369.44,TRANSFERENCIA EMITIDA,2023-02-28T14:52:00,false
219,986,,atm_withdrawal,-40.00,1807.64,REINTEGRO CAJERO,2023-02-28T18:34:00,false
220,1002,,transfer_out,-105.89,710.82,TRANSFERENCIA EMITIDA,2023-02-28T20:46:00,false
221,874,,direct_debit,-21.09,4605.52,RECIBO DOMICILIADO,2023-03-01T09:21:00,false
222,174,,direct_debit,-55.67,191.10,RECIBO DOMICILIADO,2023-03-01T11:15:00,false
223,218,,transfer_out,-841.75,-417.86,TRANSFERENCIA EMITIDA,2023-03-01T11:24:00,false
224,543,,direct_debit,-39.67,1938.00,RECIBO DOMICILIADO,2023-03-01T12:12:00,false
225,813,,fee,-4.50,3658.68,COMISION MANTENIMIENTO,2023-03-01T12:24:00,false
226,779,76,card_payment,-8.20,1563.67,COMPRA LIBRERÍA SAN MARCOS,2023-03-01T13:04:00,false
227,568,57,card_payment,-35.78,2340.59,COMPRA ÓPTICA EL FARO,2023-03-01T13:35:00,false
228,156,,direct_debit,-57.78,743.76,RECIBO DOMICILIADO,2023-03-01T13:44:00,false
229,1079,,direct_debit,-56.45,4782.31,RECIBO DOMICILIADO,2023-03-01T15:14:00,false
230,43,,direct_debit,-36.34,518.39,RECIBO DOMICILIADO,2023-03-01T16:02:00,false
231,406,,atm_withdrawal,-100.00,161.15,REINTEGRO CAJERO,2023-03-01T17:20:00,false
232,601,47,card_payment,-8.27,1490.99,COMPRA BAR NUEVO,2023-03-01T17:44:00,false
233,1035,135,card_payment,-49.05,4382.25,COMPRA SUPERMERCADO GRAN VÍA,2023-03-01T18:17:00,false
234,437,,direct_debit,-44.11,3069.93,RECIBO DOMICILIADO,2023-03-02T12:53:00,false
235,149,76,card_payment,-96.95,2322.99,COMPRA LIBRERÍA SAN MARCOS,2023-03-02T12:58:00,false
236,490,38,card_payment,-40.72,1490.60,COMPRA ÓPTICA DEL PUERTO,2023-03-02T13:01:00,false
237,911,158,card_payment,-18.29,2009.10,COMPRA CASA EL FARO,2023-03-02T13:28:00,false
238,252,,direct_debit,-30.02,2379.17,RECIBO DOMICILIADO,2023-03-02T14:08:00,false
239,737,,direct_debit,-72.22,1235.07,RECIBO DOMICILIADO,2023-03-02T18:51:00,false
240,641,,transfer_out,-658.76,1309.01,TRANSFERENCIA EMITIDA,2023-03-03T09:41:00,false
241,944,,direct_debit,-11.00,1299.50,RECIBO DOMICILIADO,2023-03-03T11:18:00,false
242,1093,,direct_debit,-52.25,1738.43,RECIBO DOMICILIADO,2023-03-03T16:11:00,false
243,611,,direct_debit,-72.03,424.57,RECIBO DOMICILIADO,2023-03-03T17:42:00,false
244,402,36,card_payment,-9.07,2343.43,COMPRA PELUQUERÍA GRAN VÍA,2023-03-03T18:20:00,false
245,532,,atm_withdrawal,-40.00,959.70,REINTEGRO CAJERO,2023-03-03T19:02:00,false
246,476,45,card_payment,-14.01,3001.02,COMPRA LA TIENDA DE DEL SOL,2023-03-04T09:12:00,false
247,759,95,card_payment,-30.81,2502.58,COMPRA EL RINCÓN DE SAN MARCOS,2023-03-04T09:51:00,false
248,94,81,card_payment,-53.31,4230.65,COMPRA CASA LOS ARCOS,2023-03-04T10:11:00,true
249,666,,direct_debit,-28.88,1770.80,RECIBO DOMICILIADO,2023-03-04T11:46:00,false
250,847,,direct_debit,-32.81,4968.28,RECIBO DOMICILIADO,2023-03-04T13:45:00,false
251,1031,,transfer_in,822.47,2806.95,TRANSFERENCIA RECIBIDA,2023-03-04T16:31:00,false
252,963,164,card_payment,-109.01,3089.42,COMPRA LIBRERÍA REAL,2023-03-04T18:13:00,false
253,229,,transfer_out,-569.27,-313.57,TRANSFERENCIA EMITIDA,2023-03-04T21:18:00,false
254,850,,direct_debit,-11.99,3166.73,RECIBO DOMICILIADO,2023-03-05T14:28:00,false
255,833,,fee,-3.00,2356.40,COMISION MANTENIMIENTO,2023-03-05T18:22:00,false
256,241,99,card_payment,-102.47,4319.57,COMPRA FARMACIA LA PLAZA,2023-03-05T19:59:00,true
257,895,,atm_withdrawal,-150.00,948.29,REINTEGRO CAJERO,2023-03-06T10:36:00,false
258,720,,direct_debit,-101.65,183.47,RECIBO DOMICILIADO,2023-03-06T11:11:00,false
259,156,172,card_payment,-6.63,737.13,COMPRA EL RINCÓN DE MODERNO,2023-03-06T13:09:00,false
260,228,,direct_debit,-51.87,1355.43,RECIBO DOMICILIADO,2023-03-06T13:35:00,false
261,508,135,card_payment,-18.16,3545.00,COMPRA SUPERMERCADO GRAN VÍA,2023-03-06T15:00:00,false
262,1045,,direct_debit,-23.28,1651.45,RECIBO DOMICILIADO,2023-03-06T16:22:00,false
263,670,,direct_debit,-69.72,1667.59,RECIBO DOMICILIADO,2023-03-06T21:54:00,false
264,243,,direct_debit,-52.38,3329.53,RECIBO DOMICILIADO,2023-03-07T08:12:00,false
265,796,,direct_debit,-32.12,1792.42,RECIBO DOMICILIADO,2023-03-07T12:12:00,false
266,272,,direct_debit,-27.55,3279.68,RECIBO DOMICILIADO,2023-03-07T12:13:00,false
