id,loan_id,instalment_number,due_date,paid_date,payment_amount,interest_amount,principal_amount,balance_after
174,7,68,2025-05-01,2025-05-01,1949.61,1262.70,686.91,353340.40
175,7,69,2025-06-01,2025-06-01,1949.61,1260.25,689.36,352651.04
176,8,1,2024-07-01,2024-07-01,1843.92,215.45,1628.47,19071.53
177,8,2,2024-08-01,2024-08-01,1843.92,198.50,1645.42,17426.11
178,8,3,2024-09-01,2024-09-01,1843.92,181.38,1662.54,15763.57
179,8,4,2024-10-01,2024-10-01,1843.92,164.07,1679.85,14083.72
180,8,5,2024-11-01,2024-11-01,1843.92,146.59,1697.33,12386.39
181,8,6,2024-12-01,2024-12-01,1843.92,128.92,1715.00,10671.39
182,8,7,2025-01-01,2025-01-01,1843.92,111.07,1732.85,8938.54
183,8,8,2025-02-01,2025-02-01,1843.92,93.04,1750.88,7187.66
184,8,9,2025-03-01,2025-03-01,1843.92,74.81,1769.11,5418.55
185,8,10,2025-04-01,2025-04-01,1843.92,56.40,1787.52,3631.03
186,8,11,2025-05-01,2025-05-13,1843.92,37.79,1806.13,1824.90
187,8,12,2025-06-01,2025-06-01,1843.89,18.99,1824.90,0.00
188,9,1,2022-01-01,2022-01-01,990.13,407.00,583.13,183716.87
189,9,2,2022-02-01,2022-02-11,990.13,405.71,584.42,183132.45
190,9,3,2022-03-01,2022-03-01,990.13,404.42,585.71,182546.74
191,9,4,2022-04-01,2022-04-01,990.13,403.12,587.01,181959.73
192,9,5,2022-05-01,2022-05-01,990.13,401.83,588.30,181371.43
193,9,6,2022-06-01,2022-06-01,990.13,400.53,589.60,180781.83
194,9,7,2022-07-01,2022-07-01,990.13,399.23,590.90,180190.93
195,9,8,2022-08-01,2022-08-01,990.13,397.92,592.21,179598.72
196,9,9,2022-09-01,2022-09-01,990.13,396.61,593.52,179005.20
197,9,10,2022-10-01,2022-10-01,990.13,395.30,594.83,178410.37
198,9,11,2022-11-01,2022-11-01,990.13,393.99,596.14,177814.23
199,9,12,2022-12-01,2022-12-01,990.13,392.67,597.46,177216.77
200,9,13,2023-01-01,2023-01-01,990.13,391.35,598.78,176617.99
201,9,14,2023-02-01,2023-02-01,990.13,390.03,600.10,176017.89
202,9,15,2023-03-01,2023-03-01,990.13,388.71,601.42,175416.47
203,9,16,2023-04-01,2023-04-01,990.13,387.38,602.75,174813.72
204,9,17,2023-05-01,2023-05-01,990.13,386.05,604.08,174209.64
205,9,18,2023-06-01,2023-06-05,990.13,384.71,605.42,173604.22
206,9,19,2023-07-01,2023-07-01,990.13,383.38,606.75,172997.47
207,9,20,2023-08-01,2023-08-01,990.13,382.04,608.09,172389.38
208,9,21,2023-09-01,2023-09-01,990.13,380.69,609.44,171779.94
209,9,22,2023-10-01,2023-10-11,990.13,379.35,610.78,171169.16
210,9,23,2023-11-01,2023-11-01,990.13,378.00,612.13,170557.03
211,9,24,2023-12-01,2023-12-01,990.13,376.65,613.48,169943.55
212,9,25,2024-01-01,2024-01-01,990.13,375.29,614.84,169328.71
213,9,26,2024-02-01,2024-02-01,990.13,373.93,616.20,168712.51
214,9,27,2024-03-01,2024-03-01,990.13,372.57,617.56,168094.95
215,9,28,2024-04-01,2024-04-01,990.13,371.21,618.92,167476.03
216,9,29,2024-05-01,2024-05-01,990.13,369.84,620.29,166855.74
217,9,30,2024-06-01,2024-06-01,990.13,368.47,621.66,166234.08
218,9,31,2024-07-01,2024-07-01,990.13,367.10,623.03,165611.05
219,9,32,2024-08-01,2024-08-01,990.13,365.72,624.41,164986.64
220,9,33,2024-09-01,2024-09-01,990.13,364.35,625.78,164360.86
221,9,34,2024-10-01,2024-10-01,990.13,362.96,627.17,163733.69
222,9,35,2024-11-01,2024-11-01,990.13,361.58,628.55,163105.14
223,9,36,2024-12-01,2024-12-01,990.13,360.19,629.94,162475.20
224,9,37,2025-01-01,2025-01-01,990.13,358.80,631.33,161843.87
225,9,38,2025-02-01,2025-02-01,990.13,357.41,632.72,161211.15
226,9,39,2025-03-01,2025-03-01,990.13,356.01,634.12,160577.03
227,9,40,2025-04-01,2025-04-01,990.13,354.61,635.52,159941.51
228,9,41,2025-05-01,2025-05-01,990.13,353.20,636.93,159304.58
229,9,42,2025-06-01,2025-06-01,990.13,351.80,638.33,158666.25
230,10,1,2022-07-01,2022-07-01,550.41,154.70,395.71,16404.29
231,10,2,2022-08-01,2022-08-01,550.41,151.06,399.35,16004.94
232,10,3,2022-09-01,2022-09-01,550.41,147.38,403.03,15601.91
233,10,4,2022-10-01,2022-10-01,550.41,143.67,406.74,15195.17
234,10,5,2022-11-01,2022-11-01,550.41,139.92,410.49,14784.68
235,10,6,2022-12-01,2022-12-08,550.41,136.14,414.27,14370.41
236,10,7,2023-01-01,2023-01-01,550.41,132.33,418.08,13952.33
237,10,8,2023-02-01,2023-02-03,550.41,128.48,421.93,13530.40
238,10,9,2023-03-01,2023-03-02,550.41,124.59,425.82,13104.58
239,10,10,2023-04-01,2023-04-08,550.41,120.67,429.74,12674.84
240,10,11,2023-05-01,2023-05-01,550.41,116.71,433.70,12241.14
241,10,12,2023-06-01,2023-06-01,550.41,112.72,437.69,11803.45
242,10,13,2023-07-01,2023-07-01,550.41,108.69,441.72,11361.73
243,10,14,2023-08-01,2023-08-01,550.41,104.62,445.79,10915.94
244,10,15,2023-09-01,2023-09-01,550.41,100.52,449.89,10466.05
245,10,16,2023-10-01,2023-10-01,550.41,96.37,454.04,10012.01
246,10,17,2023-11-01,2023-11-01,550.41,92.19,458.22,9553.79
247,10,18,2023-12-01,2023-12-03,550.41,87.97,462.44,9091.35
248,10,19,2024-01-01,2024-01-01,550.41,83.72,466.69,8624.66
249,10,20,2024-02-01,2024-02-01,550.41,79.42,470.99,8153.67
250,10,21,2024-03-01,2024-03-01,550.41,75.08,475.33,7678.34
251,10,22,2024-04-01,2024-04-01,550.41,70.70,479.71,7198.63
252,10,23,2024-05-01,2024-05-01,550.41,66.29,484.12,6714.51
253,10,24,2024-06-01,2024-06-01,550.41,61.83,488.58,6225.93
254,10,25,2024-07-01,2024-07-01,550.41,57.33,493.08,5732.85
255,10,26,2024-08-01,2024-08-01,550.41,52.79,497.62,5235.23
256,10,27,2024-09-01,2024-09-01,550.41,48.21,502.20,4733.03
257,10,28,2024-10-01,2024-10-01,550.41,43.58,506.83,4226.20
258,10,29,2024-11-01,2024-11-01,550.41,38.92,511.49,3714.71
259,10,30,2024-12-01,2024-12-01,550.41,34.21,516.20,3198.51
260,10,31,2025-01-01,2025-01-01,550.41,29.45,520.96,2677.55
261,10,32,2025-02-01,2025-02-01,550.41,24.66,525.75,2151.80
262,10,33,2025-03-01,2025-03-01,550.41,19.81,530.60,1621.20
263,10,34,2025-04-01,2025-04-01,550.41,14.93,535.48,1085.72
264,10,35,2025-05-01,2025-05-01,550.41,10.00,540.41,545.31
265,10,36,2025-06-01,2025-06-03,550.33,5.02,545.31,0.00
266,11,1,2019-04-01,2019-04-01,1173.50,257.06,916.44,36383.56
267,11,2,2019-05-01,2019-05-03,1173.50,250.74,922.76,35460.80
268,11,3,2019-06-01,2019-06-01,1173.50,244.38,929.12,34531.68
269,11,4,2019-07-01,2019-07-01,1173.50,237.98,935.52,33596.16
270,11,5,2019-08-01,2019-08-01,1173.50,231.53,941.97,32654.19
271,11,6,2019-09-01,2019-09-01,1173.50,225.04,948.46,31705.73
272,11,7,2019-10-01,2019-10-12,1173.50,218.51,954.99,30750.74
273,11,8,2019-11-01,2019-11-01,1173.50,211.92,961.58,29789.16
274,11,9,2019-12-01,2019-12-01,1173.50,205.30,968.20,28820.96
275,11,10,2020-01-01,2020-01-01,1173.50,198.62,974.88,27846.08
276,11,11,2020-02-01,2020-02-01,1173.50,191.91,981.59,26864.49
277,11,12,2020-03-01,2020-03-02,1173.50,185.14,988.36,25876.13
278,11,13,2020-04-01,2020-04-01,1173.50,178.33,995.17,24880.96
279,11,14,2020-05-01,2020-05-01,1173.50,171.47,1002.03,23878.93
280,11,15,2020-06-01,2020-06-06,1173.50,164.57,1008.93,22870.00
281,11,16,2020-07-01,2020-07-01,1173.50,157.61,1015.89,21854.11
282,11,17,2020-08-01,2020-08-01,1173.50,150.61,1022.89,20831.22
283,11,18,2020-09-01,2020-09-01,1173.50,143.56,1029.94,19801.28
284,11,19,2020-10-01,2020-10-01,1173.50,136.46,1037.04,18764.24
285,11,20,2020-11-01,2020-11-01,1173.50,129.32,1044.18,17720.06
286,11,21,2020-12-01,2020-12-01,1173.50,122.12,1051.38,16668.68
287,11,22,2021-01-01,2021-01-01,1173.50,114.87,1058.63,15610.05
288,11,23,2021-02-01,2021-02-01,1173.50,107.58,1065.92,14544.13
289,11,24,2021-03-01,2021-03-01,1173.50,100.23,1073.27,13470.86
290,11,25,2021-04-01,2021-04-01,1173.50,92.84,1080.66,12390.20
291,11,26,2021-05-01,2021-05-05,1173.50,85.39,1088.11,11302.09
292,11,27,2021-06-01,2021-06-01,1173.50,77.89,1095.61,10206.48
293,11,28,2021-07-01,2021-07-01,1173.50,70.34,1103.16,9103.32
294,11,29,2021-08-01,2021-08-01,1173.50,62.74,1110.76,7992.56
295,11,30,2021-09-01,2021-09-01,1173.50,55.08,1118.42,6874.14
296,11,31,2021-10-01,2021-10-05,1173.50,47.37,1126.13,5748.01
297,11,32,2021-11-01,2021-11-07,1173.50,39.61,1133.89,4614.12
298,11,33,2021-12-01,2021-12-01,1173.50,31.80,1141.70,3472.42
299,11,34,2022-01-01,2022-01-01,1173.50,23.93,1149.57,2322.85
300,11,35,2022-02-01,2022-02-01,1173.50,16.01,1157.49,1165.36
301,11,36,2022-03-01,2022-03-01,1173.39,8.03,1165.36,0.00
302,12,1,2023-05-01,2023-05-01,726.79,258.83,467.96,41732.04
303,12,2,2023-06-01,2023-06-01,726.79,255.96,470.83,41261.21
304,12,3,2023-07-01,2023-07-01,726.79,253.07,473.72,40787.49
305,12,4,2023-08-01,2023-08-01,726.79,250.16,476.63,40310.86
306,12,5,2023-09-01,2023-09-01,726.79,247.24,479.55,39831.31
307,12,6,2023-10-01,2023-10-01,726.79,244.30,482.49,39348.82
308,12,7,2023-11-01,2023-11-01,726.79,241.34,485.45,38863.37
309,12,8,2023-12-01,2023-12-01,726.79,238.36,488.43,38374.94
310,12,9,2024-01-01,2024-01-01,726.79,235.37,491.42,37883.52
311,12,10,2024-02-01,2024-02-01,726.79,232.35,494.44,37389.08
312,12,11,2024-03-01,2024-03-01,726.79,229.32,497.47,36891.61
313,12,12,2024-04-01,2024-04-01,726.79,226.27,500.52,36391.09
314,12,13,2024-05-01,2024-05-01,726.79,223.20,503.59,35887.50
315,12,14,2024-06-01,2024-06-01,726.79,220.11,506.68,35380.82
316,12,15,2024-07-01,2024-07-01,726.79,217.00,509.79,34871.03
317,12,16,2024-08-01,2024-08-01,726.79,213.88,512.91,34358.12
318,12,17,2024-09-01,2024-09-01,726.79,210.73,516.06,33842.06
319,12,18,2024-10-01,2024-10-01,726.79,207.56,519.23,33322.83
320,12,19,2024-11-01,2024-11-01,726.79,204.38,522.41,32800.42
321,12,20,2024-12-01,2024-12-01,726.79,201.18,525.61,32274.81
322,12,21,2025-01-01,2025-01-01,726.79,197.95,528.84,31745.97
323,12,22,2025-02-01,2025-02-01,726.79,194.71,532.08,31213.89
324,12,23,2025-03-01,2025-03-01,726.79,191.45,535.34,30678.55
325,12,24,2025-04-01,2025-04-01,726.79,188.16,538.63,30139.92
326,12,25,2025-05-01,2025-05-01,726.79,184.86,541.93,29597.99
327,12,26,2025-06-01,2025-06-01,726.79,181.53,545.26,29052.73
328,13,1,2024-01-01,2024-01-01,264.01,47.37,216.64,8383.36
329,13,2,2024-02-01,2024-02-01,264.01,46.18,217.83,8165.53
330,13,3,2024-03-01,2024-03-01,264.01,44.98,219.03,7946.50
331,13,4,2024-04-01,2024-04-01,264.01,43.77,220.24,7726.26
332,13,5,2024-05-01,2024-05-01,264.01,42.56,221.45,7504.81
333,13,6,2024-06-01,2024-06-01,264.01,41.34,222.67,7282.14
334,13,7,2024-07-01,2024-07-01,264.01,40.11,223.90,7058.24
335,13,8,2024-08-01,2024-08-01,264.01,38.88,225.13,6833.11
336,13,9,2024-09-01,2024-09-01,264.01,37.64,226.37,6606.74
337,13,10,2024-10-01,2024-10-09,264.01,36.39,227.62,6379.12
338,13,11,2024-11-01,2024-11-01,264.01,35.14,228.87,6150.25
339,13,12,2024-12-01,2024-12-01,264.01,33.88,230.13,5920.12
340,13,13,2025-01-01,2025-01-01,264.01,32.61,231.40,5688.72
341,13,14,2025-02-01,2025-02-01,264.01,31.34,232.67,5456.05
342,13,15,2025-03-01,2025-03-01,264.01,30.05,233.96,5222.09
343,13,16,2025-04-01,2025-04-01,264.01,28.77,235.24,4986.85
344,13,17,2025-05-01,2025-05-01,264.01,27.47,236.54,4750.31
345,13,18,2025-06-01,2025-06-01,264.01,26.17,237.84,4512.47
346,14,1,2024-10-01,2024-10-01,256.27,77.90,178.37,7521.63
347,14,2,2024-11-01,2024-11-01,256.27,76.09,180.18,7341.45
348,14,3,2024-12-01,2024-12-01,256.27,74.27,182.00,7159.45
349,14,4,2025-01-01,2025-01-01,256.27,72.43,183.84,6975.61
350,14,5,2025-02-01,2025-02-01,256.27,70.57,185.70,6789.91
351,14,6,2025-03-01,2025-03-01,256.27,68.69,187.58,6602.33
352,14,7,2025-04-01,2025-04-01,256.27,66.79,189.48,6412.85
353,14,8,2025-05-01,2025-05-01,256.27,64.88,191.39,6221.46
354,14,9,2025-06-01,2025-06-01,256.27,62.94,193.33,6028.13
355,15,1,2019-07-01,2019-07-01,877.56,349.25,528.31,164471.69
356,15,2,2019-08-01,2019-08-01,877.56,348.13,529.43,163942.26
357,15,3,2019-09-01,2019-09-01,877.56,347.01,530.55,163411.71
358,15,4,2019-10-01,2019-10-01,877.56,345.89,531.67,162880.04
359,15,5,2019-11-01,2019-11-01,877.56,344.76,532.80,162347.24
360,15,6,2019-12-01,2019-12-01,877.56,343.63,533.93,161813.31
361,15,7,2020-01-01,2020-01-01,877.56,342.50,535.06,161278.25
362,15,8,2020-02-01,2020-02-13,877.56,341.37,536.19,160742.06
363,15,9,2020-03-01,2020-03-01,877.56,340.24,537.32,160204.74
364,15,10,2020-04-01,2020-04-01,877.56,339.10,538.46,159666.28
365,15,11,2020-05-01,2020-05-01,877.56,337.96,539.60,159126.68
366,15,12,2020-06-01,2020-06-01,877.56,336.82,540.74,158585.94
367,15,13,2020-07-01,2020-07-01,877.56,335.67,541.89,158044.05
368,15,14,2020-08-01,2020-08-01,877.56,334.53,543.03,157501.02
369,15,15,2020-09-01,2020-09-01,877.56,333.38,544.18,156956.84
370,15,16,2020-10-01,2020-10-06,877.56,332.23,545.33,156411.51
