id,ticker,company_name,trade_date,open_price,high_price,low_price,close_price,volume
63,CALDR,Caldera Energía,2024-04-30,17.71,17.93,16.40,16.95,583704
64,LKVW,Lakeview Alimentación,2024-04-30,12.16,12.17,12.00,12.08,256925
65,MRDN,Meridiano Industrial,2024-04-30,40.61,40.63,40.56,40.60,387950
66,NRTH,Northwind Farmacéutica,2024-04-30,90.97,91.69,90.16,91.57,238574
67,OKVL,Oakvale Construcción,2024-04-30,7.58,7.70,7.34,7.37,402371
68,PNFD,Pinefield Logística,2024-04-30,30.07,30.38,29.84,30.03,361353
69,STNB,Stonebridge Seguros,2024-04-30,54.99,55.19,54.46,54.74,202716
70,VGRE,Vega Renovables,2024-04-30,60.04,61.78,57.55,61.77,551326
71,ARCD,Arcadia Telecom,2024-05-01,9.72,9.99,9.63,9.95,380921
72,BLHB,Blue Harbour Naval,2024-05-01,30.78,31.54,30.52,31.19,235800
73,CALDR,Caldera Energía,2024-05-01,16.99,17.11,16.93,17.02,271555
74,LKVW,Lakeview Alimentación,2024-05-01,12.11,12.15,12.10,12.13,249753
75,MRDN,Meridiano Industrial,2024-05-01,40.62,40.90,40.44,40.80,270780
76,NRTH,Northwind Farmacéutica,2024-05-01,91.62,92.21,91.49,91.86,85563
77,OKVL,Oakvale Construcción,2024-05-01,7.37,7.56,7.24,7.44,144533
78,PNFD,Pinefield Logística,2024-05-01,29.79,30.01,29.23,29.32,527250
79,STNB,Stonebridge Seguros,2024-05-01,54.60,54.81,54.19,54.21,133556
80,VGRE,Vega Renovables,2024-05-01,62.36,63.41,59.18,59.85,450973
81,ARCD,Arcadia Telecom,2024-05-02,9.87,10.04,9.76,9.97,219807
82,BLHB,Blue Harbour Naval,2024-05-02,31.41,31.65,31.41,31.49,383601
83,CALDR,Caldera Energía,2024-05-02,17.12,17.40,17.08,17.24,217496
84,LKVW,Lakeview Alimentación,2024-05-02,12.17,12.36,12.06,12.35,330881
85,MRDN,Meridiano Industrial,2024-05-02,40.59,41.10,40.32,40.95,148544
86,NRTH,Northwind Farmacéutica,2024-05-02,91.74,92.15,89.75,90.69,391368
87,OKVL,Oakvale Construcción,2024-05-02,7.47,7.51,7.45,7.48,166485
88,PNFD,Pinefield Logística,2024-05-02,29.78,30.58,28.60,29.03,296732
89,STNB,Stonebridge Seguros,2024-05-02,53.88,54.46,53.77,54.44,165875
90,VGRE,Vega Renovables,2024-05-02,59.35,60.75,56.59,58.05,269143
91,ARCD,Arcadia Telecom,2024-05-03,9.93,9.97,9.88,9.91,283185
92,BLHB,Blue Harbour Naval,2024-05-03,31.63,32.33,31.20,31.96,322190
93,CALDR,Caldera Energía,2024-05-03,17.19,17.95,17.00,17.70,359307
94,LKVW,Lakeview Alimentación,2024-05-03,12.39,12.51,12.03,12.20,362938
95,MRDN,Meridiano Industrial,2024-05-03,40.93,41.42,39.84,40.35,444664
96,NRTH,Northwind Farmacéutica,2024-05-03,91.11,91.31,89.49,89.71,250431
97,OKVL,Oakvale Construcción,2024-05-03,7.48,7.68,7.45,7.58,459391
98,PNFD,Pinefield Logística,2024-05-03,29.26,30.07,28.01,28.02,458672
99,STNB,Stonebridge Seguros,2024-05-03,54.00,55.37,53.50,54.97,159839
100,VGRE,Vega Renovables,2024-05-03,57.33,58.17,56.92,57.95,249938
101,ARCD,Arcadia Telecom,2024-05-06,9.92,9.93,9.83,9.90,106523
102,BLHB,Blue Harbour Naval,2024-05-06,31.87,32.72,31.01,32.71,660604
103,CALDR,Caldera Energía,2024-05-06,17.62,17.69,17.35,17.42,438723
104,LKVW,Lakeview Alimentación,2024-05-06,12.17,12.23,12.09,12.15,246688
105,MRDN,Meridiano Industrial,2024-05-06,40.33,40.34,39.95,40.11,286708
106,NRTH,Northwind Farmacéutica,2024-05-06,89.51,89.90,88.42,88.99,257693
107,OKVL,Oakvale Construcción,2024-05-06,7.60,7.68,7.56,7.63,273314
108,PNFD,Pinefield Logística,2024-05-06,27.98,28.40,27.47,28.34,294772
109,STNB,Stonebridge Seguros,2024-05-06,54.48,56.14,53.78,55.24,180399
110,VGRE,Vega Renovables,2024-05-06,58.63,61.85,57.91,60.77,450358
111,ARCD,Arcadia Telecom,2024-05-07,9.88,9.93,9.60,9.80,158624
112,BLHB,Blue Harbour Naval,2024-05-07,32.91,33.21,32.72,32.76,204086
113,CALDR,Caldera Energía,2024-05-07,17.36,17.68,16.54,16.98,471481
114,LKVW,Lakeview Alimentación,2024-05-07,12.11,12.34,11.99,12.22,180372
115,MRDN,Meridiano Industrial,2024-05-07,40.03,40.37,39.47,39.70,369929
116,NRTH,Northwind Farmacéutica,2024-05-07,89.34,90.38,88.67,88.89,197646
117,OKVL,Oakvale Construcción,2024-05-07,7.63,8.02,7.58,7.83,180215
118,PNFD,Pinefield Logística,2024-05-07,28.25,29.31,27.61,28.71,313734
119,STNB,Stonebridge Seguros,2024-05-07,55.17,55.40,54.92,55.27,95330
120,VGRE,Vega Renovables,2024-05-07,61.48,61.85,59.30,59.44,429729
121,ARCD,Arcadia Telecom,2024-05-08,9.82,10.00,9.72,9.88,211325
122,BLHB,Blue Harbour Naval,2024-05-08,32.68,32.80,32.49,32.51,296369
123,CALDR,Caldera Energía,2024-05-08,16.95,17.21,16.92,17.07,250441
124,LKVW,Lakeview Alimentación,2024-05-08,12.23,12.35,11.46,11.84,587142
125,MRDN,Meridiano Industrial,2024-05-08,39.68,40.15,38.38,38.94,442074
126,NRTH,Northwind Farmacéutica,2024-05-08,89.00,89.98,88.00,88.59,255673
127,OKVL,Oakvale Construcción,2024-05-08,7.83,7.84,7.72,7.78,276807
128,PNFD,Pinefield Logística,2024-05-08,29.00,29.95,26.77,27.26,402137
129,STNB,Stonebridge Seguros,2024-05-08,55.47,55.83,54.75,55.10,223266
130,VGRE,Vega Renovables,2024-05-08,59.28,59.51,57.37,57.49,657639
131,ARCD,Arcadia Telecom,2024-05-09,9.88,10.04,9.51,9.65,395993
132,BLHB,Blue Harbour Naval,2024-05-09,32.32,32.65,32.17,32.62,194790
133,CALDR,Caldera Energía,2024-05-09,17.40,17.70,16.20,16.59,504271
134,LKVW,Lakeview Alimentación,2024-05-09,11.84,11.90,11.80,11.85,99111
135,MRDN,Meridiano Industrial,2024-05-09,39.08,39.66,38.44,38.76,248273
136,NRTH,Northwind Farmacéutica,2024-05-09,88.64,91.05,87.28,89.92,339567
137,OKVL,Oakvale Construcción,2024-05-09,7.77,7.80,7.71,7.72,87117
138,PNFD,Pinefield Logística,2024-05-09,27.31,27.61,27.10,27.14,204489
139,STNB,Stonebridge Seguros,2024-05-09,55.16,55.64,54.67,54.74,212231
140,VGRE,Vega Renovables,2024-05-09,57.15,62.07,54.54,59.52,486546
141,ARCD,Arcadia Telecom,2024-05-10,9.57,9.63,9.49,9.51,305191
142,BLHB,Blue Harbour Naval,2024-05-10,32.65,32.67,32.17,32.28,245846
143,CALDR,Caldera Energía,2024-05-10,16.61,16.63,16.58,16.62,195792
144,LKVW,Lakeview Alimentación,2024-05-10,11.90,12.01,11.85,11.87,143003
145,MRDN,Meridiano Industrial,2024-05-10,38.38,39.31,38.20,38.73,243255
146,NRTH,Northwind Farmacéutica,2024-05-10,90.08,90.55,89.49,89.79,200802
147,OKVL,Oakvale Construcción,2024-05-10,7.78,7.87,7.68,7.84,393809
148,PNFD,Pinefield Logística,2024-05-10,27.39,27.65,26.38,26.65,441977
149,STNB,Stonebridge Seguros,2024-05-10,54.53,56.57,52.30,52.76,459897
150,VGRE,Vega Renovables,2024-05-10,59.75,63.87,57.78,61.96,127933
151,ARCD,Arcadia Telecom,2024-05-13,9.53,9.61,9.33,9.45,193269
152,BLHB,Blue Harbour Naval,2024-05-13,32.45,33.59,30.76,31.89,306169
153,CALDR,Caldera Energía,2024-05-13,16.41,16.49,16.40,16.45,392210
154,LKVW,Lakeview Alimentación,2024-05-13,11.92,11.98,11.86,11.94,306607
155,MRDN,Meridiano Industrial,2024-05-13,38.69,38.80,38.02,38.34,287326
156,NRTH,Northwind Farmacéutica,2024-05-13,89.93,90.46,89.84,90.12,204957
157,OKVL,Oakvale Construcción,2024-05-13,7.82,7.89,7.73,7.77,289310
158,PNFD,Pinefield Logística,2024-05-13,26.47,26.61,25.87,26.55,150787
159,STNB,Stonebridge Seguros,2024-05-13,52.85,53.83,50.21,51.61,441368
160,VGRE,Vega Renovables,2024-05-13,61.39,64.18,59.17,63.76,480060
161,ARCD,Arcadia Telecom,2024-05-14,9.47,9.49,9.06,9.32,344308
162,BLHB,Blue Harbour Naval,2024-05-14,31.97,32.03,31.76,31.95,211012
163,CALDR,Caldera Energía,2024-05-14,16.49,16.65,16.09,16.27,275850
164,LKVW,Lakeview Alimentación,2024-05-14,11.86,12.21,11.76,12.06,247521
165,MRDN,Meridiano Industrial,2024-05-14,38.38,38.73,37.59,38.00,302974
166,NRTH,Northwind Farmacéutica,2024-05-14,89.75,90.41,89.14,90.38,226556
167,OKVL,Oakvale Construcción,2024-05-14,7.70,7.94,7.58,7.84,216253
168,PNFD,Pinefield Logística,2024-05-14,26.52,26.77,26.06,26.30,237733
169,STNB,Stonebridge Seguros,2024-05-14,51.57,52.04,50.15,50.68,351439
170,VGRE,Vega Renovables,2024-05-14,63.78,65.59,63.18,64.54,142712
171,ARCD,Arcadia Telecom,2024-05-15,9.39,9.48,9.26,9.35,210284
172,BLHB,Blue Harbour Naval,2024-05-15,31.92,32.46,31.03,31.50,289233
173,CALDR,Caldera Energía,2024-05-15,16.29,16.54,16.08,16.12,279002
174,LKVW,Lakeview Alimentación,2024-05-15,12.07,12.08,12.04,12.05,338990
175,MRDN,Meridiano Industrial,2024-05-15,37.87,38.05,37.81,37.98,104425
176,NRTH,Northwind Farmacéutica,2024-05-15,90.28,91.78,88.84,91.40,432996
177,OKVL,Oakvale Construcción,2024-05-15,7.90,8.10,7.67,7.72,265407
178,PNFD,Pinefield Logística,2024-05-15,26.52,26.59,26.32,26.47,327845
179,STNB,Stonebridge Seguros,2024-05-15,50.68,50.74,47.91,49.26,377991
180,VGRE,Vega Renovables,2024-05-15,64.49,66.15,63.03,65.63,404834
181,ARCD,Arcadia Telecom,2024-05-16,9.37,9.47,9.27,9.31,218269
182,BLHB,Blue Harbour Naval,2024-05-16,31.43,31.93,29.82,30.38,753456
183,CALDR,Caldera Energía,2024-05-16,15.99,16.00,15.46,15.69,367150
184,LKVW,Lakeview Alimentación,2024-05-16,12.09,12.10,12.03,12.05,261342
185,MRDN,Meridiano Industrial,2024-05-16,38.04,38.31,37.85,38.19,230803
186,NRTH,Northwind Farmacéutica,2024-05-16,91.36,92.19,89.60,90.45,309495
187,OKVL,Oakvale Construcción,2024-05-16,7.73,7.81,7.64,7.65,314142
188,PNFD,Pinefield Logística,2024-05-16,26.36,26.77,25.15,25.64,531226
189,STNB,Stonebridge Seguros,2024-05-16,49.84,49.92,49.40,49.70,373794
190,VGRE,Vega Renovables,2024-05-16,66.26,66.48,61.50,64.13,360188
191,ARCD,Arcadia Telecom,2024-05-17,9.28,9.35,9.21,9.33,232079
192,BLHB,Blue Harbour Naval,2024-05-17,30.33,30.57,30.00,30.54,116004
193,CALDR,Caldera Energía,2024-05-17,15.65,15.74,15.60,15.65,197010
194,LKVW,Lakeview Alimentación,2024-05-17,11.98,12.07,11.79,11.87,166034
195,MRDN,Meridiano Industrial,2024-05-17,37.99,38.48,37.66,38.33,151299
196,NRTH,Northwind Farmacéutica,2024-05-17,91.03,92.33,89.03,90.04,198629
197,OKVL,Oakvale Construcción,2024-05-17,7.70,7.70,7.62,7.66,104665
198,PNFD,Pinefield Logística,2024-05-17,25.85,26.26,25.84,26.02,223458
199,STNB,Stonebridge Seguros,2024-05-17,49.82,52.60,48.25,51.35,664333
200,VGRE,Vega Renovables,2024-05-17,64.84,66.29,62.42,63.35,303011
201,ARCD,Arcadia Telecom,2024-05-20,9.37,9.37,9.35,9.36,159783
202,BLHB,Blue Harbour Naval,2024-05-20,30.28,30.98,29.91,30.72,164624
203,CALDR,Caldera Energía,2024-05-20,15.73,15.77,15.40,15.53,150784
204,LKVW,Lakeview Alimentación,2024-05-20,11.89,11.94,11.85,11.86,194175
205,MRDN,Meridiano Industrial,2024-05-20,38.19,39.01,36.81,37.65,346473
206,NRTH,Northwind Farmacéutica,2024-05-20,89.52,90.93,89.40,90.44,173630
207,OKVL,Oakvale Construcción,2024-05-20,7.66,7.76,7.57,7.74,265123
208,PNFD,Pinefield Logística,2024-05-20,26.00,27.61,25.51,26.84,483513
209,STNB,Stonebridge Seguros,2024-05-20,51.51,53.31,48.96,50.11,302721
210,VGRE,Vega Renovables,2024-05-20,63.26,63.48,62.71,63.12,331611
211,ARCD,Arcadia Telecom,2024-05-21,9.34,9.34,9.27,9.32,185718
212,BLHB,Blue Harbour Naval,2024-05-21,30.66,31.26,30.63,31.12,396643
213,CALDR,Caldera Energía,2024-05-21,15.70,16.02,14.80,15.10,408863
214,LKVW,Lakeview Alimentación,2024-05-21,11.79,11.80,11.79,11.79,387235
215,MRDN,Meridiano Industrial,2024-05-21,37.83,38.23,37.10,37.39,259782
216,NRTH,Northwind Farmacéutica,2024-05-21,90.24,90.65,90.23,90.35,142336
217,OKVL,Oakvale Construcción,2024-05-21,7.72,7.79,7.49,7.50,452536
218,PNFD,Pinefield Logística,2024-05-21,26.81,27.07,26.75,26.84,186895
219,STNB,Stonebridge Seguros,2024-05-21,49.93,50.07,49.66,49.72,200077
220,VGRE,Vega Renovables,2024-05-21,63.85,67.40,59.65,61.66,550509
221,ARCD,Arcadia Telecom,2024-05-22,9.32,9.38,8.97,9.15,431456
222,BLHB,Blue Harbour Naval,2024-05-22,31.17,31.54,30.98,31.39,390524
223,CALDR,Caldera Energía,2024-05-22,15.10,15.58,14.67,14.81,303653
224,LKVW,Lakeview Alimentación,2024-05-22,11.83,12.12,11.82,12.02,393770
225,MRDN,Meridiano Industrial,2024-05-22,37.47,37.76,37.20,37.59,233635
226,NRTH,Northwind Farmacéutica,2024-05-22,90.58,90.67,90.16,90.42,271772
227,OKVL,Oakvale Construcción,2024-05-22,7.48,7.48,7.46,7.48,3948
228,PNFD,Pinefield Logística,2024-05-22,26.57,27.92,25.47,27.63,383322
229,STNB,Stonebridge Seguros,2024-05-22,49.53,49.83,49.37,49.81,215558
230,VGRE,Vega Renovables,2024-05-22,61.28,67.24,58.61,64.54,673695
231,ARCD,Arcadia Telecom,2024-05-23,9.09,9.13,9.09,9.10,160581
232,BLHB,Blue Harbour Naval,2024-05-23,31.75,32.00,31.70,31.96,126100
233,CALDR,Caldera Energía,2024-05-23,14.73,15.15,14.36,14.39,532695
234,LKVW,Lakeview Alimentación,2024-05-23,11.97,12.06,11.83,12.06,223580
235,MRDN,Meridiano Industrial,2024-05-23,37.51,37.94,37.18,37.72,313338
236,NRTH,Northwind Farmacéutica,2024-05-23,90.34,91.36,89.67,91.22,237814
237,OKVL,Oakvale Construcción,2024-05-23,7.51,7.52,7.50,7.51,342122
238,PNFD,Pinefield Logística,2024-05-23,27.21,27.82,26.82,27.68,183528
239,STNB,Stonebridge Seguros,2024-05-23,49.92,50.38,49.11,49.34,378360
240,VGRE,Vega Renovables,2024-05-23,66.24,66.65,66.10,66.62,663532
241,ARCD,Arcadia Telecom,2024-05-24,9.06,9.17,8.99,9.15,268323
242,BLHB,Blue Harbour Naval,2024-05-24,32.06,32.49,32.03,32.40,437574
243,CALDR,Caldera Energía,2024-05-24,14.42,14.51,13.76,14.22,297460
244,LKVW,Lakeview Alimentación,2024-05-24,12.07,12.22,11.94,11.95,70299
245,MRDN,Meridiano Industrial,2024-05-24,37.99,38.15,37.42,37.58,147676
246,NRTH,Northwind Farmacéutica,2024-05-24,91.53,93.21,91.31,92.89,348479
247,OKVL,Oakvale Construcción,2024-05-24,7.54,7.55,7.44,7.50,254117
248,PNFD,Pinefield Logística,2024-05-24,27.56,27.68,27.41,27.47,154375
249,STNB,Stonebridge Seguros,2024-05-24,49.34,49.37,48.69,48.90,266056
250,VGRE,Vega Renovables,2024-05-24,66.49,67.03,66.07,66.94,205843
251,ARCD,Arcadia Telecom,2024-05-27,9.20,9.42,9.07,9.28,320946
252,BLHB,Blue Harbour Naval,2024-05-27,32.36,33.23,31.39,31.75,340844
253,CALDR,Caldera Energía,2024-05-27,14.11,14.78,14.00,14.61,623542
254,LKVW,Lakeview Alimentación,2024-05-27,11.86,11.89,11.78,11.82,188465
255,MRDN,Meridiano Industrial,2024-05-27,37.62,38.81,37.00,38.28,361234
256,NRTH,Northwind Farmacéutica,2024-05-27,92.44,93.91,92.12,93.75,199142
257,OKVL,Oakvale Construcción,2024-05-27,7.49,7.62,7.48,7.58,187807
258,PNFD,Pinefield Logística,2024-05-27,27.76,28.27,26.63,27.17,321187
259,STNB,Stonebridge Seguros,2024-05-27,48.93,49.56,48.85,49.30,197506
260,VGRE,Vega Renovables,2024-05-27,66.77,69.86,65.13,69.17,586272
261,ARCD,Arcadia Telecom,2024-05-28,9.32,9.34,9.07,9.16,270773
262,BLHB,Blue Harbour Naval,2024-05-28,31.89,32.33,31.41,31.84,128780
263,CALDR,Caldera Energía,2024-05-28,14.57,14.65,13.83,14.30,335276
264,LKVW,Lakeview Alimentación,2024-05-28,11.85,11.96,11.67,11.76,177806
265,MRDN,Meridiano Industrial,2024-05-28,38.13,39.04,37.86,38.60,283310
266,NRTH,Northwind Farmacéutica,2024-05-28,93.82,95.13,91.85,92.16,276445
267,OKVL,Oakvale Construcción,2024-05-28,7.54,7.60,7.48,7.59,186199
268,PNFD,Pinefield Logística,2024-05-28,27.58,29.45,27.42,29.25,460113
269,STNB,Stonebridge Seguros,2024-05-28,49.57,49.77,48.46,48.87,196316
270,VGRE,Vega Renovables,2024-05-28,69.61,70.82,69.46,69.70,163125
271,ARCD,Arcadia Telecom,2024-05-29,9.21,9.30,8.95,9.10,231697
272,BLHB,Blue Harbour Naval,2024-05-29,31.81,31.89,31.07,31.37,273346
273,CALDR,Caldera Energía,2024-05-29,14.26,14.26,14.08,14.17,275965
274,LKVW,Lakeview Alimentación,2024-05-29,11.78,11.88,11.67,11.85,226203
275,MRDN,Meridiano Industrial,2024-05-29,38.52,39.49,37.97,39.12,363634
276,NRTH,Northwind Farmacéutica,2024-05-29,91.96,94.72,90.84,93.38,132292
277,OKVL,Oakvale Construcción,2024-05-29,7.59,7.72,7.41,7.51,322139
278,PNFD,Pinefield Logística,2024-05-29,29.34,29.41,29.04,29.30,265150
279,STNB,Stonebridge Seguros,2024-05-29,48.55,50.44,48.34,49.47,255044
280,VGRE,Vega Renovables,2024-05-29,70.34,70.51,69.48,69.95,240801
281,ARCD,Arcadia Telecom,2024-05-30,9.23,9.36,9.20,9.32,397545
282,BLHB,Blue Harbour Naval,2024-05-30,31.51,32.05,31.03,31.24,229543
283,CALDR,Caldera Energía,2024-05-30,14.16,14.29,13.79,13.97,365324
284,LKVW,Lakeview Alimentación,2024-05-30,11.97,12.07,11.97,12.01,293540
285,MRDN,Meridiano Industrial,2024-05-30,39.05,39.26,38.82,38.92,340064
286,NRTH,Northwind Farmacéutica,2024-05-30,93.47,94.64,91.33,92.28,233921
287,OKVL,Oakvale Construcción,2024-05-30,7.51,7.66,7.43,7.61,243202
288,PNFD,Pinefield Logística,2024-05-30,29.11,29.92,28.60,28.88,296504
289,STNB,Stonebridge Seguros,2024-05-30,49.82,50.21,49.29,49.39,154467
290,VGRE,Vega Renovables,2024-05-30,70.44,70.74,69.65,70.24,61381
291,ARCD,Arcadia Telecom,2024-05-31,9.33,9.53,9.33,9.42,306853
292,BLHB,Blue Harbour Naval,2024-05-31,31.16,31.65,31.14,31.42,332135
293,CALDR,Caldera Energía,2024-05-31,13.89,14.10,13.78,13.92,171181
294,LKVW,Lakeview Alimentación,2024-05-31,11.94,12.06,11.80,12.05,136411
295,MRDN,Meridiano Industrial,2024-05-31,39.09,39.24,37.50,38.31,462642
296,NRTH,Northwind Farmacéutica,2024-05-31,92.76,93.42,91.97,93.03,214995
297,OKVL,Oakvale Construcción,2024-05-31,7.61,7.64,7.60,7.63,233213
298,PNFD,Pinefield Logística,2024-05-31,28.90,29.06,28.71,28.92,114598
299,STNB,Stonebridge Seguros,2024-05-31,49.25,49.55,49.04,49.34,109895
300,VGRE,Vega Renovables,2024-05-31,70.10,71.85,69.70,71.35,112417
301,ARCD,Arcadia Telecom,2024-06-03,9.47,9.51,9.47,9.50,258441
302,BLHB,Blue Harbour Naval,2024-06-03,31.42,31.50,30.95,31.17,245364
303,CALDR,Caldera Energía,2024-06-03,13.90,14.48,13.55,14.26,247315
304,LKVW,Lakeview Alimentación,2024-06-03,11.98,12.03,11.89,11.93,256852
305,MRDN,Meridiano Industrial,2024-06-03,38.38,38.58,38.24,38.29,152779
306,NRTH,Northwind Farmacéutica,2024-06-03,93.36,94.84,91.67,92.80,184827
307,OKVL,Oakvale Construcción,2024-06-03,7.57,7.69,7.55,7.63,191159
308,PNFD,Pinefield Logística,2024-06-03,28.98,29.12,28.80,28.94,228655
309,STNB,Stonebridge Seguros,2024-06-03,49.30,49.31,49.23,49.29,185677
310,VGRE,Vega Renovables,2024-06-03,71.76,77.45,67.42,74.76,669414
311,ARCD,Arcadia Telecom,2024-06-04,9.58,9.59,9.25,9.42,172020
312,BLHB,Blue Harbour Naval,2024-06-04,31.31,32.01,30.27,31.74,419113
313,CALDR,Caldera Energía,2024-06-04,14.13,14.32,14.12,14.21,159705
314,LKVW,Lakeview Alimentación,2024-06-04,11.93,12.13,11.81,12.08,312043
315,MRDN,Meridiano Industrial,2024-06-04,38.16,38.39,37.71,38.04,158277
316,NRTH,Northwind Farmacéutica,2024-06-04,92.76,92.82,91.81,92.22,150551
317,OKVL,Oakvale Construcción,2024-06-04,7.59,8.03,7.54,7.81,199043
318,PNFD,Pinefield Logística,2024-06-04,28.87,29.13,27.88,28.27,477704
319,STNB,Stonebridge Seguros,2024-06-04,49.11,50.30,47.10,47.81,486312
320,VGRE,Vega Renovables,2024-06-04,75.12,75.46,75.04,75.11,375286
321,ARCD,Arcadia Telecom,2024-06-05,9.39,9.54,9.34,9.52,239765
322,BLHB,Blue Harbour Naval,2024-06-05,31.60,31.74,31.35,31.40,323582
323,CALDR,Caldera Energía,2024-06-05,14.16,14.19,14.09,14.12,301722
324,LKVW,Lakeview Alimentación,2024-06-05,11.99,12.35,11.84,12.18,411891
