id,base_currency,quote_currency,rate_date,rate
127,EUR,GBP,2024-05-27,0.84
128,EUR,JPY,2024-05-27,163.00
129,EUR,MXN,2024-05-27,18.54
130,EUR,USD,2024-05-27,1.09
131,EUR,CHF,2024-05-28,0.93
132,EUR,GBP,2024-05-28,0.84
133,EUR,JPY,2024-05-28,161.32
134,EUR,MXN,2024-05-28,18.57
135,EUR,USD,2024-05-28,1.09
136,EUR,CHF,2024-05-29,0.93
137,EUR,GBP,2024-05-29,0.84
138,EUR,JPY,2024-05-29,161.41
139,EUR,MXN,2024-05-29,18.55
140,EUR,USD,2024-05-29,1.09
141,EUR,CHF,2024-05-30,0.94
142,EUR,GBP,2024-05-30,0.84
143,EUR,JPY,2024-05-30,161.11
144,EUR,MXN,2024-05-30,18.61
145,EUR,USD,2024-05-30,1.09
146,EUR,CHF,2024-05-31,0.93
147,EUR,GBP,2024-05-31,0.84
148,EUR,JPY,2024-05-31,161.14
149,EUR,MXN,2024-05-31,18.78
150,EUR,USD,2024-05-31,1.10
151,EUR,CHF,2024-06-03,0.93
152,EUR,GBP,2024-06-03,0.84
153,EUR,JPY,2024-06-03,160.96
154,EUR,MXN,2024-06-03,18.83
155,EUR,USD,2024-06-03,1.10
156,EUR,CHF,2024-06-04,0.93
157,EUR,GBP,2024-06-04,0.84
158,EUR,JPY,2024-06-04,161.38
159,EUR,MXN,2024-06-04,18.67
160,EUR,USD,2024-06-04,1.10
161,EUR,CHF,2024-06-05,0.93
162,EUR,GBP,2024-06-05,0.84
163,EUR,JPY,2024-06-05,160.95
164,EUR,MXN,2024-06-05,18.67
165,EUR,USD,2024-06-05,1.10
166,EUR,CHF,2024-06-06,0.92
167,EUR,GBP,2024-06-06,0.85
168,EUR,JPY,2024-06-06,160.66
169,EUR,MXN,2024-06-06,18.65
170,EUR,USD,2024-06-06,1.10
171,EUR,CHF,2024-06-07,0.92
172,EUR,GBP,2024-06-07,0.84
173,EUR,JPY,2024-06-07,160.50
174,EUR,MXN,2024-06-07,18.53
175,EUR,USD,2024-06-07,1.11
176,EUR,CHF,2024-06-10,0.93
177,EUR,GBP,2024-06-10,0.85
178,EUR,JPY,2024-06-10,160.40
179,EUR,MXN,2024-06-10,18.57
180,EUR,USD,2024-06-10,1.10
181,EUR,CHF,2024-06-11,0.93
182,EUR,GBP,2024-06-11,0.85
183,EUR,JPY,2024-06-11,160.52
184,EUR,MXN,2024-06-11,18.54
185,EUR,USD,2024-06-11,1.10
186,EUR,CHF,2024-06-12,0.93
187,EUR,GBP,2024-06-12,0.85
188,EUR,JPY,2024-06-12,160.85
189,EUR,MXN,2024-06-12,18.44
190,EUR,USD,2024-06-12,1.10
191,EUR,CHF,2024-06-13,0.93
192,EUR,GBP,2024-06-13,0.86
193,EUR,JPY,2024-06-13,161.31
194,EUR,MXN,2024-06-13,18.60
195,EUR,USD,2024-06-13,1.11
196,EUR,CHF,2024-06-14,0.93
197,EUR,GBP,2024-06-14,0.85
198,EUR,JPY,2024-06-14,161.43
199,EUR,MXN,2024-06-14,18.54
200,EUR,USD,2024-06-14,1.11
201,EUR,CHF,2024-06-17,0.93
202,EUR,GBP,2024-06-17,0.85
203,EUR,JPY,2024-06-17,162.43
204,EUR,MXN,2024-06-17,18.50
205,EUR,USD,2024-06-17,1.11
206,EUR,CHF,2024-06-18,0.93
207,EUR,GBP,2024-06-18,0.85
208,EUR,JPY,2024-06-18,161.61
209,EUR,MXN,2024-06-18,18.50
210,EUR,USD,2024-06-18,1.11
211,EUR,CHF,2024-06-19,0.93
212,EUR,GBP,2024-06-19,0.85
213,EUR,JPY,2024-06-19,162.54
214,EUR,MXN,2024-06-19,18.43
215,EUR,USD,2024-06-19,1.11
216,EUR,CHF,2024-06-20,0.94
217,EUR,GBP,2024-06-20,0.85
218,EUR,JPY,2024-06-20,161.36
219,EUR,MXN,2024-06-20,18.54
220,EUR,USD,2024-06-20,1.11
221,EUR,CHF,2024-06-21,0.94
222,EUR,GBP,2024-06-21,0.85
223,EUR,JPY,2024-06-21,160.98
224,EUR,MXN,2024-06-21,18.58
225,EUR,USD,2024-06-21,1.11
226,EUR,CHF,2024-06-24,0.95
227,EUR,GBP,2024-06-24,0.85
228,EUR,JPY,2024-06-24,160.96
229,EUR,MXN,2024-06-24,18.55
230,EUR,USD,2024-06-24,1.11
231,EUR,CHF,2024-06-25,0.95
232,EUR,GBP,2024-06-25,0.86
233,EUR,JPY,2024-06-25,160.15
234,EUR,MXN,2024-06-25,18.58
235,EUR,USD,2024-06-25,1.11
236,EUR,CHF,2024-06-26,0.95
237,EUR,GBP,2024-06-26,0.86
238,EUR,JPY,2024-06-26,160.47
239,EUR,MXN,2024-06-26,18.61
240,EUR,USD,2024-06-26,1.11
241,EUR,CHF,2024-06-27,0.95
242,EUR,GBP,2024-06-27,0.85
243,EUR,JPY,2024-06-27,160.40
244,EUR,MXN,2024-06-27,18.60
245,EUR,USD,2024-06-27,1.12
246,EUR,CHF,2024-06-28,0.95
247,EUR,GBP,2024-06-28,0.85
248,EUR,JPY,2024-06-28,160.42
249,EUR,MXN,2024-06-28,18.54
250,EUR,USD,2024-06-28,1.12
251,EUR,CHF,2024-07-01,0.95
252,EUR,GBP,2024-07-01,0.85
253,EUR,JPY,2024-07-01,161.00
254,EUR,MXN,2024-07-01,18.65
255,EUR,USD,2024-07-01,1.12
256,EUR,CHF,2024-07-02,0.95
257,EUR,GBP,2024-07-02,0.86
258,EUR,JPY,2024-07-02,160.59
259,EUR,MXN,2024-07-02,18.59
260,EUR,USD,2024-07-02,1.12
261,EUR,CHF,2024-07-03,0.96
262,EUR,GBP,2024-07-03,0.86
263,EUR,JPY,2024-07-03,161.75
264,EUR,MXN,2024-07-03,18.53
265,EUR,USD,2024-07-03,1.13
266,EUR,CHF,2024-07-04,0.96
267,EUR,GBP,2024-07-04,0.86
268,EUR,JPY,2024-07-04,161.84
269,EUR,MXN,2024-07-04,18.67
270,EUR,USD,2024-07-04,1.13
271,EUR,CHF,2024-07-05,0.96
272,EUR,GBP,2024-07-05,0.86
273,EUR,JPY,2024-07-05,162.93
274,EUR,MXN,2024-07-05,18.52
275,EUR,USD,2024-07-05,1.12
276,EUR,CHF,2024-07-08,0.96
277,EUR,GBP,2024-07-08,0.87
278,EUR,JPY,2024-07-08,162.82
279,EUR,MXN,2024-07-08,18.51
280,EUR,USD,2024-07-08,1.12
281,EUR,CHF,2024-07-09,0.96
282,EUR,GBP,2024-07-09,0.86
283,EUR,JPY,2024-07-09,162.23
284,EUR,MXN,2024-07-09,18.57
285,EUR,USD,2024-07-09,1.13
286,EUR,CHF,2024-07-10,0.96
287,EUR,GBP,2024-07-10,0.86
288,EUR,JPY,2024-07-10,162.60
289,EUR,MXN,2024-07-10,18.51
290,EUR,USD,2024-07-10,1.12
291,EUR,CHF,2024-07-11,0.96
292,EUR,GBP,2024-07-11,0.86
293,EUR,JPY,2024-07-11,161.68
294,EUR,MXN,2024-07-11,18.43
295,EUR,USD,2024-07-11,1.13
296,EUR,CHF,2024-07-12,0.97
297,EUR,GBP,2024-07-12,0.86
298,EUR,JPY,2024-07-12,162.42
299,EUR,MXN,2024-07-12,18.52
300,EUR,USD,2024-07-12,1.12
301,EUR,CHF,2024-07-15,0.97
302,EUR,GBP,2024-07-15,0.86
303,EUR,JPY,2024-07-15,161.82
304,EUR,MXN,2024-07-15,18.50
305,EUR,USD,2024-07-15,1.12
306,EUR,CHF,2024-07-16,0.97
307,EUR,GBP,2024-07-16,0.86
308,EUR,JPY,2024-07-16,162.20
309,EUR,MXN,2024-07-16,18.42
310,EUR,USD,2024-07-16,1.12
311,EUR,CHF,2024-07-17,0.98
312,EUR,GBP,2024-07-17,0.87
313,EUR,JPY,2024-07-17,161.49
314,EUR,MXN,2024-07-17,18.38
315,EUR,USD,2024-07-17,1.12
316,EUR,CHF,2024-07-18,0.98
317,EUR,GBP,2024-07-18,0.86
318,EUR,JPY,2024-07-18,161.86
319,EUR,MXN,2024-07-18,18.43
320,EUR,USD,2024-07-18,1.12
321,EUR,CHF,2024-07-19,0.97
322,EUR,GBP,2024-07-19,0.87
323,EUR,JPY,2024-07-19,162.21
324,EUR,MXN,2024-07-19,18.30
325,EUR,USD,2024-07-19,1.12
326,EUR,CHF,2024-07-22,0.97
327,EUR,GBP,2024-07-22,0.87
328,EUR,JPY,2024-07-22,161.88
329,EUR,MXN,2024-07-22,18.25
330,EUR,USD,2024-07-22,1.11
331,EUR,CHF,2024-07-23,0.97
332,EUR,GBP,2024-07-23,0.87
333,EUR,JPY,2024-07-23,161.15
334,EUR,MXN,2024-07-23,18.18
335,EUR,USD,2024-07-23,1.11
336,EUR,CHF,2024-07-24,0.97
337,EUR,GBP,2024-07-24,0.87
338,EUR,JPY,2024-07-24,161.16
339,EUR,MXN,2024-07-24,18.16
340,EUR,USD,2024-07-24,1.11
341,EUR,CHF,2024-07-25,0.97
342,EUR,GBP,2024-07-25,0.88
343,EUR,JPY,2024-07-25,161.17
344,EUR,MXN,2024-07-25,18.20
345,EUR,USD,2024-07-25,1.11
346,EUR,CHF,2024-07-26,0.96
347,EUR,GBP,2024-07-26,0.88
348,EUR,JPY,2024-07-26,161.49
349,EUR,MXN,2024-07-26,18.10
350,EUR,USD,2024-07-26,1.11
351,EUR,CHF,2024-07-29,0.96
352,EUR,GBP,2024-07-29,0.88
353,EUR,JPY,2024-07-29,161.15
354,EUR,MXN,2024-07-29,18.18
355,EUR,USD,2024-07-29,1.10
356,EUR,CHF,2024-07-30,0.97
357,EUR,GBP,2024-07-30,0.88
358,EUR,JPY,2024-07-30,162.11
359,EUR,MXN,2024-07-30,18.22
360,EUR,USD,2024-07-30,1.10
361,EUR,CHF,2024-07-31,0.97
362,EUR,GBP,2024-07-31,0.88
363,EUR,JPY,2024-07-31,162.44
364,EUR,MXN,2024-07-31,18.17
365,EUR,USD,2024-07-31,1.10
366,EUR,CHF,2024-08-01,0.96
367,EUR,GBP,2024-08-01,0.88
368,EUR,JPY,2024-08-01,162.46
369,EUR,MXN,2024-08-01,18.06
370,EUR,USD,2024-08-01,1.11
371,EUR,CHF,2024-08-02,0.97
372,EUR,GBP,2024-08-02,0.89
373,EUR,JPY,2024-08-02,160.99
374,EUR,MXN,2024-08-02,18.10
375,EUR,USD,2024-08-02,1.11
376,EUR,CHF,2024-08-05,0.97
377,EUR,GBP,2024-08-05,0.89
378,EUR,JPY,2024-08-05,161.17
379,EUR,MXN,2024-08-05,18.14
380,EUR,USD,2024-08-05,1.11
381,EUR,CHF,2024-08-06,0.97
382,EUR,GBP,2024-08-06,0.89
383,EUR,JPY,2024-08-06,161.27
384,EUR,MXN,2024-08-06,18.08
385,EUR,USD,2024-08-06,1.11
386,EUR,CHF,2024-08-07,0.97
387,EUR,GBP,2024-08-07,0.89
388,EUR,JPY,2024-08-07,162.30
389,EUR,MXN,2024-08-07,18.13
390,EUR,USD,2024-08-07,1.11
391,EUR,CHF,2024-08-08,0.97
392,EUR,GBP,2024-08-08,0.89
393,EUR,JPY,2024-08-08,161.57
394,EUR,MXN,2024-08-08,18.09
395,EUR,USD,2024-08-08,1.11
396,EUR,CHF,2024-08-09,0.97
397,EUR,GBP,2024-08-09,0.89
398,EUR,JPY,2024-08-09,161.64
399,EUR,MXN,2024-08-09,18.06
400,EUR,USD,2024-08-09,1.11
401,EUR,CHF,2024-08-12,0.96
402,EUR,GBP,2024-08-12,0.90
403,EUR,JPY,2024-08-12,160.85
404,EUR,MXN,2024-08-12,18.14
405,EUR,USD,2024-08-12,1.10
406,EUR,CHF,2024-08-13,0.96
407,EUR,GBP,2024-08-13,0.89
408,EUR,JPY,2024-08-13,159.71
409,EUR,MXN,2024-08-13,18.19
410,EUR,USD,2024-08-13,1.09
411,EUR,CHF,2024-08-14,0.96
412,EUR,GBP,2024-08-14,0.89
413,EUR,JPY,2024-08-14,160.56
414,EUR,MXN,2024-08-14,18.15
415,EUR,USD,2024-08-14,1.09
416,EUR,CHF,2024-08-15,0.95
417,EUR,GBP,2024-08-15,0.89
418,EUR,JPY,2024-08-15,159.96
419,EUR,MXN,2024-08-15,18.12
420,EUR,USD,2024-08-15,1.08
421,EUR,CHF,2024-08-16,0.95
422,EUR,GBP,2024-08-16,0.89
423,EUR,JPY,2024-08-16,159.93
424,EUR,MXN,2024-08-16,18.05
425,EUR,USD,2024-08-16,1.08
426,EUR,CHF,2024-08-19,0.96
427,EUR,GBP,2024-08-19,0.89
428,EUR,JPY,2024-08-19,159.66
429,EUR,MXN,2024-08-19,17.82
430,EUR,USD,2024-08-19,1.09
431,EUR,CHF,2024-08-20,0.95
432,EUR,GBP,2024-08-20,0.89
433,EUR,JPY,2024-08-20,160.61
434,EUR,MXN,2024-08-20,17.75
435,EUR,USD,2024-08-20,1.08
436,EUR,CHF,2024-08-21,0.96
437,EUR,GBP,2024-08-21,0.89
438,EUR,JPY,2024-08-21,160.41
439,EUR,MXN,2024-08-21,17.81
440,EUR,USD,2024-08-21,1.09
441,EUR,CHF,2024-08-22,0.96
442,EUR,GBP,2024-08-22,0.88
443,EUR,JPY,2024-08-22,159.71
444,EUR,MXN,2024-08-22,17.76
445,EUR,USD,2024-08-22,1.09
446,EUR,CHF,2024-08-23,0.96
447,EUR,GBP,2024-08-23,0.88
448,EUR,JPY,2024-08-23,158.72
449,EUR,MXN,2024-08-23,17.70
450,EUR,USD,2024-08-23,1.09
451,EUR,CHF,2024-08-26,0.97
452,EUR,GBP,2024-08-26,0.88
453,EUR,JPY,2024-08-26,158.66
454,EUR,MXN,2024-08-26,17.68
455,EUR,USD,2024-08-26,1.09
456,EUR,CHF,2024-08-27,0.97
457,EUR,GBP,2024-08-27,0.87
458,EUR,JPY,2024-08-27,158.68
459,EUR,MXN,2024-08-27,17.71
460,EUR,USD,2024-08-27,1.08
461,EUR,CHF,2024-08-28,0.97
462,EUR,GBP,2024-08-28,0.87
463,EUR,JPY,2024-08-28,157.91
464,EUR,MXN,2024-08-28,17.71
465,EUR,USD,2024-08-28,1.08
466,EUR,CHF,2024-08-29,0.97
467,EUR,GBP,2024-08-29,0.87
468,EUR,JPY,2024-08-29,156.98
469,EUR,MXN,2024-08-29,17.66
470,EUR,USD,2024-08-29,1.08
471,EUR,CHF,2024-08-30,0.97
472,EUR,GBP,2024-08-30,0.87
473,EUR,JPY,2024-08-30,156.84
474,EUR,MXN,2024-08-30,17.69
475,EUR,USD,2024-08-30,1.08
476,EUR,CHF,2024-09-02,0.97
477,EUR,GBP,2024-09-02,0.87
478,EUR,JPY,2024-09-02,156.89
479,EUR,MXN,2024-09-02,17.69
480,EUR,USD,2024-09-02,1.08
481,EUR,CHF,2024-09-03,0.96
482,EUR,GBP,2024-09-03,0.87
483,EUR,JPY,2024-09-03,156.50
484,EUR,MXN,2024-09-03,17.90
485,EUR,USD,2024-09-03,1.08
486,EUR,CHF,2024-09-04,0.96
487,EUR,GBP,2024-09-04,0.87
488,EUR,JPY,2024-09-04,156.97
489,EUR,MXN,2024-09-04,17.89
490,EUR,USD,2024-09-04,1.08
491,EUR,CHF,2024-09-05,0.98
492,EUR,GBP,2024-09-05,0.86
493,EUR,JPY,2024-09-05,156.63
494,EUR,MXN,2024-09-05,17.88
495,EUR,USD,2024-09-05,1.08
496,EUR,CHF,2024-09-06,0.98
497,EUR,GBP,2024-09-06,0.86
498,EUR,JPY,2024-09-06,156.10
499,EUR,MXN,2024-09-06,17.90
500,EUR,USD,2024-09-06,1.08
501,EUR,CHF,2024-09-09,0.98
502,EUR,GBP,2024-09-09,0.87
503,EUR,JPY,2024-09-09,155.63
504,EUR,MXN,2024-09-09,17.88
505,EUR,USD,2024-09-09,1.07
506,EUR,CHF,2024-09-10,0.98
507,EUR,GBP,2024-09-10,0.87
508,EUR,JPY,2024-09-10,155.52
509,EUR,MXN,2024-09-10,17.80
510,EUR,USD,2024-09-10,1.07
511,EUR,CHF,2024-09-11,0.97
512,EUR,GBP,2024-09-11,0.87
513,EUR,JPY,2024-09-11,154.39
514,EUR,MXN,2024-09-11,17.78
515,EUR,USD,2024-09-11,1.07
516,EUR,CHF,2024-09-12,0.97
517,EUR,GBP,2024-09-12,0.87
518,EUR,JPY,2024-09-12,153.31
519,EUR,MXN,2024-09-12,17.82
520,EUR,USD,2024-09-12,1.07
521,EUR,CHF,2024-09-13,0.97
522,EUR,GBP,2024-09-13,0.87
523,EUR,JPY,2024-09-13,153.56
524,EUR,MXN,2024-09-13,17.74
525,EUR,USD,2024-09-13,1.08
526,EUR,CHF,2024-09-16,0.98
527,EUR,GBP,2024-09-16,0.87
528,EUR,JPY,2024-09-16,154.03
529,EUR,MXN,2024-09-16,17.72
530,EUR,USD,2024-09-16,1.07
531,EUR,CHF,2024-09-17,0.98
532,EUR,GBP,2024-09-17,0.86
533,EUR,JPY,2024-09-17,154.40
534,EUR,MXN,2024-09-17,17.70
535,EUR,USD,2024-09-17,1.08
536,EUR,CHF,2024-09-18,0.98
537,EUR,GBP,2024-09-18,0.86
538,EUR,JPY,2024-09-18,155.22
539,EUR,MXN,2024-09-18,17.77
540,EUR,USD,2024-09-18,1.08
541,EUR,CHF,2024-09-19,0.97
542,EUR,GBP,2024-09-19,0.86
543,EUR,JPY,2024-09-19,156.39
544,EUR,MXN,2024-09-19,17.81
545,EUR,USD,2024-09-19,1.07
546,EUR,CHF,2024-09-20,0.96
547,EUR,GBP,2024-09-20,0.86
548,EUR,JPY,2024-09-20,154.87
549,EUR,MXN,2024-09-20,17.92
550,EUR,USD,2024-09-20,1.07
551,EUR,CHF,2024-09-23,0.97
552,EUR,GBP,2024-09-23,0.87
553,EUR,JPY,2024-09-23,154.66
554,EUR,MXN,2024-09-23,17.92
555,EUR,USD,2024-09-23,1.07
556,EUR,CHF,2024-09-24,0.96
557,EUR,GBP,2024-09-24,0.87
558,EUR,JPY,2024-09-24,154.36
559,EUR,MXN,2024-09-24,17.91
560,EUR,USD,2024-09-24,1.07
561,EUR,CHF,2024-09-25,0.96
562,EUR,GBP,2024-09-25,0.87
563,EUR,JPY,2024-09-25,154.74
564,EUR,MXN,2024-09-25,17.89
565,EUR,USD,2024-09-25,1.06
566,EUR,CHF,2024-09-26,0.95
567,EUR,GBP,2024-09-26,0.87
568,EUR,JPY,2024-09-26,155.44
569,EUR,MXN,2024-09-26,17.97
570,EUR,USD,2024-09-26,1.06
571,EUR,CHF,2024-09-27,0.95
572,EUR,GBP,2024-09-27,0.87
573,EUR,JPY,2024-09-27,154.62
574,EUR,MXN,2024-09-27,18.10
575,EUR,USD,2024-09-27,1.07
576,EUR,CHF,2024-09-30,0.95
577,EUR,GBP,2024-09-30,0.87
578,EUR,JPY,2024-09-30,155.03
579,EUR,MXN,2024-09-30,18.09
580,EUR,USD,2024-09-30,1.07
581,EUR,CHF,2024-10-01,0.95
582,EUR,GBP,2024-10-01,0.87
583,EUR,JPY,2024-10-01,155.18
584,EUR,MXN,2024-10-01,18.15
585,EUR,USD,2024-10-01,1.07
586,EUR,CHF,2024-10-02,0.96
587,EUR,GBP,2024-10-02,0.87
588,EUR,JPY,2024-10-02,154.68
589,EUR,MXN,2024-10-02,18.07
590,EUR,USD,2024-10-02,1.06
591,EUR,CHF,2024-10-03,0.95
592,EUR,GBP,2024-10-03,0.87
593,EUR,JPY,2024-10-03,155.08
594,EUR,MXN,2024-10-03,17.99
595,EUR,USD,2024-10-03,1.07
596,EUR,CHF,2024-10-04,0.95
597,EUR,GBP,2024-10-04,0.87
598,EUR,JPY,2024-10-04,155.24
599,EUR,MXN,2024-10-04,18.02
600,EUR,USD,2024-10-04,1.07
601,EUR,CHF,2024-10-07,0.94
602,EUR,GBP,2024-10-07,0.87
603,EUR,JPY,2024-10-07,155.01
604,EUR,MXN,2024-10-07,18.05
605,EUR,USD,2024-10-07,1.07
606,EUR,CHF,2024-10-08,0.94
607,EUR,GBP,2024-10-08,0.87
608,EUR,JPY,2024-10-08,155.57
609,EUR,MXN,2024-10-08,17.97
610,EUR,USD,2024-10-08,1.07
611,EUR,CHF,2024-10-09,0.94
612,EUR,GBP,2024-10-09,0.87
613,EUR,JPY,2024-10-09,155.38
614,EUR,MXN,2024-10-09,17.99
615,EUR,USD,2024-10-09,1.07
616,EUR,CHF,2024-10-10,0.95
617,EUR,GBP,2024-10-10,0.87
618,EUR,JPY,2024-10-10,156.92
619,EUR,MXN,2024-10-10,17.80
620,EUR,USD,2024-10-10,1.07
621,EUR,CHF,2024-10-11,0.95
622,EUR,GBP,2024-10-11,0.88
623,EUR,JPY,2024-10-11,156.75
624,EUR,MXN,2024-10-11,17.82
625,EUR,USD,2024-10-11,1.07
626,EUR,CHF,2024-10-14,0.95
627,EUR,GBP,2024-10-14,0.87
628,EUR,JPY,2024-10-14,157.07
629,EUR,MXN,2024-10-14,17.74
630,EUR,USD,2024-10-14,1.08
631,EUR,CHF,2024-10-15,0.95
632,EUR,GBP,2024-10-15,0.88
633,EUR,JPY,2024-10-15,157.36
634,EUR,MXN,2024-10-15,17.77
635,EUR,USD,2024-10-15,1.07
636,EUR,CHF,2024-10-16,0.94
637,EUR,GBP,2024-10-16,0.87
638,EUR,JPY,2024-10-16,157.49
639,EUR,MXN,2024-10-16,17.81
640,EUR,USD,2024-10-16,1.08
641,EUR,CHF,2024-10-17,0.94
642,EUR,GBP,2024-10-17,0.87
643,EUR,JPY,2024-10-17,159.10
644,EUR,MXN,2024-10-17,17.84
645,EUR,USD,2024-10-17,1.08
646,EUR,CHF,2024-10-18,0.94
647,EUR,GBP,2024-10-18,0.87
648,EUR,JPY,2024-10-18,158.84
649,EUR,MXN,2024-10-18,17.81
650,EUR,USD,2024-10-18,1.08
651,EUR,CHF,2024-10-21,0.95
652,EUR,GBP,2024-10-21,0.87
653,EUR,JPY,2024-10-21,157.33
654,EUR,MXN,2024-10-21,17.81
655,EUR,USD,2024-10-21,1.08
656,EUR,CHF,2024-10-22,0.94
657,EUR,GBP,2024-10-22,0.86
658,EUR,JPY,2024-10-22,156.90
659,EUR,MXN,2024-10-22,17.83
660,EUR,USD,2024-10-22,1.08
661,EUR,CHF,2024-10-23,0.94
662,EUR,GBP,2024-10-23,0.87
663,EUR,JPY,2024-10-23,157.44
664,EUR,MXN,2024-10-23,17.95
665,EUR,USD,2024-10-23,1.07
666,EUR,CHF,2024-10-24,0.93
667,EUR,GBP,2024-10-24,0.87
668,EUR,JPY,2024-10-24,158.33
669,EUR,MXN,2024-10-24,17.97
670,EUR,USD,2024-10-24,1.08
671,EUR,CHF,2024-10-25,0.94
