id,school_id,teacher_id,code,title,stage,year_level,academic_year,hours_per_week
62,4,50,MAT-00062,Matemáticas II,Bachillerato,2,2022/2023,2
63,9,48,REL-00063,Religión / Valores,Primaria,1,2023/2024,1
64,1,7,LEN-00064,Lengua Castellana y Literatura,ESO,1,2022/2023,5
65,5,180,FIS-00065,Física y Química,ESO,4,2023/2024,4
66,3,121,LEN-00066,Lengua Castellana y Literatura,ESO,2,2023/2024,3
67,10,117,LEN-00067,Lengua Castellana y Literatura,Bachillerato,2,2022/2023,2
68,1,82,EDU-00068,Educación Plástica,ESO,3,2022/2023,4
69,8,9,GES-00069,Gestión Administrativa,FP,2,2024/2025,4
70,7,95,EDU-00070,Educación Física,Primaria,2,2022/2023,3
71,3,193,ING-00071,Inglés,ESO,3,2022/2023,5
72,3,171,ING-00072,Inglés,ESO,1,2023/2024,4
73,7,153,LEN-00073,Lengua Castellana,Primaria,4,2023/2024,5
74,6,135,EDU-00074,Educación Artística,Primaria,2,2023/2024,4
75,5,18,EDU-00075,Educación Física,ESO,4,2022/2023,4
76,10,54,MUS-00076,Música,ESO,4,2022/2023,3
77,9,92,ING-00077,Inglés,Primaria,4,2024/2025,3
78,2,111,CIE-00078,Ciencias Sociales,Primaria,5,2024/2025,4
79,10,174,CIE-00079,Ciencias Sociales,Primaria,5,2022/2023,3
80,10,23,MAT-00080,Matemáticas,Primaria,3,2023/2024,3
81,10,102,LIT-00081,Literatura Universal,Bachillerato,2,2024/2025,3
82,6,70,MUS-00082,Música,Primaria,2,2024/2025,4
83,7,165,CIE-00083,Ciencias Naturales,Primaria,6,2022/2023,4
84,5,128,MAT-00084,Matemáticas,Primaria,1,2022/2023,2
85,5,197,EDU-00085,Educación Física,Primaria,6,2024/2025,3
86,5,122,MAT-00086,Matemáticas,ESO,3,2023/2024,2
87,7,146,EDU-00087,Educación Física,Primaria,5,2023/2024,5
88,2,127,MAT-00088,Matemáticas,Primaria,5,2022/2023,2
89,5,173,ING-00089,Inglés,Bachillerato,1,2023/2024,3
90,7,194,CIE-00090,Ciencias Naturales,Primaria,4,2022/2023,1
91,2,3,MUS-00091,Música,Primaria,6,2023/2024,3
92,8,149,EMP-00092,Empresa e Iniciativa Emprendedora,FP,2,2024/2025,5
93,3,84,EDU-00093,Educación Física,ESO,4,2024/2025,5
94,7,42,LEN-00094,Lengua Castellana,Primaria,4,2023/2024,4
95,2,127,EDU-00095,Educación Física,Primaria,4,2024/2025,3
96,4,50,EDU-00096,Educación Plástica,ESO,4,2022/2023,3
97,4,64,ING-00097,Inglés,Primaria,1,2022/2023,3
98,6,89,MAT-00098,Matemáticas,Primaria,2,2024/2025,3
99,8,25,ING-00099,Inglés Técnico,FP,1,2023/2024,2
100,3,123,GES-00100,Gestión Administrativa,FP,1,2024/2025,2
101,9,133,CIE-00101,Ciencias Naturales,Primaria,5,2022/2023,3
102,10,179,GRI-00102,Griego,Bachillerato,1,2023/2024,3
103,7,153,CIE-00103,Ciencias Sociales,Primaria,6,2024/2025,4
104,9,51,EDU-00104,Educación Artística,Primaria,1,2022/2023,3
105,1,98,ING-00105,Inglés,Bachillerato,2,2024/2025,5
106,10,99,BIO-00106,Biología y Geología,ESO,3,2024/2025,1
107,1,7,ING-00107,Inglés,Primaria,1,2024/2025,4
108,7,108,EDU-00108,Educación Artística,Primaria,2,2022/2023,4
109,8,69,GES-00109,Gestión Administrativa,FP,2,2023/2024,4
110,8,9,EMP-00110,Empresa e Iniciativa Emprendedora,FP,2,2024/2025,2
111,2,97,EDU-00111,Educación Artística,Primaria,4,2022/2023,4
112,3,36,FRA-00112,Francés,ESO,1,2022/2023,4
113,4,38,FIS-00113,Física,Bachillerato,2,2022/2023,5
114,3,84,SIS-00114,Sistemas Informáticos,FP,2,2024/2025,3
115,1,74,VAL-00115,Valores Éticos,ESO,2,2022/2023,3
116,2,71,EDU-00116,Educación Física,Primaria,2,2022/2023,3
117,4,32,LAT-00117,Latín,Bachillerato,1,2023/2024,1
118,6,167,REL-00118,Religión / Valores,Primaria,3,2024/2025,4
119,7,144,MAT-00119,Matemáticas,Primaria,4,2023/2024,4
120,9,154,ING-00120,Inglés,Primaria,4,2024/2025,4
121,1,21,ING-00121,Inglés,Bachillerato,1,2023/2024,3
122,3,84,HIS-00122,Historia de España,Bachillerato,1,2022/2023,3
123,3,49,FOR-00123,Formación y Orientación Laboral,FP,1,2024/2025,3
124,4,38,GEO-00124,Geología,Bachillerato,1,2024/2025,2
125,9,200,ING-00125,Inglés,Primaria,1,2022/2023,4
126,1,103,REL-00126,Religión / Valores,Primaria,6,2022/2023,2
127,3,12,TEC-00127,Tecnología,ESO,2,2023/2024,1
128,8,90,TEC-00128,Tecnología,ESO,2,2024/2025,2
129,9,143,REL-00129,Religión / Valores,Primaria,6,2024/2025,4
130,3,198,FOR-00130,Formación y Orientación Laboral,FP,2,2023/2024,4
131,1,103,LEN-00131,Lengua Castellana,Primaria,5,2022/2023,2
132,7,153,ING-00132,Inglés,Primaria,5,2022/2023,2
133,10,14,EDU-00133,Educación Plástica,ESO,3,2023/2024,4
134,5,128,MAT-00134,Matemáticas,ESO,4,2022/2023,2
135,1,88,EDU-00135,Educación Física,ESO,2,2023/2024,3
136,2,26,CIE-00136,Ciencias Naturales,Primaria,4,2024/2025,2
137,1,29,REL-00137,Religión / Valores,Primaria,3,2022/2023,4
138,3,36,LEN-00138,Lengua Castellana y Literatura,Bachillerato,2,2024/2025,3
139,1,75,GEO-00139,Geología,Bachillerato,1,2024/2025,3
140,7,105,MUS-00140,Música,Primaria,1,2023/2024,3
141,9,200,EDU-00141,Educación Artística,Primaria,6,2022/2023,3
142,8,25,LAT-00142,Latín,Bachillerato,1,2024/2025,3
143,9,112,EDU-00143,Educación Física,Primaria,2,2022/2023,4
144,7,108,ING-00144,Inglés,Primaria,4,2024/2025,2
145,9,112,CIE-00145,Ciencias Naturales,Primaria,1,2024/2025,4
146,9,16,ING-00146,Inglés,Primaria,5,2024/2025,1
147,2,163,MUS-00147,Música,Primaria,3,2024/2025,3
148,1,75,HIS-00148,Historia de la Filosofía,Bachillerato,2,2023/2024,5
149,4,134,LAT-00149,Latín,Bachillerato,1,2024/2025,5
150,5,196,MUS-00150,Música,Primaria,4,2022/2023,2
151,6,135,EDU-00151,Educación Física,Primaria,4,2023/2024,4
152,2,26,MUS-00152,Música,Primaria,6,2023/2024,3
153,5,67,ING-00153,Inglés,ESO,4,2023/2024,3
154,10,46,EDU-00154,Educación Artística,Primaria,1,2024/2025,1
155,9,24,MAT-00155,Matemáticas,Primaria,2,2023/2024,2
156,3,156,SIS-00156,Sistemas Informáticos,FP,2,2022/2023,2
157,1,88,REL-00157,Religión / Valores,Primaria,6,2022/2023,4
158,4,131,LEN-00158,Lengua Castellana y Literatura,ESO,3,2024/2025,3
159,6,63,REL-00159,Religión / Valores,Primaria,3,2023/2024,5
160,1,98,FIS-00160,Física y Química,ESO,3,2024/2025,2
161,1,88,ING-00161,Inglés,Primaria,4,2024/2025,4
162,9,92,EDU-00162,Educación Física,Primaria,5,2024/2025,5
163,8,33,EDU-00163,Educación Física,ESO,2,2022/2023,3
164,8,9,ING-00164,Inglés Técnico,FP,2,2024/2025,4
165,1,7,CIE-00165,Ciencias Sociales,Primaria,1,2024/2025,3
166,9,4,CIE-00166,Ciencias Sociales,Primaria,1,2022/2023,3
167,1,78,CIE-00167,Ciencias Sociales,Primaria,2,2022/2023,4
168,8,35,TEC-00168,Tecnología,ESO,4,2024/2025,1
169,9,133,ING-00169,Inglés,Primaria,1,2024/2025,4
170,8,125,ING-00170,Inglés Técnico,FP,2,2022/2023,4
171,3,87,GRI-00171,Griego,Bachillerato,2,2024/2025,5
172,1,120,EDU-00172,Educación Física,ESO,3,2024/2025,3
173,3,198,LEN-00173,Lengua Castellana y Literatura,Bachillerato,1,2023/2024,2
174,7,105,CIE-00174,Ciencias Naturales,Primaria,5,2022/2023,2
175,2,118,EDU-00175,Educación Artística,Primaria,5,2022/2023,3
176,9,109,MUS-00176,Música,Primaria,1,2023/2024,4
177,8,176,FRA-00177,Francés,ESO,3,2024/2025,4
178,8,119,LEN-00178,Lengua Castellana y Literatura,ESO,3,2022/2023,5
179,5,124,ING-00179,Inglés,Primaria,1,2024/2025,4
180,1,21,HIS-00180,Historia de la Filosofía,Bachillerato,1,2024/2025,4
181,8,65,FIS-00181,Física y Química,ESO,4,2023/2024,3
182,8,93,FOR-00182,Formación y Orientación Laboral,FP,1,2022/2023,2
183,2,3,MAT-00183,Matemáticas,Primaria,1,2024/2025,3
184,7,22,MAT-00184,Matemáticas,Primaria,2,2022/2023,1
185,9,40,EDU-00185,Educación Artística,Primaria,1,2023/2024,2
186,6,167,CIE-00186,Ciencias Sociales,Primaria,2,2024/2025,5
187,7,94,ING-00187,Inglés,Primaria,6,2024/2025,4
188,5,110,ING-00188,Inglés,Primaria,1,2023/2024,3
189,8,93,HIS-00189,Historia de la Filosofía,Bachillerato,1,2024/2025,3
190,1,7,GRI-00190,Griego,Bachillerato,1,2023/2024,4
191,8,68,BAS-00191,Bases de Datos,FP,1,2024/2025,4
192,6,83,EDU-00192,Educación Artística,Primaria,3,2022/2023,2
193,2,138,LEN-00193,Lengua Castellana,Primaria,1,2024/2025,1
194,9,40,REL-00194,Religión / Valores,Primaria,1,2024/2025,3
195,3,84,FIS-00195,Física,Bachillerato,1,2022/2023,3
196,10,11,MUS-00196,Música,ESO,2,2024/2025,2
197,8,66,EMP-00197,Empresa e Iniciativa Emprendedora,FP,1,2024/2025,1
198,8,125,FRA-00198,Francés,ESO,1,2022/2023,5
199,5,37,BIO-00199,Biología,Bachillerato,2,2023/2024,4
200,7,105,REL-00200,Religión / Valores,Primaria,6,2023/2024,3
201,1,120,ING-00201,Inglés,Bachillerato,1,2024/2025,3
202,5,61,CIE-00202,Ciencias Sociales,Primaria,4,2024/2025,3
203,5,128,BIO-00203,Biología,Bachillerato,1,2023/2024,1
204,8,30,BIO-00204,Biología y Geología,ESO,2,2023/2024,4
205,6,169,ING-00205,Inglés,Primaria,4,2022/2023,4
206,2,138,ING-00206,Inglés,Primaria,3,2022/2023,4
207,9,109,EDU-00207,Educación Artística,Primaria,1,2023/2024,3
208,4,199,LIT-00208,Literatura Universal,Bachillerato,1,2023/2024,2
209,3,84,FRA-00209,Francés,ESO,3,2022/2023,4
210,8,77,FIS-00210,Física,Bachillerato,1,2023/2024,1
211,9,133,EDU-00211,Educación Artística,Primaria,1,2024/2025,4
212,1,98,MAT-00212,Matemáticas,ESO,2,2023/2024,3
213,7,39,ING-00213,Inglés,Primaria,3,2023/2024,3
214,7,58,MAT-00214,Matemáticas,Primaria,1,2023/2024,4
215,10,1,TEC-00215,Tecnología,ESO,2,2023/2024,4
216,4,32,MAT-00216,Matemáticas I,Bachillerato,1,2024/2025,4
217,7,161,REL-00217,Religión / Valores,Primaria,2,2022/2023,4
218,1,82,ING-00218,Inglés,ESO,2,2023/2024,3
219,7,104,LEN-00219,Lengua Castellana,Primaria,6,2024/2025,1
220,9,41,EDU-00220,Educación Física,Primaria,3,2023/2024,4
221,3,49,FIS-00221,Física y Química,ESO,4,2023/2024,2
222,2,127,ING-00222,Inglés,Primaria,2,2024/2025,2
223,2,96,CIE-00223,Ciencias Naturales,Primaria,1,2023/2024,3
224,6,63,MAT-00224,Matemáticas,Primaria,2,2023/2024,5
225,8,25,HIS-00225,Historia de España,Bachillerato,1,2023/2024,2
226,2,20,EDU-00226,Educación Física,Primaria,4,2022/2023,4
227,5,196,CIE-00227,Ciencias Sociales,Primaria,4,2024/2025,4
228,5,80,EDU-00228,Educación Física,ESO,2,2023/2024,3
229,7,94,MAT-00229,Matemáticas,Primaria,4,2022/2023,3
230,8,43,ING-00230,Inglés,ESO,1,2022/2023,3
231,10,10,MUS-00231,Música,ESO,1,2023/2024,4
232,6,140,MUS-00232,Música,Primaria,4,2024/2025,4
233,9,154,CIE-00233,Ciencias Sociales,Primaria,1,2023/2024,4
234,9,133,CIE-00234,Ciencias Sociales,Primaria,2,2022/2023,3
235,2,20,EDU-00235,Educación Artística,Primaria,4,2022/2023,5
236,6,63,CIE-00236,Ciencias Sociales,Primaria,2,2024/2025,1
237,5,80,GEO-00237,Geología,Bachillerato,1,2024/2025,1
238,9,112,EDU-00238,Educación Física,Primaria,3,2024/2025,1
239,5,122,HIS-00239,Historia de la Filosofía,Bachillerato,2,2024/2025,2
240,10,136,QUI-00240,Química,Bachillerato,1,2024/2025,3
241,5,81,TEC-00241,Tecnología,ESO,4,2024/2025,5
242,8,149,GEO-00242,Geografía e Historia,ESO,3,2022/2023,4
243,1,120,LIT-00243,Literatura Universal,Bachillerato,1,2023/2024,4
244,7,165,REL-00244,Religión / Valores,Primaria,2,2023/2024,2
245,3,36,EDU-00245,Educación Plástica,ESO,4,2023/2024,3
246,5,180,DIB-00246,Dibujo Técnico,Bachillerato,2,2023/2024,3
247,8,43,ING-00247,Inglés Técnico,FP,2,2022/2023,5
248,1,159,EDU-00248,Educación Física,ESO,2,2023/2024,3
249,3,12,MAT-00249,Matemáticas,ESO,4,2023/2024,3
250,3,17,FIS-00250,Física,Bachillerato,1,2022/2023,3
251,5,59,MUS-00251,Música,ESO,3,2023/2024,5
252,10,99,ING-00252,Inglés,Bachillerato,2,2023/2024,4
253,4,45,REL-00253,Religión / Valores,Primaria,1,2022/2023,4
254,2,126,MUS-00254,Música,Primaria,6,2022/2023,4
255,9,154,REL-00255,Religión / Valores,Primaria,6,2022/2023,4
256,10,179,FIS-00256,Física y Química,ESO,4,2022/2023,3
257,4,60,ING-00257,Inglés,ESO,1,2022/2023,5
258,6,169,EDU-00258,Educación Artística,Primaria,6,2024/2025,2
259,10,14,ING-00259,Inglés,ESO,3,2023/2024,2
260,6,169,CIE-00260,Ciencias Naturales,Primaria,1,2022/2023,3
261,2,97,CIE-00261,Ciencias Sociales,Primaria,4,2023/2024,3
262,1,74,DIB-00262,Dibujo Técnico,Bachillerato,1,2022/2023,5
263,6,70,CIE-00263,Ciencias Naturales,Primaria,2,2023/2024,3
264,7,108,MAT-00264,Matemáticas,Primaria,4,2023/2024,1
265,1,47,REL-00265,Religión / Valores,Primaria,3,2022/2023,5
266,1,82,MUS-00266,Música,Primaria,3,2023/2024,4
267,1,15,REL-00267,Religión / Valores,Primaria,2,2022/2023,4
268,4,100,LIT-00268,Literatura Universal,Bachillerato,1,2022/2023,5
269,5,59,FRA-00269,Francés,ESO,4,2022/2023,2
270,4,50,EDU-00270,Educación Física,Primaria,2,2022/2023,4
271,7,165,MUS-00271,Música,Primaria,6,2022/2023,5
272,4,19,CIE-00272,Ciencias Naturales,Primaria,5,2024/2025,1
273,1,98,HIS-00273,Historia de la Filosofía,Bachillerato,1,2024/2025,2
274,6,83,CIE-00274,Ciencias Naturales,Primaria,4,2024/2025,1
275,7,94,LEN-00275,Lengua Castellana,Primaria,1,2022/2023,2
276,6,83,ING-00276,Inglés,Primaria,6,2023/2024,2
277,7,165,EDU-00277,Educación Física,Primaria,5,2023/2024,3
278,8,176,GES-00278,Gestión Administrativa,FP,2,2023/2024,2
279,9,178,CIE-00279,Ciencias Sociales,Primaria,1,2022/2023,3
280,6,89,ING-00280,Inglés,Primaria,6,2024/2025,5
281,8,2,PRO-00281,Programación,FP,2,2022/2023,4
282,10,91,GRI-00282,Griego,Bachillerato,2,2023/2024,2
283,1,82,EDU-00283,Educación Física,ESO,1,2022/2023,3
284,3,17,MUS-00284,Música,ESO,3,2024/2025,2
285,5,76,REL-00285,Religión / Valores,Primaria,1,2023/2024,3
286,2,20,EDU-00286,Educación Física,Primaria,1,2024/2025,4
287,8,172,QUI-00287,Química,Bachillerato,1,2022/2023,2
288,3,12,GES-00288,Gestión Administrativa,FP,2,2024/2025,4
289,10,115,LEN-00289,Lengua Castellana y Literatura,ESO,4,2022/2023,5
290,5,180,EDU-00290,Educación Física,ESO,3,2024/2025,3
291,6,169,LEN-00291,Lengua Castellana,Primaria,3,2024/2025,5
292,6,63,CIE-00292,Ciencias Naturales,Primaria,4,2024/2025,2
293,4,187,MAT-00293,Matemáticas,ESO,3,2022/2023,2
294,7,104,REL-00294,Religión / Valores,Primaria,2,2022/2023,2
295,5,76,EDU-00295,Educación Plástica,ESO,1,2023/2024,3
296,4,52,LAT-00296,Latín,Bachillerato,2,2024/2025,5
297,8,119,FIS-00297,Física y Química,ESO,2,2024/2025,4
298,8,190,SIS-00298,Sistemas Informáticos,FP,2,2022/2023,2
299,2,162,REL-00299,Religión / Valores,Primaria,6,2022/2023,2
300,10,14,LEN-00300,Lengua Castellana y Literatura,ESO,1,2023/2024,4
