id,enrollment_id,assessment_type,title,score,weight,graded_on
30,10,coursework,Trabajo 3º trimestre,2.90,0.25,2024-06-01
31,10,participation,Trabajo 1º trimestre,4.80,0.10,2023-10-31
32,11,exam,Examen 1º trimestre,4.90,0.35,2023-01-19
33,11,exam,Examen 2º trimestre,6.00,0.35,2023-03-01
34,11,coursework,Trabajo 3º trimestre,4.60,0.30,2022-11-26
35,12,exam,Examen 1º trimestre,5.60,0.70,2024-06-08
36,12,coursework,Trabajo 2º trimestre,3.00,0.30,2023-12-03
37,13,exam,Examen 1º trimestre,6.80,0.40,2023-01-12
38,13,practical,Trabajo 2º trimestre,7.50,0.25,2023-04-21
39,13,coursework,Trabajo 3º trimestre,9.30,0.25,2022-10-29
40,13,participation,Trabajo 1º trimestre,6.40,0.10,2022-12-11
41,14,exam,Examen 1º trimestre,5.10,0.70,2022-10-05
42,14,coursework,Trabajo 2º trimestre,8.70,0.30,2023-02-24
43,15,exam,Examen 1º trimestre,8.20,0.35,2023-04-25
44,15,exam,Examen 2º trimestre,8.60,0.35,2023-01-03
45,15,coursework,Trabajo 3º trimestre,8.60,0.30,2023-06-16
46,16,exam,Examen 1º trimestre,5.60,0.35,2024-11-05
47,16,exam,Examen 2º trimestre,6.40,0.35,2024-09-20
48,16,coursework,Trabajo 3º trimestre,5.70,0.30,2024-09-19
49,17,exam,Examen 1º trimestre,8.00,0.70,2025-01-27
50,17,coursework,Trabajo 2º trimestre,7.00,0.30,2025-01-02
51,18,exam,Examen 1º trimestre,8.30,0.35,2024-11-28
52,18,exam,Examen 2º trimestre,5.70,0.35,2025-05-09
53,18,coursework,Trabajo 3º trimestre,9.40,0.30,2024-10-01
54,19,exam,Examen 1º trimestre,8.20,0.70,2024-06-02
55,19,coursework,Trabajo 2º trimestre,8.80,0.30,2023-09-24
56,20,exam,Examen 1º trimestre,4.60,0.40,2023-11-23
57,20,practical,Trabajo 2º trimestre,6.80,0.25,2024-03-10
58,20,coursework,Trabajo 3º trimestre,8.20,0.25,2024-01-19
59,20,participation,Trabajo 1º trimestre,6.10,0.10,2024-05-03
60,21,exam,Examen 1º trimestre,5.50,0.70,2023-09-18
61,21,coursework,Trabajo 2º trimestre,9.00,0.30,2024-02-03
62,22,exam,Examen 1º trimestre,6.50,0.40,2025-05-12
63,22,practical,Trabajo 2º trimestre,7.00,0.25,2024-10-20
64,22,coursework,Trabajo 3º trimestre,5.50,0.25,2025-02-21
65,22,participation,Trabajo 1º trimestre,3.60,0.10,2024-12-02
66,23,exam,Examen 1º trimestre,8.20,0.60,2023-04-27
67,23,coursework,Trabajo 2º trimestre,6.10,0.30,2023-05-09
68,23,participation,Trabajo 3º trimestre,5.90,0.10,2023-05-09
69,24,exam,Examen 1º trimestre,6.50,0.35,2022-09-19
70,24,exam,Examen 2º trimestre,10.00,0.35,2023-05-17
71,24,coursework,Trabajo 3º trimestre,8.00,0.30,2023-04-23
72,25,exam,Examen 1º trimestre,6.20,0.35,2023-05-22
73,25,exam,Examen 2º trimestre,4.60,0.35,2022-10-28
74,25,coursework,Trabajo 3º trimestre,6.80,0.30,2023-05-10
75,26,exam,Examen 1º trimestre,7.70,0.60,2024-12-27
76,26,coursework,Trabajo 2º trimestre,5.30,0.30,2025-01-18
77,26,participation,Trabajo 3º trimestre,7.30,0.10,2025-05-17
78,27,exam,Examen 1º trimestre,7.70,0.40,2022-12-26
79,27,practical,Trabajo 2º trimestre,6.70,0.25,2023-04-21
80,27,coursework,Trabajo 3º trimestre,5.20,0.25,2023-03-31
81,27,participation,Trabajo 1º trimestre,8.70,0.10,2022-12-01
82,28,exam,Examen 1º trimestre,4.50,0.70,2023-05-06
83,28,coursework,Trabajo 2º trimestre,2.40,0.30,2023-05-13
84,29,exam,Examen 1º trimestre,8.10,0.40,2025-02-06
85,29,practical,Trabajo 2º trimestre,3.60,0.25,2025-03-02
86,29,coursework,Trabajo 3º trimestre,4.80,0.25,2024-12-04
87,29,participation,Trabajo 1º trimestre,4.00,0.10,2025-04-16
88,30,exam,Examen 1º trimestre,3.90,0.35,2025-03-18
89,30,exam,Examen 2º trimestre,3.80,0.35,2024-11-19
90,30,coursework,Trabajo 3º trimestre,7.00,0.30,2025-04-11
91,31,exam,Examen 1º trimestre,5.60,0.35,2025-06-20
92,31,exam,Examen 2º trimestre,4.50,0.35,2024-10-15
93,31,coursework,Trabajo 3º trimestre,6.30,0.30,2024-12-17
94,32,exam,Examen 1º trimestre,7.10,0.35,2023-12-19
95,32,exam,Examen 2º trimestre,5.70,0.35,2024-04-11
96,32,coursework,Trabajo 3º trimestre,5.10,0.30,2023-12-26
97,33,exam,Examen 1º trimestre,3.50,0.70,2025-01-19
98,33,coursework,Trabajo 2º trimestre,5.80,0.30,2024-11-13
99,34,exam,Examen 1º trimestre,3.60,0.35,2024-05-05
100,34,exam,Examen 2º trimestre,8.10,0.35,2023-10-31
101,34,coursework,Trabajo 3º trimestre,6.20,0.30,2024-03-11
102,35,exam,Examen 1º trimestre,7.20,0.35,2022-10-23
103,35,exam,Examen 2º trimestre,8.60,0.35,2022-09-23
104,35,coursework,Trabajo 3º trimestre,5.40,0.30,2022-10-08
105,36,exam,Examen 1º trimestre,7.30,0.60,2024-12-24
106,36,coursework,Trabajo 2º trimestre,5.70,0.30,2025-06-16
107,36,participation,Trabajo 3º trimestre,7.90,0.10,2025-03-13
108,37,exam,Examen 1º trimestre,5.90,0.70,2023-05-08
109,37,coursework,Trabajo 2º trimestre,7.30,0.30,2022-11-29
110,38,exam,Examen 1º trimestre,5.80,0.70,2025-06-19
111,38,coursework,Trabajo 2º trimestre,6.90,0.30,2025-05-14
112,39,exam,Examen 1º trimestre,5.60,0.70,2025-02-17
113,39,coursework,Trabajo 2º trimestre,7.30,0.30,2025-02-06
114,40,exam,Examen 1º trimestre,7.40,0.60,2024-04-15
115,40,coursework,Trabajo 2º trimestre,6.30,0.30,2023-12-28
116,40,participation,Trabajo 3º trimestre,5.30,0.10,2023-10-29
117,41,exam,Examen 1º trimestre,8.30,0.40,2022-10-26
118,41,practical,Trabajo 2º trimestre,6.90,0.25,2023-02-26
119,41,coursework,Trabajo 3º trimestre,6.70,0.25,2023-03-25
120,41,participation,Trabajo 1º trimestre,8.70,0.10,2023-04-12
121,42,exam,Examen 1º trimestre,6.30,0.60,2025-04-27
122,42,coursework,Trabajo 2º trimestre,5.70,0.30,2025-04-18
123,42,participation,Trabajo 3º trimestre,6.10,0.10,2025-02-28
124,43,exam,Examen 1º trimestre,6.20,0.40,2025-06-03
125,43,practical,Trabajo 2º trimestre,7.20,0.25,2025-01-20
126,43,coursework,Trabajo 3º trimestre,8.20,0.25,2024-09-11
127,43,participation,Trabajo 1º trimestre,5.20,0.10,2025-06-09
128,44,exam,Examen 1º trimestre,6.00,0.60,2024-09-09
129,44,coursework,Trabajo 2º trimestre,7.30,0.30,2024-11-19
130,44,participation,Trabajo 3º trimestre,8.20,0.10,2025-05-17
131,45,exam,Examen 1º trimestre,8.50,0.70,2024-10-08
132,45,coursework,Trabajo 2º trimestre,4.40,0.30,2025-04-10
133,46,exam,Examen 1º trimestre,2.30,0.60,2022-12-06
134,46,coursework,Trabajo 2º trimestre,4.90,0.30,2023-01-15
135,46,participation,Trabajo 3º trimestre,6.10,0.10,2023-06-15
136,47,exam,Examen 1º trimestre,6.30,0.70,2024-12-02
137,47,coursework,Trabajo 2º trimestre,5.90,0.30,2024-10-27
138,48,exam,Examen 1º trimestre,8.20,0.35,2023-04-22
139,48,exam,Examen 2º trimestre,7.20,0.35,2022-09-11
140,48,coursework,Trabajo 3º trimestre,9.30,0.30,2022-10-16
141,49,exam,Examen 1º trimestre,8.10,0.60,2023-09-26
142,49,coursework,Trabajo 2º trimestre,5.30,0.30,2024-06-20
143,49,participation,Trabajo 3º trimestre,9.50,0.10,2023-10-09
144,50,exam,Examen 1º trimestre,8.90,0.60,2025-05-16
145,50,coursework,Trabajo 2º trimestre,8.40,0.30,2025-01-11
146,50,participation,Trabajo 3º trimestre,10.00,0.10,2024-12-08
147,51,exam,Examen 1º trimestre,5.30,0.40,2024-05-07
148,51,practical,Trabajo 2º trimestre,7.90,0.25,2024-03-05
149,51,coursework,Trabajo 3º trimestre,8.30,0.25,2023-10-02
150,51,participation,Trabajo 1º trimestre,10.00,0.10,2023-10-05
151,52,exam,Examen 1º trimestre,4.80,0.60,2023-02-01
152,52,coursework,Trabajo 2º trimestre,3.80,0.30,2023-05-07
153,52,participation,Trabajo 3º trimestre,6.60,0.10,2023-06-10
154,53,exam,Examen 1º trimestre,8.60,0.60,2022-12-31
155,53,coursework,Trabajo 2º trimestre,8.70,0.30,2023-01-30
156,53,participation,Trabajo 3º trimestre,8.40,0.10,2023-05-20
157,54,exam,Examen 1º trimestre,4.40,0.70,2025-05-26
158,54,coursework,Trabajo 2º trimestre,8.40,0.30,2025-06-13
159,55,exam,Examen 1º trimestre,6.70,0.35,2025-04-02
160,55,exam,Examen 2º trimestre,6.20,0.35,2025-04-11
161,55,coursework,Trabajo 3º trimestre,5.70,0.30,2025-01-03
162,56,exam,Examen 1º trimestre,7.30,0.70,2023-10-31
163,56,coursework,Trabajo 2º trimestre,5.00,0.30,2023-11-19
164,57,exam,Examen 1º trimestre,7.20,0.35,2025-03-31
165,57,exam,Examen 2º trimestre,4.80,0.35,2024-11-09
166,57,coursework,Trabajo 3º trimestre,7.90,0.30,2024-11-12
167,58,exam,Examen 1º trimestre,6.40,0.70,2024-09-09
168,58,coursework,Trabajo 2º trimestre,4.90,0.30,2024-10-11
169,59,exam,Examen 1º trimestre,4.70,0.35,2025-04-28
170,59,exam,Examen 2º trimestre,7.60,0.35,2025-03-04
171,59,coursework,Trabajo 3º trimestre,5.90,0.30,2025-01-18
172,60,exam,Examen 1º trimestre,7.10,0.70,2023-10-23
173,60,coursework,Trabajo 2º trimestre,6.10,0.30,2024-04-06
174,61,exam,Examen 1º trimestre,4.70,0.40,2022-10-26
175,61,practical,Trabajo 2º trimestre,6.60,0.25,2022-10-17
176,61,coursework,Trabajo 3º trimestre,3.00,0.25,2022-12-03
177,61,participation,Trabajo 1º trimestre,6.70,0.10,2023-03-10
178,62,exam,Examen 1º trimestre,8.40,0.60,2022-11-01
179,62,coursework,Trabajo 2º trimestre,8.90,0.30,2023-06-11
180,62,participation,Trabajo 3º trimestre,6.00,0.10,2022-12-23
181,63,exam,Examen 1º trimestre,4.40,0.35,2024-11-12
182,63,exam,Examen 2º trimestre,3.80,0.35,2024-09-18
183,63,coursework,Trabajo 3º trimestre,7.10,0.30,2025-04-14
184,64,exam,Examen 1º trimestre,4.80,0.35,2023-09-20
185,64,exam,Examen 2º trimestre,6.30,0.35,2023-12-17
186,64,coursework,Trabajo 3º trimestre,6.70,0.30,2024-03-18
187,65,exam,Examen 1º trimestre,9.90,0.60,2023-06-06
188,65,coursework,Trabajo 2º trimestre,5.20,0.30,2023-06-04
189,65,participation,Trabajo 3º trimestre,6.90,0.10,2022-12-14
190,66,exam,Examen 1º trimestre,7.90,0.40,2025-05-21
191,66,practical,Trabajo 2º trimestre,4.70,0.25,2025-05-11
192,66,coursework,Trabajo 3º trimestre,9.70,0.25,2025-02-21
193,66,participation,Trabajo 1º trimestre,8.90,0.10,2024-10-19
194,67,exam,Examen 1º trimestre,6.10,0.40,2023-04-05
195,67,practical,Trabajo 2º trimestre,6.50,0.25,2023-01-03
196,67,coursework,Trabajo 3º trimestre,4.70,0.25,2023-06-03
197,67,participation,Trabajo 1º trimestre,7.40,0.10,2022-12-02
198,68,exam,Examen 1º trimestre,5.10,0.60,2024-09-30
199,68,coursework,Trabajo 2º trimestre,9.30,0.30,2025-01-19
200,68,participation,Trabajo 3º trimestre,7.30,0.10,2024-09-25
201,69,exam,Examen 1º trimestre,7.50,0.40,2023-04-06
202,69,practical,Trabajo 2º trimestre,7.90,0.25,2022-09-09
203,69,coursework,Trabajo 3º trimestre,8.20,0.25,2023-03-11
204,69,participation,Trabajo 1º trimestre,8.70,0.10,2023-03-26
205,70,exam,Examen 1º trimestre,7.70,0.40,2024-05-09
206,70,practical,Trabajo 2º trimestre,8.60,0.25,2023-10-11
207,70,coursework,Trabajo 3º trimestre,8.20,0.25,2023-10-27
208,70,participation,Trabajo 1º trimestre,8.70,0.10,2023-09-28
209,71,exam,Examen 1º trimestre,10.00,0.60,2023-12-20
210,71,coursework,Trabajo 2º trimestre,7.70,0.30,2024-03-10
211,71,participation,Trabajo 3º trimestre,8.50,0.10,2024-05-24
212,72,exam,Examen 1º trimestre,7.60,0.40,2025-05-06
213,72,practical,Trabajo 2º trimestre,6.50,0.25,2024-10-31
214,72,coursework,Trabajo 3º trimestre,7.00,0.25,2024-11-30
215,72,participation,Trabajo 1º trimestre,9.80,0.10,2025-06-17
216,73,exam,Examen 1º trimestre,7.40,0.70,2025-02-03
217,73,coursework,Trabajo 2º trimestre,6.60,0.30,2025-02-17
218,74,exam,Examen 1º trimestre,8.00,0.40,2023-10-19
219,74,practical,Trabajo 2º trimestre,4.10,0.25,2024-01-15
220,74,coursework,Trabajo 3º trimestre,8.20,0.25,2023-12-29
221,74,participation,Trabajo 1º trimestre,8.60,0.10,2024-03-25
222,75,exam,Examen 1º trimestre,5.80,0.35,2023-06-07
223,75,exam,Examen 2º trimestre,4.20,0.35,2022-09-15
224,75,coursework,Trabajo 3º trimestre,10.00,0.30,2022-12-07
225,76,exam,Examen 1º trimestre,9.10,0.40,2025-06-19
226,76,practical,Trabajo 2º trimestre,4.60,0.25,2024-10-23
227,76,coursework,Trabajo 3º trimestre,8.90,0.25,2025-03-27
228,76,participation,Trabajo 1º trimestre,4.50,0.10,2025-04-22
229,77,exam,Examen 1º trimestre,6.20,0.70,2023-10-30
230,77,coursework,Trabajo 2º trimestre,5.60,0.30,2024-04-23
231,78,exam,Examen 1º trimestre,5.40,0.60,2023-12-06
232,78,coursework,Trabajo 2º trimestre,7.30,0.30,2024-02-23
233,78,participation,Trabajo 3º trimestre,7.60,0.10,2024-05-22
234,79,exam,Examen 1º trimestre,8.00,0.35,2024-04-22
235,79,exam,Examen 2º trimestre,8.20,0.35,2024-03-25
236,79,coursework,Trabajo 3º trimestre,7.30,0.30,2024-05-23
237,80,exam,Examen 1º trimestre,7.30,0.35,2025-05-31
238,80,exam,Examen 2º trimestre,10.00,0.35,2025-06-19
239,80,coursework,Trabajo 3º trimestre,7.40,0.30,2025-01-15
240,81,exam,Examen 1º trimestre,3.50,0.35,2025-04-28
241,81,exam,Examen 2º trimestre,5.90,0.35,2025-02-18
242,81,coursework,Trabajo 3º trimestre,3.70,0.30,2025-01-14
243,82,exam,Examen 1º trimestre,7.40,0.35,2023-04-28
244,82,exam,Examen 2º trimestre,5.80,0.35,2023-02-21
245,82,coursework,Trabajo 3º trimestre,6.30,0.30,2023-01-23
246,83,exam,Examen 1º trimestre,7.90,0.40,2023-04-21
247,83,practical,Trabajo 2º trimestre,6.10,0.25,2023-04-28
248,83,coursework,Trabajo 3º trimestre,5.80,0.25,2023-02-20
249,83,participation,Trabajo 1º trimestre,5.70,0.10,2023-04-25
250,84,exam,Examen 1º trimestre,6.90,0.60,2025-03-26
251,84,coursework,Trabajo 2º trimestre,6.30,0.30,2025-01-01
252,84,participation,Trabajo 3º trimestre,9.50,0.10,2024-12-04
253,85,exam,Examen 1º trimestre,5.10,0.40,2023-04-11
254,85,practical,Trabajo 2º trimestre,6.60,0.25,2022-12-18
255,85,coursework,Trabajo 3º trimestre,6.40,0.25,2023-04-22
256,85,participation,Trabajo 1º trimestre,6.30,0.10,2023-02-06
257,86,exam,Examen 1º trimestre,6.00,0.60,2025-02-18
258,86,coursework,Trabajo 2º trimestre,7.60,0.30,2024-11-02
259,86,participation,Trabajo 3º trimestre,9.50,0.10,2024-11-26
260,87,exam,Examen 1º trimestre,6.10,0.40,2024-09-20
261,87,practical,Trabajo 2º trimestre,7.60,0.25,2025-01-18
262,87,coursework,Trabajo 3º trimestre,5.00,0.25,2025-05-25
263,87,participation,Trabajo 1º trimestre,9.90,0.10,2024-11-24
264,88,exam,Examen 1º trimestre,6.80,0.70,2023-04-16
265,88,coursework,Trabajo 2º trimestre,9.30,0.30,2022-09-29
266,89,exam,Examen 1º trimestre,7.50,0.60,2024-02-09
267,89,coursework,Trabajo 2º trimestre,9.80,0.30,2024-01-10
268,89,participation,Trabajo 3º trimestre,9.10,0.10,2024-06-11
269,90,exam,Examen 1º trimestre,6.70,0.35,2023-03-20
270,90,exam,Examen 2º trimestre,8.30,0.35,2023-06-19
271,90,coursework,Trabajo 3º trimestre,7.60,0.30,2022-11-06
272,91,exam,Examen 1º trimestre,5.30,0.70,2023-01-29
273,91,coursework,Trabajo 2º trimestre,7.40,0.30,2023-03-06
274,92,exam,Examen 1º trimestre,6.60,0.40,2022-12-07
275,92,practical,Trabajo 2º trimestre,6.10,0.25,2023-06-14
276,92,coursework,Trabajo 3º trimestre,10.00,0.25,2023-06-11
277,92,participation,Trabajo 1º trimestre,6.20,0.10,2023-03-18
278,93,exam,Examen 1º trimestre,8.80,0.60,2025-04-30
279,93,coursework,Trabajo 2º trimestre,7.40,0.30,2024-09-15
280,93,participation,Trabajo 3º trimestre,8.10,0.10,2024-10-11
281,94,exam,Examen 1º trimestre,7.60,0.60,2023-01-14
282,94,coursework,Trabajo 2º trimestre,8.70,0.30,2023-02-11
283,94,participation,Trabajo 3º trimestre,9.10,0.10,2023-04-19
284,95,exam,Examen 1º trimestre,8.70,0.60,2023-10-30
285,95,coursework,Trabajo 2º trimestre,5.00,0.30,2023-11-13
286,95,participation,Trabajo 3º trimestre,10.00,0.10,2024-01-09
287,96,exam,Examen 1º trimestre,9.10,0.40,2023-04-30
288,96,practical,Trabajo 2º trimestre,8.20,0.25,2023-05-17
289,96,coursework,Trabajo 3º trimestre,7.30,0.25,2022-11-09
290,96,participation,Trabajo 1º trimestre,5.50,0.10,2023-02-02
291,97,exam,Examen 1º trimestre,2.80,0.35,2023-11-11
292,97,exam,Examen 2º trimestre,2.50,0.35,2023-10-15
293,97,coursework,Trabajo 3º trimestre,3.90,0.30,2024-04-09
294,98,exam,Examen 1º trimestre,6.30,0.70,2022-11-24
295,98,coursework,Trabajo 2º trimestre,8.90,0.30,2023-03-10
296,99,exam,Examen 1º trimestre,6.30,0.70,2025-06-07
297,99,coursework,Trabajo 2º trimestre,7.50,0.30,2025-02-07
298,100,exam,Examen 1º trimestre,6.00,0.40,2024-02-14
299,100,practical,Trabajo 2º trimestre,5.00,0.25,2024-03-20
300,100,coursework,Trabajo 3º trimestre,6.20,0.25,2024-05-27
301,100,participation,Trabajo 1º trimestre,6.00,0.10,2024-03-09
302,101,exam,Examen 1º trimestre,4.50,0.40,2024-01-03
303,101,practical,Trabajo 2º trimestre,5.20,0.25,2024-01-18
304,101,coursework,Trabajo 3º trimestre,6.60,0.25,2023-11-19
305,101,participation,Trabajo 1º trimestre,5.20,0.10,2024-01-28
306,102,exam,Examen 1º trimestre,4.80,0.70,2025-02-07
307,102,coursework,Trabajo 2º trimestre,5.40,0.30,2024-09-29
308,103,exam,Examen 1º trimestre,8.40,0.40,2024-04-29
309,103,practical,Trabajo 2º trimestre,7.40,0.25,2024-01-21
310,103,coursework,Trabajo 3º trimestre,6.00,0.25,2023-10-09
311,103,participation,Trabajo 1º trimestre,3.70,0.10,2023-12-26
312,104,exam,Examen 1º trimestre,4.10,0.40,2024-04-10
313,104,practical,Trabajo 2º trimestre,5.30,0.25,2024-05-03
314,104,coursework,Trabajo 3º trimestre,4.20,0.25,2024-05-03
315,104,participation,Trabajo 1º trimestre,6.90,0.10,2023-10-13
316,105,exam,Examen 1º trimestre,6.50,0.35,2024-02-19
317,105,exam,Examen 2º trimestre,5.60,0.35,2024-05-07
318,105,coursework,Trabajo 3º trimestre,3.10,0.30,2024-01-15
319,106,exam,Examen 1º trimestre,5.50,0.35,2024-02-18
320,106,exam,Examen 2º trimestre,5.30,0.35,2024-05-07
321,106,coursework,Trabajo 3º trimestre,6.00,0.30,2024-05-14
322,107,exam,Examen 1º trimestre,9.20,0.70,2022-09-17
323,107,coursework,Trabajo 2º trimestre,8.60,0.30,2022-10-12
324,108,exam,Examen 1º trimestre,5.20,0.60,2024-09-13
325,108,coursework,Trabajo 2º trimestre,10.00,0.30,2024-09-18
326,108,participation,Trabajo 3º trimestre,8.30,0.10,2024-12-26
327,109,exam,Examen 1º trimestre,4.50,0.70,2024-02-17
328,109,coursework,Trabajo 2º trimestre,5.40,0.30,2023-11-08
329,110,exam,Examen 1º trimestre,4.70,0.40,2023-01-23
330,110,practical,Trabajo 2º trimestre,7.00,0.25,2023-03-08
331,110,coursework,Trabajo 3º trimestre,9.20,0.25,2022-10-18
332,110,participation,Trabajo 1º trimestre,8.50,0.10,2022-10-26
333,111,exam,Examen 1º trimestre,3.20,0.35,2023-05-09
334,111,exam,Examen 2º trimestre,7.60,0.35,2022-12-13
335,111,coursework,Trabajo 3º trimestre,6.50,0.30,2022-10-09
336,112,exam,Examen 1º trimestre,6.80,0.70,2022-10-05
337,112,coursework,Trabajo 2º trimestre,6.80,0.30,2022-12-31
338,113,exam,Examen 1º trimestre,7.20,0.70,2025-05-29
339,113,coursework,Trabajo 2º trimestre,7.60,0.30,2024-11-26
340,114,exam,Examen 1º trimestre,8.20,0.40,2023-02-25
341,114,practical,Trabajo 2º trimestre,8.90,0.25,2022-10-23
342,114,coursework,Trabajo 3º trimestre,9.80,0.25,2023-04-10
343,114,participation,Trabajo 1º trimestre,8.50,0.10,2022-12-30
344,115,exam,Examen 1º trimestre,6.50,0.35,2024-01-22
345,115,exam,Examen 2º trimestre,4.70,0.35,2024-05-08
346,115,coursework,Trabajo 3º trimestre,5.90,0.30,2023-12-15
347,116,exam,Examen 1º trimestre,6.30,0.40,2024-05-16
348,116,practical,Trabajo 2º trimestre,8.40,0.25,2023-09-20
349,116,coursework,Trabajo 3º trimestre,7.20,0.25,2024-01-10
350,116,participation,Trabajo 1º trimestre,2.70,0.10,2024-06-04
351,117,exam,Examen 1º trimestre,3.20,0.40,2023-02-21
352,117,practical,Trabajo 2º trimestre,5.90,0.25,2023-06-04
353,117,coursework,Trabajo 3º trimestre,2.00,0.25,2023-04-25
354,117,participation,Trabajo 1º trimestre,5.10,0.10,2023-03-12
355,118,exam,Examen 1º trimestre,3.40,0.70,2022-10-31
356,118,coursework,Trabajo 2º trimestre,4.50,0.30,2023-04-25
357,119,exam,Examen 1º trimestre,2.90,0.35,2022-12-18
358,119,exam,Examen 2º trimestre,6.30,0.35,2022-11-07
359,119,coursework,Trabajo 3º trimestre,2.00,0.30,2023-04-30
360,120,exam,Examen 1º trimestre,5.50,0.60,2025-01-31
361,120,coursework,Trabajo 2º trimestre,5.50,0.30,2025-04-21
362,120,participation,Trabajo 3º trimestre,5.50,0.10,2024-11-12
363,121,exam,Examen 1º trimestre,6.90,0.60,2023-04-08
364,121,coursework,Trabajo 2º trimestre,7.10,0.30,2022-12-16
365,121,participation,Trabajo 3º trimestre,4.40,0.10,2022-12-03
366,122,exam,Examen 1º trimestre,5.90,0.40,2024-09-13
367,122,practical,Trabajo 2º trimestre,8.10,0.25,2024-10-16
368,122,coursework,Trabajo 3º trimestre,5.50,0.25,2025-05-06
369,122,participation,Trabajo 1º trimestre,7.20,0.10,2024-10-07
370,123,exam,Examen 1º trimestre,5.70,0.35,2025-05-11
371,123,exam,Examen 2º trimestre,5.40,0.35,2025-02-26
372,123,coursework,Trabajo 3º trimestre,7.70,0.30,2024-11-19
373,124,exam,Examen 1º trimestre,5.10,0.35,2023-05-11
374,124,exam,Examen 2º trimestre,4.70,0.35,2023-03-31
375,124,coursework,Trabajo 3º trimestre,5.20,0.30,2023-05-23
376,125,exam,Examen 1º trimestre,4.00,0.35,2024-05-12
377,125,exam,Examen 2º trimestre,5.90,0.35,2023-12-25
378,125,coursework,Trabajo 3º trimestre,6.70,0.30,2024-02-08
379,126,exam,Examen 1º trimestre,7.60,0.70,2023-03-20
380,126,coursework,Trabajo 2º trimestre,7.30,0.30,2023-05-14
381,127,exam,Examen 1º trimestre,5.50,0.35,2023-01-08
382,127,exam,Examen 2º trimestre,7.70,0.35,2022-12-03
383,127,coursework,Trabajo 3º trimestre,7.30,0.30,2022-12-01
384,128,exam,Examen 1º trimestre,8.30,0.35,2024-05-25
385,128,exam,Examen 2º trimestre,6.40,0.35,2024-02-28
386,128,coursework,Trabajo 3º trimestre,6.30,0.30,2023-11-20
387,129,exam,Examen 1º trimestre,3.60,0.60,2023-02-08
388,129,coursework,Trabajo 2º trimestre,10.00,0.30,2023-05-18
389,129,participation,Trabajo 3º trimestre,7.30,0.10,2022-11-09
390,130,exam,Examen 1º trimestre,5.80,0.60,2023-03-17
391,130,coursework,Trabajo 2º trimestre,7.30,0.30,2023-04-05
392,130,participation,Trabajo 3º trimestre,8.00,0.10,2023-04-30
393,131,exam,Examen 1º trimestre,2.90,0.70,2023-02-25
394,131,coursework,Trabajo 2º trimestre,2.20,0.30,2023-03-14
395,132,exam,Examen 1º trimestre,5.70,0.60,2022-10-15
396,132,coursework,Trabajo 2º trimestre,9.80,0.30,2022-11-12
397,132,participation,Trabajo 3º trimestre,10.00,0.10,2022-10-17
398,133,exam,Examen 1º trimestre,3.50,0.40,2022-11-14
399,133,practical,Trabajo 2º trimestre,4.40,0.25,2022-11-14
400,133,coursework,Trabajo 3º trimestre,5.70,0.25,2022-11-05
401,133,participation,Trabajo 1º trimestre,3.20,0.10,2022-11-03
402,134,exam,Examen 1º trimestre,2.60,0.70,2023-02-27
403,134,coursework,Trabajo 2º trimestre,5.30,0.30,2023-01-26
404,135,exam,Examen 1º trimestre,2.20,0.40,2023-12-22
