id,course_id,classroom_id,exam_date,exam_type,duration_minutes,max_score,registered_students
182,216,41,2025-04-22,mock,45,10.00,13
183,15,30,2024-03-21,mock,60,10.00,11
184,132,75,2022-11-01,resit,120,10.00,10
185,57,115,2022-09-23,final,90,10.00,9
186,102,110,2023-11-15,midterm,60,10.00,32
187,92,88,2025-05-21,midterm,90,10.00,21
188,12,72,2023-10-12,midterm,60,10.00,30
189,194,103,2025-01-23,midterm,60,10.00,12
190,242,90,2023-01-04,midterm,90,10.00,12
191,246,52,2024-03-01,midterm,45,10.00,15
192,64,3,2023-04-14,final,90,10.00,22
193,181,93,2023-11-20,midterm,45,10.00,24
194,135,9,2024-03-25,midterm,60,10.00,13
195,154,111,2025-06-17,final,90,10.00,16
196,28,62,2023-03-21,midterm,90,10.00,24
197,259,110,2024-03-04,midterm,60,10.00,17
198,198,89,2023-03-20,midterm,90,10.00,6
199,289,110,2023-04-20,midterm,90,10.00,32
200,5,38,2024-05-20,final,90,10.00,20
201,143,108,2023-04-24,resit,90,10.00,21
202,55,20,2023-01-12,midterm,60,10.00,11
203,96,48,2023-01-30,final,120,10.00,25
204,252,111,2024-02-05,midterm,60,10.00,20
205,130,25,2023-10-16,midterm,90,10.00,19
206,79,116,2023-04-26,final,90,10.00,18
207,243,9,2024-04-08,final,120,10.00,14
208,115,10,2023-03-07,mock,90,10.00,26
209,279,104,2023-02-21,midterm,45,10.00,35
210,241,54,2025-06-09,final,120,10.00,20
211,134,50,2023-03-29,final,120,10.00,31
212,223,24,2024-01-15,midterm,90,10.00,23
213,37,55,2023-01-24,mock,45,10.00,9
214,237,55,2025-04-08,resit,90,10.00,16
215,220,100,2024-02-26,midterm,45,10.00,35
216,223,15,2024-05-13,midterm,60,10.00,29
217,222,13,2025-06-11,midterm,60,10.00,15
218,64,7,2022-12-15,final,60,10.00,8
219,71,36,2023-01-23,midterm,45,10.00,20
220,260,68,2022-11-10,resit,60,10.00,17
221,53,35,2024-09-12,mock,45,10.00,23
222,112,26,2023-05-15,final,120,10.00,17
223,159,68,2024-05-16,mock,90,10.00,26
224,84,54,2022-10-19,resit,90,10.00,12
225,213,76,2023-09-27,resit,120,10.00,21
226,91,17,2023-10-13,mock,60,10.00,9
227,248,5,2024-02-29,mock,45,10.00,22
228,57,120,2023-02-06,midterm,60,10.00,23
229,150,51,2023-06-09,midterm,90,10.00,27
230,66,36,2024-02-12,final,90,10.00,31
231,116,13,2022-12-19,midterm,60,10.00,21
232,66,28,2024-03-11,midterm,90,10.00,27
233,77,108,2024-10-09,final,90,10.00,28
234,290,51,2025-01-30,midterm,60,10.00,21
235,177,95,2025-04-28,final,90,10.00,18
236,297,95,2025-05-08,final,90,10.00,26
237,106,117,2024-10-09,final,90,10.00,32
238,106,119,2024-11-06,midterm,45,10.00,32
239,205,63,2022-09-26,midterm,45,10.00,12
240,146,108,2024-10-21,final,90,10.00,15
241,186,68,2024-11-18,midterm,45,10.00,29
242,236,61,2024-11-04,midterm,90,10.00,17
243,99,96,2024-01-31,midterm,45,10.00,17
244,201,11,2025-01-03,midterm,60,10.00,24
245,183,18,2025-06-02,final,90,10.00,10
246,230,94,2022-10-03,midterm,45,10.00,19
247,287,92,2023-03-27,midterm,90,10.00,26
248,151,68,2024-01-18,resit,120,10.00,13
249,69,93,2025-04-18,mock,45,10.00,26
250,251,57,2023-09-25,final,120,10.00,35
251,77,98,2024-12-16,final,120,10.00,17
252,242,89,2023-03-08,midterm,60,10.00,13
253,102,115,2024-05-14,resit,60,10.00,16
254,167,12,2023-03-16,final,90,10.00,9
255,248,6,2024-01-12,midterm,90,10.00,14
256,275,80,2022-12-26,final,60,10.00,24
257,236,64,2024-10-07,final,60,10.00,15
258,229,83,2023-02-03,final,60,10.00,29
259,88,20,2022-11-02,final,120,10.00,17
260,32,77,2024-11-18,midterm,90,10.00,31
261,164,92,2024-09-23,resit,90,10.00,11
262,126,8,2023-04-13,midterm,60,10.00,26
263,167,11,2023-03-08,final,120,10.00,10
264,11,110,2024-10-14,final,120,10.00,16
265,141,98,2023-02-20,midterm,90,10.00,19
266,85,60,2024-12-02,mock,90,10.00,20
267,235,23,2023-03-22,midterm,45,10.00,17
268,280,66,2025-01-10,midterm,90,10.00,20
269,111,23,2023-03-13,mock,60,10.00,22
270,76,113,2022-10-17,resit,60,10.00,22
271,122,27,2023-06-05,final,180,10.00,16
272,293,39,2023-03-13,final,120,10.00,20
273,119,84,2024-04-11,final,120,10.00,11
274,34,96,2022-09-12,resit,90,10.00,13
275,123,32,2025-06-10,final,120,10.00,33
276,80,109,2024-01-16,midterm,45,10.00,27
277,279,99,2023-01-05,final,60,10.00,35
278,244,79,2024-03-20,midterm,60,10.00,34
279,113,42,2023-06-05,midterm,60,10.00,20
280,92,88,2025-05-06,midterm,90,10.00,28
281,50,114,2024-10-24,midterm,45,10.00,10
282,76,113,2022-11-28,midterm,45,10.00,18
283,124,47,2025-05-16,resit,90,10.00,8
284,160,9,2025-06-03,resit,60,10.00,11
285,276,61,2024-05-09,mock,45,10.00,13
286,232,70,2024-11-04,midterm,60,10.00,15
287,238,103,2025-04-18,midterm,45,10.00,10
288,13,118,2022-12-08,resit,90,10.00,17
289,131,3,2022-10-20,midterm,90,10.00,17
290,190,2,2024-02-26,resit,90,10.00,13
291,117,48,2024-01-15,mock,45,10.00,14
292,109,95,2024-02-16,final,90,10.00,21
293,138,34,2024-12-09,midterm,90,10.00,24
294,132,76,2023-04-04,midterm,45,10.00,10
295,19,4,2025-03-24,midterm,60,10.00,9
296,214,77,2024-04-11,final,120,10.00,14
297,2,105,2024-02-13,midterm,60,10.00,32
298,186,65,2025-05-15,midterm,60,10.00,21
299,166,107,2023-03-29,midterm,60,10.00,23
300,189,92,2025-04-18,midterm,45,10.00,13
