id,vehicle_id,dealership_id,service_date,mileage_km,service_type,parts_cost,labour_cost,total_cost
60,11,20,2024-09-28,68767,Clutch repair,644.72,301.44,946.16
61,12,15,2019-04-10,10947,Tyre replacement,543.54,42.72,586.26
62,12,23,2020-05-04,36362,Suspension repair,414.82,175.68,590.50
63,12,6,2021-09-18,69075,Oil and filter change,47.52,47.52,95.04
64,12,,2021-12-03,74028,Oil and filter change,69.55,36.48,106.03
65,12,,2022-11-30,97617,Oil and filter change,36.20,38.40,74.60
66,12,14,2024-01-23,124922,Routine service,143.41,68.64,212.05
67,12,,2024-07-25,136912,Timing belt replacement,433.05,247.68,680.73
68,13,1,2023-07-13,33842,Routine service,73.42,80.16,153.58
69,13,3,2023-09-02,36772,Suspension repair,234.98,131.52,366.50
70,13,12,2024-01-14,44472,Routine service,165.19,65.76,230.95
71,13,11,2024-12-07,63318,Routine service,126.76,85.44,212.20
72,14,22,2017-02-04,2993,Battery replacement,177.45,27.36,204.81
73,14,16,2017-11-22,9592,Timing belt replacement,210.21,206.88,417.09
74,14,,2019-10-26,25535,Routine service,74.70,64.32,139.02
75,14,,2020-01-17,27418,Oil and filter change,75.53,47.52,123.05
76,14,29,2021-01-18,35741,Routine service,143.78,72.96,216.74
77,14,,2022-06-04,47125,Brake replacement,280.80,111.84,392.64
78,14,,2023-03-05,53339,Routine service,111.43,80.16,191.59
79,14,,2024-10-31,67082,Brake replacement,113.96,95.52,209.48
80,14,,2025-02-22,69668,Oil and filter change,52.76,45.60,98.36
81,15,5,2017-02-05,18613,Routine service,124.66,84.96,209.62
82,15,6,2017-11-20,32184,Air conditioning service,63.20,61.44,124.64
83,15,18,2017-11-28,32561,Oil and filter change,62.42,37.44,99.86
84,15,17,2019-09-30,64181,Oil and filter change,48.90,40.32,89.22
85,15,,2020-10-02,81522,Routine service,117.86,89.28,207.14
86,15,,2021-07-06,94575,Oil and filter change,46.02,38.88,84.90
87,15,,2022-03-27,107015,Timing belt replacement,459.15,249.12,708.27
88,15,,2022-05-23,109701,Routine service,91.38,68.16,159.54
89,15,28,2023-04-02,124498,Bodywork repair,420.13,359.04,779.17
90,15,3,2024-02-12,139389,Routine service,179.75,86.88,266.63
91,16,19,2023-07-04,820,Battery replacement,113.56,20.64,134.20
92,16,20,2024-06-14,17240,Tyre replacement,230.16,48.48,278.64
93,17,14,2020-08-24,8311,Routine service,95.12,77.76,172.88
94,17,5,2020-11-09,10119,Air conditioning service,52.53,58.56,111.09
95,17,4,2021-10-19,18196,Bodywork repair,852.51,281.28,1133.79
96,17,23,2022-04-21,22516,Tyre replacement,619.92,43.68,663.60
97,17,,2022-10-08,26507,Oil and filter change,69.41,41.76,111.17
98,17,,2023-05-06,31438,Tyre replacement,543.89,57.60,601.49
99,17,,2023-11-06,35758,Bodywork repair,634.01,257.76,891.77
100,18,13,2014-12-25,22118,Brake replacement,126.50,89.76,216.26
101,18,17,2015-02-19,24179,Routine service,114.36,78.24,192.60
102,18,,2016-10-14,46372,Oil and filter change,75.81,42.72,118.53
103,18,29,2018-04-13,66467,Tyre replacement,519.93,44.16,564.09
104,18,,2019-11-06,87519,Oil and filter change,38.47,33.60,72.07
105,18,,2019-11-28,88328,Routine service,153.22,88.32,241.54
106,18,,2020-07-16,96830,Clutch repair,603.10,248.64,851.74
107,18,4,2020-10-04,99774,Tyre replacement,473.30,50.88,524.18
108,18,4,2022-01-11,116851,Oil and filter change,64.66,36.96,101.62
109,18,,2022-07-14,123623,Routine service,82.14,64.32,146.46
110,18,,2022-08-01,124285,Routine service,116.26,71.52,187.78
111,18,,2023-03-18,132713,Timing belt replacement,236.91,215.52,452.43
112,18,30,2023-05-12,134738,Routine service,77.88,68.64,146.52
113,18,,2023-08-17,138308,Oil and filter change,74.20,46.56,120.76
114,19,15,2022-12-04,7544,Timing belt replacement,468.46,193.44,661.90
115,19,6,2023-03-28,12853,Battery replacement,85.30,29.28,114.58
116,19,26,2023-07-03,17370,Oil and filter change,55.96,34.08,90.04
117,19,16,2024-11-27,41260,Oil and filter change,61.82,36.96,98.78
118,20,15,2023-03-21,9717,Tyre replacement,462.32,54.24,516.56
119,20,12,2023-09-01,14220,Routine service,172.84,89.76,262.60
120,20,1,2025-02-28,29208,Oil and filter change,82.64,47.52,130.16
121,21,8,2021-05-08,17845,Oil and filter change,87.25,33.12,120.37
122,21,2,2021-10-20,24232,Timing belt replacement,420.45,230.88,651.33
123,21,11,2023-04-03,44748,Tyre replacement,241.60,49.44,291.04
124,21,,2025-02-14,71187,Oil and filter change,86.28,37.92,124.20
125,22,9,2024-02-04,9969,Routine service,175.72,73.92,249.64
126,22,3,2024-09-09,17287,Tyre replacement,562.40,58.56,620.96
127,23,13,2018-07-10,20395,Routine service,109.48,66.72,176.20
128,23,29,2019-06-27,33495,Battery replacement,139.48,24.48,163.96
129,23,8,2019-08-21,35542,Tyre replacement,368.41,53.76,422.17
130,23,7,2019-10-15,37589,Suspension repair,446.10,150.72,596.82
131,23,17,2020-06-06,46336,Routine service,119.49,79.68,199.17
132,23,,2022-05-08,72425,Oil and filter change,87.91,37.44,125.35
133,23,25,2023-02-12,82846,Brake replacement,208.05,89.76,297.81
134,23,14,2023-09-30,91406,Bodywork repair,268.82,252.96,521.78
135,23,,2025-02-04,109755,Suspension repair,265.94,161.28,427.22
136,24,23,2023-01-22,7620,Oil and filter change,75.64,44.64,120.28
137,24,5,2023-02-02,8052,Brake replacement,137.06,102.72,239.78
138,24,16,2024-07-19,28987,Tyre replacement,291.16,51.36,342.52
139,24,12,2024-09-10,31069,Clutch repair,670.58,237.60,908.18
140,25,16,2020-04-10,16827,Routine service,132.92,67.68,200.60
141,25,16,2020-08-07,24082,Battery replacement,172.79,26.88,199.67
142,25,14,2021-03-19,37739,Routine service,148.12,62.40,210.52
143,25,13,2021-06-19,43348,Routine service,177.39,89.76,267.15
144,25,7,2022-06-14,65297,Oil and filter change,80.60,39.36,119.96
145,25,23,2024-04-07,105719,Oil and filter change,48.78,38.88,87.66
146,25,27,2024-04-14,106523,Routine service,89.13,83.52,172.65
147,26,27,2020-03-30,14343,Tyre replacement,550.69,57.60,608.29
148,26,19,2020-04-17,14716,Routine service,114.00,77.76,191.76
149,26,17,2020-10-08,17861,Tyre replacement,295.49,50.88,346.37
150,26,24,2021-01-20,19766,Battery replacement,93.22,28.80,122.02
151,26,28,2021-03-10,20663,Air conditioning service,54.52,59.52,114.04
152,26,,2021-07-01,22734,Routine service,176.63,77.28,253.91
153,26,,2022-06-02,28889,Routine service,130.24,64.80,195.04
154,26,,2023-09-05,37316,Oil and filter change,80.87,39.84,120.71
155,27,14,2016-04-20,36639,Routine service,84.11,62.88,146.99
156,27,21,2017-02-19,48578,Routine service,139.06,75.36,214.42
157,27,,2017-05-18,52022,Routine service,131.71,65.76,197.47
158,27,,2017-09-06,56367,Routine service,63.89,62.88,126.77
159,27,,2018-09-19,71164,Brake replacement,242.66,117.60,360.26
160,27,3,2019-04-12,79189,Bodywork repair,479.81,280.32,760.13
161,27,,2019-07-17,82946,Suspension repair,310.38,126.72,437.10
162,27,12,2020-06-03,95551,Clutch repair,323.92,273.60,597.52
163,27,27,2020-06-21,96256,Battery replacement,113.76,29.28,143.04
164,27,,2021-12-13,117394,Battery replacement,155.90,24.48,180.38
165,27,,2023-05-27,138140,Battery replacement,163.90,20.64,184.54
166,27,,2024-08-29,156146,Routine service,154.18,82.56,236.74
167,28,4,2020-12-16,9218,Battery replacement,166.08,23.04,189.12
168,28,27,2021-02-06,11511,Oil and filter change,38.77,32.64,71.41
169,28,25,2022-04-07,30256,Routine service,142.11,78.72,220.83
170,28,,2024-02-05,59763,Oil and filter change,37.84,33.60,71.44
171,28,26,2024-02-15,60442,Air conditioning service,67.74,52.80,120.54
172,29,5,2022-03-14,35623,Timing belt replacement,362.62,205.44,568.06
173,29,22,2023-04-14,57030,Routine service,125.12,72.48,197.60
174,29,,2024-01-17,72057,Clutch repair,477.02,324.48,801.50
175,29,,2024-07-02,81085,Timing belt replacement,529.86,225.12,754.98
176,29,24,2024-09-11,84923,Air conditioning service,53.06,57.12,110.18
177,29,1,2025-05-16,98275,Bodywork repair,684.92,324.96,1009.88
178,30,19,2024-12-04,4026,Tyre replacement,394.10,58.08,452.18
179,30,13,2025-04-30,5638,Routine service,162.87,76.80,239.67
180,32,3,2019-01-25,4350,Routine service,162.48,85.44,247.92
181,32,,2022-02-26,46657,Routine service,141.10,62.88,203.98
182,32,25,2022-02-28,46885,Bodywork repair,754.77,328.80,1083.57
183,32,30,2022-05-20,49770,Brake replacement,175.01,96.96,271.97
184,32,,2023-01-12,58659,Oil and filter change,88.95,42.72,131.67
185,32,,2023-07-16,65598,Oil and filter change,84.91,47.52,132.43
186,32,19,2025-02-28,87839,Brake replacement,112.77,112.32,225.09
187,33,2,2023-11-26,2863,Routine service,79.12,72.48,151.60
188,33,25,2023-11-27,3436,Tyre replacement,492.14,53.76,545.90
189,33,14,2024-01-17,3988,Routine service,163.37,84.96,248.33
190,33,15,2024-06-23,4798,Routine service,115.14,79.68,194.82
191,34,23,2024-02-14,4208,Routine service,125.02,84.48,209.50
192,34,15,2024-11-26,14156,Battery replacement,151.56,25.44,177.00
193,36,19,2015-02-17,3303,Brake replacement,148.63,99.36,247.99
194,36,21,2015-07-20,10845,Battery replacement,173.88,24.96,198.84
195,36,9,2016-03-03,22036,Routine service,146.91,82.08,228.99
196,36,25,2017-09-21,49989,Air conditioning service,76.18,60.48,136.66
197,36,14,2017-10-29,51863,Oil and filter change,81.95,36.48,118.43
198,36,28,2020-11-06,106289,Routine service,151.47,68.64,220.11
199,36,,2022-02-18,129411,Oil and filter change,52.95,46.08,99.03
200,36,23,2022-08-13,138087,Air conditioning service,123.71,70.56,194.27
201,36,25,2023-07-16,154701,Routine service,141.47,74.88,216.35
202,36,,2025-01-09,181471,Routine service,179.39,86.40,265.79
203,37,30,2021-04-25,8343,Oil and filter change,77.73,43.20,120.93
204,37,2,2021-10-31,17619,Clutch repair,695.30,267.84,963.14
205,37,5,2021-12-20,20073,Oil and filter change,36.61,43.68,80.29
206,37,21,2023-07-04,47607,Timing belt replacement,376.72,183.84,560.56
207,38,,2022-05-21,77130,Routine service,89.30,68.64,157.94
208,38,,2022-11-30,90063,Oil and filter change,48.24,37.44,85.68
209,38,,2023-12-04,114791,Brake replacement,230.03,117.60,347.63
210,38,,2024-12-14,139987,Air conditioning service,53.65,63.84,117.49
211,38,,2025-05-06,149570,Routine service,138.74,86.40,225.14
212,39,20,2015-03-26,7599,Routine service,61.65,61.92,123.57
213,39,14,2015-11-25,14703,Brake replacement,255.47,108.48,363.95
214,39,,2018-08-27,43993,Oil and filter change,78.03,36.96,114.99
215,39,11,2018-11-20,46467,Routine service,138.56,71.04,209.60
216,39,,2019-01-13,48040,Routine service,171.06,70.56,241.62
217,39,,2019-04-26,51038,Routine service,61.51,64.32,125.83
218,39,,2019-06-30,52931,Oil and filter change,80.17,38.40,118.57
219,39,,2021-05-06,72613,Brake replacement,227.49,103.68,331.17
220,39,,2021-05-18,72962,Brake replacement,278.55,97.44,375.99
221,39,12,2022-07-09,85103,Oil and filter change,89.48,48.00,137.48
222,39,,2022-10-09,87782,Routine service,130.46,63.84,194.30
223,39,,2023-04-25,93547,Routine service,120.21,78.72,198.93
224,40,23,2024-10-31,5228,Routine service,106.84,75.84,182.68
225,41,21,2018-04-26,3887,Oil and filter change,81.08,41.76,122.84
226,41,7,2019-06-29,20239,Routine service,117.52,66.24,183.76
227,41,6,2020-08-06,35638,Oil and filter change,86.95,35.04,121.99
228,41,24,2021-08-28,50389,Oil and filter change,36.61,38.40,75.01
229,41,,2022-11-29,67847,Brake replacement,258.10,105.12,363.22
230,41,,2024-11-24,95519,Routine service,133.46,68.16,201.62
231,42,4,2025-03-19,807,Tyre replacement,533.90,42.72,576.62
232,43,18,2013-03-12,3280,Routine service,172.00,70.56,242.56
233,43,7,2014-02-15,11081,Clutch repair,579.52,292.32,871.84
234,43,5,2014-08-12,15165,Routine service,126.96,80.64,207.60
235,43,13,2016-07-29,31615,Routine service,101.16,88.80,189.96
236,43,,2017-06-09,38842,Routine service,170.03,64.32,234.35
237,43,,2017-12-04,42926,Routine service,90.74,83.52,174.26
238,43,,2017-12-20,43413,Oil and filter change,38.11,38.40,76.51
239,43,,2017-12-24,43797,Routine service,173.79,74.40,248.19
240,43,,2018-03-10,45128,Routine service,112.92,75.36,188.28
241,43,,2018-10-13,50107,Routine service,122.59,76.80,199.39
242,43,,2019-05-04,54765,Tyre replacement,400.42,48.00,448.42
243,43,10,2022-12-22,85233,Routine service,156.74,83.04,239.78
244,43,4,2023-10-20,92162,Brake replacement,142.64,93.60,236.24
245,45,27,2016-08-01,6434,Suspension repair,298.44,175.20,473.64
246,45,17,2016-09-18,9030,Timing belt replacement,534.24,236.16,770.40
247,45,11,2017-08-21,27253,Routine service,72.04,82.08,154.12
248,45,8,2018-06-15,43368,Oil and filter change,77.13,47.52,124.65
249,45,,2020-01-09,74353,Oil and filter change,61.38,35.04,96.42
250,45,,2020-03-31,78787,Routine service,64.18,72.00,136.18
251,45,,2022-03-30,118207,Routine service,80.15,78.24,158.39
252,45,,2022-06-24,122858,Oil and filter change,84.15,41.76,125.91
253,45,14,2023-04-02,138107,Brake replacement,229.16,99.84,329.00
254,45,27,2023-06-19,142325,Oil and filter change,69.58,36.96,106.54
255,45,,2023-10-07,148273,Oil and filter change,74.82,35.52,110.34
256,46,19,2021-10-13,542,Battery replacement,145.72,23.04,168.76
257,46,12,2021-11-15,983,Tyre replacement,587.62,54.72,642.34
258,46,,2024-11-21,12497,Routine service,172.15,72.96,245.11
259,46,26,2025-05-22,14428,Oil and filter change,63.58,41.76,105.34
260,48,14,2017-01-30,4780,Routine service,153.25,82.56,235.81
261,48,1,2017-03-01,5476,Suspension repair,238.56,156.00,394.56
262,48,19,2017-04-01,6271,Oil and filter change,83.88,33.60,117.48
263,48,17,2019-02-15,22093,Tyre replacement,548.43,47.52,595.95
264,48,,2019-09-23,27198,Routine service,149.29,71.04,220.33
265,48,,2021-03-18,39776,Timing belt replacement,389.11,189.12,578.23
266,48,28,2022-11-01,53538,Routine service,106.48,64.80,171.28
267,48,,2023-11-08,62171,Routine service,65.92,63.36,129.28
268,48,,2023-11-22,62680,Battery replacement,170.38,29.28,199.66
269,48,29,2024-06-21,67416,Routine service,97.00,72.48,169.48
270,48,,2025-04-20,74448,Clutch repair,348.72,254.88,603.60
271,49,19,2023-11-21,15634,Brake replacement,162.70,105.12,267.82
272,49,4,2024-04-21,22969,Tyre replacement,308.35,58.08,366.43
273,49,17,2024-09-27,30642,Routine service,88.59,82.08,170.67
274,50,11,2021-03-16,5103,Tyre replacement,314.80,41.28,356.08
275,50,25,2022-10-21,33218,Oil and filter change,87.65,36.48,124.13
276,50,18,2023-08-28,48190,Battery replacement,120.12,26.40,146.52
277,50,,2024-02-07,56037,Routine service,62.81,79.20,142.01
278,50,,2024-04-26,59840,Oil and filter change,55.00,43.20,98.20
279,52,25,2019-05-24,6877,Tyre replacement,413.67,48.48,462.15
280,52,12,2019-10-17,11401,Oil and filter change,36.27,32.64,68.91
281,52,10,2020-02-19,15273,Tyre replacement,487.84,55.20,543.04
282,52,19,2021-02-06,26210,Oil and filter change,54.77,40.80,95.57
283,52,,2023-10-01,56168,Clutch repair,558.10,280.32,838.42
284,52,23,2024-06-19,64286,Routine service,101.03,70.08,171.11
285,52,,2025-05-05,74200,Oil and filter change,41.70,47.52,89.22
286,54,11,2022-04-08,4769,Routine service,114.46,68.16,182.62
287,54,12,2023-12-03,16674,Air conditioning service,58.39,68.16,126.55
288,54,4,2024-02-01,17857,Air conditioning service,94.98,64.80,159.78
289,54,2,2024-02-23,18328,Timing belt replacement,432.05,232.32,664.37
290,55,10,2021-08-05,4584,Oil and filter change,36.29,40.32,76.61
291,55,10,2022-11-17,14225,Brake replacement,140.57,116.16,256.73
292,55,13,2023-04-27,17535,Routine service,179.47,61.44,240.91
293,55,17,2023-07-02,18892,Air conditioning service,45.16,63.84,109.00
294,55,26,2024-01-13,22901,Clutch repair,427.16,276.00,703.16
295,55,,2024-09-17,27999,Tyre replacement,516.47,45.12,561.59
296,56,12,2014-06-26,2769,Routine service,74.15,62.40,136.55
297,56,3,2014-06-28,3638,Routine service,137.34,71.04,208.38
298,56,9,2016-07-04,20264,Routine service,150.84,76.80,227.64
299,56,23,2016-12-13,24099,Bodywork repair,445.80,346.56,792.36
300,56,26,2017-09-24,30846,Routine service,147.24,88.80,236.04
301,56,24,2017-12-20,32905,Timing belt replacement,543.49,187.68,731.17
302,56,30,2018-11-07,40528,Tyre replacement,611.70,44.16,655.86
303,56,4,2019-04-14,44268,Routine service,135.77,78.72,214.49
304,56,19,2020-02-10,51417,Clutch repair,312.85,236.64,549.49
305,56,,2022-07-21,72534,Routine service,93.81,77.76,171.57
306,56,,2023-11-30,84299,Oil and filter change,66.30,42.72,109.02
307,56,,2024-10-27,92159,Brake replacement,248.11,85.92,334.03
308,56,,2024-11-07,92887,Routine service,116.72,77.76,194.48
309,57,14,2022-03-27,14213,Routine service,146.21,62.40,208.61
310,57,19,2022-07-13,19898,Brake replacement,154.63,114.72,269.35
311,57,19,2022-12-07,27637,Routine service,107.71,74.88,182.59
312,57,25,2024-03-12,51905,Timing belt replacement,431.13,192.48,623.61
313,58,1,2024-02-24,5444,Routine service,153.61,82.56,236.17
314,58,26,2024-06-26,11587,Routine service,97.43,68.16,165.59
315,59,16,2014-08-14,38480,Brake replacement,195.01,90.72,285.73
316,59,,2015-03-10,47333,Timing belt replacement,401.44,254.88,656.32
317,59,19,2015-07-04,52271,Oil and filter change,84.77,35.52,120.29
318,59,,2015-07-30,53378,Battery replacement,94.91,23.52,118.43
319,59,,2016-01-11,60401,Oil and filter change,50.13,44.64,94.77
320,59,,2016-11-28,74108,Routine service,152.22,71.52,223.74
321,59,,2016-12-26,75300,Oil and filter change,47.32,44.16,91.48
322,59,,2018-09-29,102627,Battery replacement,116.12,20.64,136.76
323,59,3,2020-07-26,130977,Routine service,170.98,86.88,257.86
324,59,,2020-11-21,136000,Tyre replacement,586.52,55.20,641.72
325,59,,2021-02-23,140001,Routine service,159.86,79.20,239.06
326,59,,2024-02-08,185973,Routine service,157.62,69.60,227.22
327,59,,2025-03-18,203170,Routine service,161.97,70.56,232.53
328,59,,2025-04-08,204064,Brake replacement,271.64,85.44,357.08
329,60,19,2017-01-22,4170,Routine service,77.59,82.56,160.15
330,60,29,2017-04-06,6699,Tyre replacement,520.59,52.80,573.39
331,60,21,2018-12-24,28130,Routine service,97.51,72.00,169.51
332,60,1,2019-02-08,29702,Routine service,66.18,64.32,130.50
333,60,20,2019-06-03,33633,Air conditioning service,68.94,52.32,121.26
334,60,14,2020-11-06,51475,Routine service,86.97,78.24,165.21
335,60,,2021-08-21,61319,Tyre replacement,183.43,48.96,232.39
336,60,,2023-09-15,87125,Oil and filter change,80.22,42.72,122.94
337,60,24,2025-01-13,103737,Routine service,129.00,77.28,206.28
338,61,23,2018-10-11,14394,Routine service,162.12,83.04,245.16
339,61,20,2019-10-14,23887,Oil and filter change,66.57,38.40,104.97
340,61,8,2020-01-15,26286,Air conditioning service,55.39,59.52,114.91
341,61,27,2022-04-13,47414,Routine service,66.74,83.04,149.78
342,61,8,2022-08-18,50690,Bodywork repair,197.83,251.52,449.35
343,61,10,2022-09-09,51258,Suspension repair,398.76,171.84,570.60
344,61,20,2022-11-03,52677,Tyre replacement,589.58,58.56,648.14
345,61,,2023-12-22,63356,Routine service,158.41,72.48,230.89
346,61,3,2024-06-16,67923,Routine service,95.82,65.76,161.58
347,61,,2024-12-18,72695,Routine service,100.07,72.00,172.07
348,62,29,2024-07-26,8873,Brake replacement,242.02,93.12,335.14
349,62,27,2024-08-08,9238,Routine service,123.46,79.20,202.66
350,63,2,2011-10-09,11925,Routine service,140.40,64.32,204.72
351,63,27,2012-07-07,24645,Routine service,76.73,65.28,142.01
352,63,15,2012-09-03,27358,Routine service,142.95,75.84,218.79
353,63,16,2012-09-25,28387,Routine service,93.90,71.52,165.42
354,63,,2015-07-16,76275,Tyre replacement,382.53,41.76,424.29
355,63,3,2016-04-15,89089,Tyre replacement,457.18,41.28,498.46
356,63,25,2017-01-27,102511,Suspension repair,368.18,160.80,528.98
357,63,,2017-07-04,109900,Routine service,141.20,79.68,220.88
358,63,,2018-05-09,124351,Routine service,161.92,72.00,233.92
359,63,,2018-06-28,126689,Tyre replacement,396.57,51.84,448.41
360,63,20,2019-12-31,152457,Routine service,138.78,77.76,216.54
361,63,,2020-02-11,154421,Oil and filter change,72.62,38.88,111.50
362,63,28,2021-01-24,170696,Oil and filter change,85.56,43.20,128.76
363,63,19,2021-03-19,173221,Routine service,130.32,89.28,219.60
364,63,,2021-04-23,174858,Routine service,104.39,75.84,180.23
365,65,29,2014-04-13,22331,Brake replacement,305.47,116.16,421.63
366,65,23,2014-08-21,27830,Oil and filter change,50.11,36.00,86.11
367,65,10,2016-01-17,49570,Routine service,175.96,76.80,252.76
368,65,,2016-07-21,57437,Routine service,159.26,82.08,241.34
369,65,,2019-01-31,96518,Battery replacement,191.07,28.80,219.87
370,65,28,2020-02-23,112928,Tyre replacement,421.93,40.80,462.73
371,65,6,2020-04-04,114662,Brake replacement,193.37,95.52,288.89
372,65,29,2020-06-16,117750,Brake replacement,199.74,100.80,300.54
373,65,,2020-07-19,119146,Air conditioning service,42.83,67.20,110.03
374,65,,2021-11-23,139955,Brake replacement,102.22,109.44,211.66
375,65,,2022-06-02,148033,Tyre replacement,295.09,49.44,344.53
376,65,,2022-06-06,148203,Routine service,69.53,68.64,138.17
377,65,29,2022-11-09,154801,Tyre replacement,619.47,47.04,666.51
378,65,2,2025-05-07,193290,Routine service,143.01,77.28,220.29
379,67,6,2025-06-23,3339,Battery replacement,171.45,26.88,198.33
380,68,18,2017-03-27,3391,Routine service,103.49,64.80,168.29
381,68,13,2017-11-03,13949,Suspension repair,246.48,154.56,401.04
382,68,3,2018-11-09,31673,Routine service,152.88,63.84,216.72
383,68,15,2020-01-01,51643,Brake replacement,203.20,115.20,318.40
384,68,,2021-04-25,74574,Brake replacement,133.07,109.92,242.99
385,68,,2021-07-03,77871,Battery replacement,174.24,29.76,204.00
386,68,14,2021-12-12,85610,Battery replacement,196.93,27.36,224.29
387,68,6,2023-11-02,118574,Oil and filter change,58.78,38.88,97.66
388,69,2,2022-12-16,6412,Battery replacement,153.21,23.52,176.73
389,69,2,2023-12-24,22046,Battery replacement,123.62,23.04,146.66
390,69,7,2025-02-10,39399,Tyre replacement,346.59,56.16,402.75
391,70,6,2021-11-13,8353,Tyre replacement,205.98,46.08,252.06
392,70,16,2023-06-27,31975,Air conditioning service,114.24,66.24,180.48
393,70,22,2023-12-20,39010,Tyre replacement,518.44,44.64,563.08
394,70,,2024-07-25,47723,Tyre replacement,254.15,54.24,308.39
395,71,13,2023-12-01,3953,Tyre replacement,408.79,52.80,461.59
396,71,25,2024-01-28,5472,Clutch repair,423.79,304.80,728.59
397,73,2,2016-04-12,7036,Brake replacement,201.72,91.68,293.40
398,73,23,2016-09-07,12350,Battery replacement,179.79,26.88,206.67
399,73,3,2016-11-01,14324,Routine service,69.20,62.88,132.08
400,73,12,2017-01-07,16730,Clutch repair,605.51,226.08,831.59
401,73,26,2020-01-26,56725,Tyre replacement,373.13,48.96,422.09
402,73,20,2020-10-21,66382,Routine service,169.96,72.96,242.92
403,73,,2020-12-18,68465,Routine service,100.54,78.24,178.78
404,73,,2021-10-16,79307,Timing belt replacement,319.68,269.76,589.44
