id,vehicle_id,inspection_date,result,defects,mileage_km,next_due,station_code
73,50,2024-11-30,favourable,,70335,2026-11-30,ITV-1958
74,52,2022-10-14,unfavourable,Suspension bush play,45263,2024-10-13,ITV-7547
75,52,2024-10-13,unfavourable,Faulty dipped beam alignment,67895,2026-10-13,ITV-2482
76,55,2024-12-25,favourable,,30034,2026-12-25,ITV-0544
77,56,2018-03-01,favourable,,34586,2020-02-29,ITV-2449
78,56,2020-02-29,unfavourable,Worn front tyre below 1.6mm,51879,2022-02-28,ITV-5084
79,56,2022-03-01,negative,Suspension bush play,69172,2024-02-29,ITV-4291
80,56,2024-02-29,unfavourable,Suspension bush play,86466,2025-02-28,ITV-1756
81,56,2025-02-28,favourable,,95112,2026-02-28,ITV-9541
82,57,2025-06-30,favourable,,76910,2027-06-30,ITV-7331
83,59,2016-02-22,unfavourable,Windscreen chip in swept area,62189,2018-02-21,ITV-6322
84,59,2018-02-21,favourable,,93284,2020-02-21,ITV-0600
85,59,2020-02-22,favourable,,124379,2022-02-21,ITV-0697
86,59,2022-02-21,favourable,,155474,2023-02-21,ITV-5624
87,59,2023-02-21,favourable,,171021,2024-02-21,ITV-4476
88,59,2024-02-22,favourable,,186569,2025-02-21,ITV-3203
89,59,2025-02-21,unfavourable,Suspension bush play,202116,2026-02-21,ITV-8118
90,60,2020-09-22,unfavourable,Suspension bush play,49937,2022-09-22,ITV-3928
91,60,2022-09-22,favourable,,74906,2024-09-21,ITV-6799
92,60,2024-09-22,favourable,,99875,2026-09-22,ITV-9925
93,61,2021-04-01,favourable,,37689,2023-04-01,ITV-4375
94,61,2023-04-01,unfavourable,Faulty dipped beam alignment,56533,2025-03-31,ITV-6926
95,61,2025-04-01,favourable,,75378,2027-04-01,ITV-2348
96,63,2015-01-27,favourable,,68325,2017-01-26,ITV-2012
97,63,2017-01-26,favourable,,102487,2019-01-26,ITV-3875
98,63,2019-01-27,favourable,,136650,2021-01-26,ITV-3289
99,63,2021-01-26,favourable,,170813,2022-01-26,ITV-3371
100,63,2022-01-26,favourable,,187894,2023-01-26,ITV-4031
101,63,2023-01-27,favourable,,204975,2024-01-27,ITV-2278
102,63,2024-01-27,unfavourable,Seat belt retractor faulty,222057,2025-01-26,ITV-6241
103,63,2025-01-26,favourable,,239138,2026-01-26,ITV-5508
104,65,2016-11-01,favourable,,61793,2018-11-01,ITV-9675
105,65,2018-11-01,favourable,,92690,2020-10-31,ITV-4329
106,65,2020-11-01,favourable,,123587,2022-11-01,ITV-9314
107,65,2022-11-01,unfavourable,Seat belt retractor faulty,154484,2023-11-01,ITV-5205
108,65,2023-11-01,unfavourable,Emissions above limit,169932,2024-10-31,ITV-8885
109,65,2024-11-01,favourable,,185380,2025-11-01,ITV-3187
110,68,2021-01-15,unfavourable,Rear shock absorber leaking,69797,2023-01-15,ITV-4670
111,68,2023-01-15,favourable,,104695,2025-01-14,ITV-1017
112,68,2025-01-15,favourable,,139594,2027-01-15,ITV-0656
113,70,2025-04-18,favourable,,58395,2027-04-18,ITV-4691
114,73,2019-09-29,negative,Rear shock absorber leaking,52452,2021-09-28,ITV-8354
115,73,2021-09-28,favourable,,78679,2023-09-28,ITV-7565
116,73,2023-09-29,favourable,,104905,2025-09-28,ITV-3595
117,74,2023-01-31,favourable,,103504,2025-01-30,ITV-7186
118,74,2025-01-30,negative,Corroded exhaust mounting,155256,2027-01-30,ITV-6698
119,75,2015-11-06,favourable,,45467,2017-11-05,ITV-7377
120,75,2017-11-05,unfavourable,Excessive steering play,68201,2019-11-05,ITV-0867
121,75,2019-11-06,favourable,,90934,2021-11-05,ITV-4937
122,75,2021-11-05,favourable,,113668,2022-11-05,ITV-3455
123,75,2022-11-05,favourable,,125035,2023-11-05,ITV-9566
124,75,2023-11-06,favourable,,136402,2024-11-05,ITV-2179
125,75,2024-11-05,favourable,,147769,2025-11-05,ITV-7118
126,76,2023-09-16,favourable,,29247,2025-09-15,ITV-1670
127,78,2020-10-23,favourable,,45619,2022-10-23,ITV-1783
128,78,2022-10-23,favourable,,68429,2024-10-22,ITV-1479
129,78,2024-10-23,favourable,,91239,2026-10-23,ITV-0545
130,79,2023-08-26,unfavourable,Suspension bush play,62408,2025-08-25,ITV-3876
131,80,2015-10-06,unfavourable,Excessive brake imbalance,66631,2017-10-05,ITV-9294
132,80,2017-10-05,favourable,,99946,2019-10-05,ITV-4759
133,80,2019-10-06,negative,Faulty dipped beam alignment,133262,2021-10-05,ITV-3467
134,80,2021-10-05,favourable,,166577,2022-10-05,ITV-1683
135,80,2022-10-05,unfavourable,Excessive steering play,183235,2023-10-05,ITV-0213
136,80,2023-10-06,favourable,,199893,2024-10-05,ITV-2331
137,80,2024-10-05,favourable,,216550,2025-10-05,ITV-4525
138,81,2022-02-04,favourable,,36475,2024-02-04,ITV-1577
139,81,2024-02-04,favourable,,54713,2026-02-03,ITV-2559
140,86,2020-06-28,favourable,,17171,2022-06-28,ITV-7388
141,86,2022-06-28,favourable,,25756,2024-06-27,ITV-8148
142,86,2024-06-28,favourable,,34342,2026-06-28,ITV-7959
143,88,2020-01-30,favourable,,54237,2022-01-29,ITV-8532
144,88,2022-01-29,favourable,,81355,2024-01-29,ITV-0787
145,88,2024-01-30,favourable,,108474,2026-01-29,ITV-0984
146,89,2018-06-23,favourable,,98947,2020-06-22,ITV-0756
147,89,2020-06-22,unfavourable,Excessive brake imbalance,148421,2022-06-22,ITV-1645
148,89,2022-06-23,favourable,,197895,2024-06-22,ITV-7433
149,89,2024-06-22,favourable,,247369,2025-06-22,ITV-4175
150,89,2025-06-22,favourable,,272106,2026-06-22,ITV-2491
151,90,2016-05-08,favourable,,70620,2018-05-08,ITV-9640
152,90,2018-05-08,favourable,,105930,2020-05-07,ITV-7511
153,90,2020-05-08,favourable,,141240,2022-05-08,ITV-9512
154,90,2022-05-08,favourable,,176550,2023-05-08,ITV-3392
155,90,2023-05-08,favourable,,194206,2024-05-07,ITV-7715
156,90,2024-05-08,favourable,,211861,2025-05-08,ITV-4512
157,90,2025-05-08,favourable,,229516,2026-05-08,ITV-6183
158,91,2021-07-22,favourable,,75465,2023-07-22,ITV-2697
159,91,2023-07-22,favourable,,113198,2025-07-21,ITV-7814
160,93,2017-09-10,favourable,,14230,2019-09-10,ITV-5710
161,93,2019-09-10,favourable,,21345,2021-09-09,ITV-4918
162,93,2021-09-10,favourable,,28460,2023-09-10,ITV-8866
163,93,2023-09-10,favourable,,35575,2024-09-09,ITV-4041
164,93,2024-09-09,favourable,,39132,2025-09-09,ITV-4478
165,94,2023-08-02,unfavourable,Excessive steering play,19457,2025-08-01,ITV-8188
166,95,2021-08-29,negative,Emissions above limit,53845,2023-08-29,ITV-6507
167,95,2023-08-29,favourable,,80767,2025-08-28,ITV-9651
168,98,2019-07-31,favourable,,42997,2021-07-30,ITV-5737
169,98,2021-07-30,favourable,,64496,2023-07-30,ITV-9284
170,98,2023-07-31,favourable,,85995,2025-07-30,ITV-3631
171,99,2018-01-27,negative,Windscreen chip in swept area,66986,2020-01-27,ITV-6681
172,99,2020-01-27,favourable,,100479,2022-01-26,ITV-0947
173,99,2022-01-27,favourable,,133972,2024-01-27,ITV-4288
174,99,2024-01-27,favourable,,167466,2025-01-26,ITV-9897
175,99,2025-01-26,favourable,,184212,2026-01-26,ITV-2210
176,100,2024-03-21,favourable,,75329,2026-03-21,ITV-0014
177,102,2023-08-03,favourable,,70137,2025-08-02,ITV-6011
178,104,2014-05-05,favourable,,27364,2016-05-04,ITV-3685
179,104,2016-05-04,unfavourable,Number plate light inoperative,41046,2018-05-04,ITV-2690
180,104,2018-05-05,negative,Corroded exhaust mounting,54728,2020-05-04,ITV-7055
181,104,2020-05-04,favourable,,68410,2021-05-04,ITV-2593
182,104,2021-05-04,negative,Faulty dipped beam alignment,75251,2022-05-04,ITV-2008
183,104,2022-05-05,favourable,,82092,2023-05-05,ITV-0249
184,104,2023-05-05,favourable,,88933,2024-05-04,ITV-2202
185,104,2024-05-04,favourable,,95774,2025-05-04,ITV-9570
186,104,2025-05-04,favourable,,102615,2026-05-04,ITV-5916
187,106,2022-09-04,unfavourable,Suspension bush play,62183,2024-09-03,ITV-9188
188,106,2024-09-03,favourable,,93275,2026-09-03,ITV-7619
189,109,2020-09-11,unfavourable,Windscreen chip in swept area,33785,2022-09-11,ITV-2001
190,109,2022-09-11,favourable,,50678,2024-09-10,ITV-2145
191,109,2024-09-11,favourable,,67571,2026-09-11,ITV-6655
192,110,2016-12-12,unfavourable,Rear shock absorber leaking,47478,2018-12-12,ITV-8922
193,110,2018-12-12,favourable,,71218,2020-12-11,ITV-3663
194,110,2020-12-12,negative,Excessive steering play,94957,2022-12-12,ITV-5106
195,110,2022-12-12,favourable,,118697,2023-12-12,ITV-1203
196,110,2023-12-12,favourable,,130566,2024-12-11,ITV-0878
197,110,2024-12-12,favourable,,142436,2025-12-12,ITV-4632
198,111,2016-02-06,favourable,,37595,2018-02-05,ITV-9121
199,111,2018-02-05,unfavourable,Emissions above limit,56392,2020-02-05,ITV-7440
200,111,2020-02-06,favourable,,75190,2022-02-05,ITV-1327
201,111,2022-02-05,favourable,,93987,2023-02-05,ITV-8711
202,111,2023-02-05,favourable,,103386,2024-02-05,ITV-7789
203,111,2024-02-06,favourable,,112785,2025-02-05,ITV-1423
204,111,2025-02-05,favourable,,122184,2026-02-05,ITV-5438
205,113,2025-02-28,favourable,,78953,2027-02-28,ITV-1706
206,117,2022-12-22,favourable,,47177,2024-12-21,ITV-5974
207,117,2024-12-21,favourable,,70765,2026-12-21,ITV-9978
208,120,2025-01-29,favourable,,54403,2027-01-29,ITV-3786
209,122,2021-11-05,favourable,,38396,2023-11-05,ITV-8897
210,122,2023-11-05,favourable,,57594,2025-11-04,ITV-6748
211,124,2022-06-10,favourable,,56926,2024-06-09,ITV-1138
212,124,2024-06-09,negative,Handbrake efficiency below threshold,85389,2026-06-09,ITV-7787
213,125,2016-09-20,favourable,,56506,2018-09-20,ITV-7399
214,125,2018-09-20,favourable,,84759,2020-09-19,ITV-5712
215,125,2020-09-20,negative,Emissions above limit,113013,2022-09-20,ITV-7663
216,125,2022-09-20,favourable,,141266,2023-09-20,ITV-8482
217,125,2023-09-20,favourable,,155392,2024-09-19,ITV-6933
218,125,2024-09-20,unfavourable,Emissions above limit,169519,2025-09-20,ITV-2750
219,130,2024-03-11,favourable,,72412,2026-03-11,ITV-5856
220,131,2024-06-13,favourable,,57708,2026-06-13,ITV-3968
221,132,2015-05-07,unfavourable,Seat belt retractor faulty,90286,2017-05-06,ITV-7289
222,132,2017-05-06,favourable,,135429,2019-05-06,ITV-2776
223,132,2019-05-07,favourable,,180573,2021-05-06,ITV-3042
224,132,2021-05-06,favourable,,225716,2022-05-06,ITV-9814
225,132,2022-05-06,negative,Rear shock absorber leaking,248288,2023-05-06,ITV-0433
226,132,2023-05-07,favourable,,270859,2024-05-06,ITV-8446
227,132,2024-05-06,favourable,,293431,2025-05-06,ITV-7298
228,132,2025-05-06,favourable,,316003,2026-05-06,ITV-2826
229,133,2025-04-22,favourable,,89562,2027-04-22,ITV-3812
230,134,2022-04-07,unfavourable,Excessive steering play,54553,2024-04-06,ITV-1120
231,134,2024-04-06,unfavourable,Number plate light inoperative,81830,2026-04-06,ITV-3191
232,135,2020-08-10,favourable,,59325,2022-08-10,ITV-0541
233,135,2022-08-10,negative,Number plate light inoperative,88987,2024-08-09,ITV-9108
234,135,2024-08-10,favourable,,118650,2026-08-10,ITV-0404
235,137,2024-01-04,favourable,,70239,2026-01-03,ITV-7325
236,138,2022-01-06,favourable,,9750,2024-01-06,ITV-8967
237,138,2024-01-06,favourable,,14625,2026-01-05,ITV-4293
238,139,2017-09-26,favourable,,35768,2019-09-26,ITV-4988
239,139,2019-09-26,unfavourable,Handbrake efficiency below threshold,53652,2021-09-25,ITV-6008
240,139,2021-09-26,favourable,,71536,2023-09-26,ITV-0255
241,139,2023-09-26,favourable,,89421,2024-09-25,ITV-4653
242,139,2024-09-25,favourable,,98363,2025-09-25,ITV-8922
243,140,2025-06-03,favourable,,75185,2027-06-03,ITV-7833
244,141,2018-01-05,favourable,,44985,2020-01-05,ITV-9899
245,141,2020-01-05,favourable,,67478,2022-01-04,ITV-0423
246,141,2022-01-05,favourable,,89971,2024-01-05,ITV-1238
247,141,2024-01-05,unfavourable,Handbrake efficiency below threshold,112464,2025-01-04,ITV-2843
248,141,2025-01-04,favourable,,123711,2026-01-04,ITV-0020
249,143,2024-12-12,favourable,,68531,2026-12-12,ITV-1479
250,144,2022-09-01,favourable,,38411,2024-08-31,ITV-8589
251,144,2024-08-31,unfavourable,Seat belt retractor faulty,57617,2026-08-31,ITV-1492
252,146,2024-11-29,favourable,,58947,2026-11-29,ITV-1909
253,148,2016-05-10,favourable,,66508,2018-05-10,ITV-0904
254,148,2018-05-10,favourable,,99762,2020-05-09,ITV-3615
255,148,2020-05-10,unfavourable,Windscreen chip in swept area,133017,2022-05-10,ITV-5332
256,148,2022-05-10,unfavourable,Number plate light inoperative,166271,2023-05-10,ITV-0414
257,148,2023-05-10,favourable,,182898,2024-05-09,ITV-9214
258,148,2024-05-10,favourable,,199525,2025-05-10,ITV-4605
259,148,2025-05-10,favourable,,216152,2026-05-10,ITV-0735
260,149,2024-05-19,favourable,,71205,2026-05-19,ITV-6588
261,150,2025-02-19,favourable,,60309,2027-02-19,ITV-9968
262,151,2024-08-15,negative,Faulty dipped beam alignment,15456,2026-08-15,ITV-6652
263,152,2022-01-26,unfavourable,Worn front tyre below 1.6mm,76540,2024-01-26,ITV-2187
264,152,2024-01-26,favourable,,114811,2026-01-25,ITV-5974
265,153,2015-06-17,favourable,,79564,2017-06-16,ITV-5120
266,153,2017-06-16,favourable,,119346,2019-06-16,ITV-1310
267,153,2019-06-17,favourable,,159128,2021-06-16,ITV-8148
268,153,2021-06-16,favourable,,198910,2022-06-16,ITV-3661
269,153,2022-06-16,favourable,,218801,2023-06-16,ITV-5830
270,153,2023-06-17,favourable,,238692,2024-06-16,ITV-7887
271,153,2024-06-16,negative,Corroded exhaust mounting,258583,2025-06-16,ITV-7254
272,153,2025-06-16,favourable,,278474,2026-06-16,ITV-3903
273,160,2019-06-22,unfavourable,Faulty dipped beam alignment,33092,2021-06-21,ITV-6300
274,160,2021-06-21,favourable,,49638,2023-06-21,ITV-9495
275,160,2023-06-22,favourable,,66184,2025-06-21,ITV-1787
276,160,2025-06-21,favourable,,82730,2026-06-21,ITV-5056
277,161,2024-08-20,favourable,,56678,2026-08-20,ITV-5287
278,162,2015-06-07,favourable,,62403,2017-06-06,ITV-6039
279,162,2017-06-06,unfavourable,Corroded exhaust mounting,93605,2019-06-06,ITV-0284
280,162,2019-06-07,favourable,,124807,2021-06-06,ITV-8913
281,162,2021-06-06,unfavourable,Emissions above limit,156009,2022-06-06,ITV-7530
282,162,2022-06-06,favourable,,171610,2023-06-06,ITV-5366
283,162,2023-06-07,favourable,,187211,2024-06-06,ITV-2344
284,162,2024-06-06,unfavourable,Corroded exhaust mounting,202812,2025-06-06,ITV-9045
285,162,2025-06-06,favourable,,218413,2026-06-06,ITV-4231
286,165,2019-11-19,favourable,,65780,2021-11-18,ITV-7588
287,165,2021-11-18,favourable,,98671,2023-11-18,ITV-1015
288,165,2023-11-19,favourable,,131561,2025-11-18,ITV-9332
289,166,2024-06-25,unfavourable,Excessive brake imbalance,47022,2026-06-25,ITV-2755
290,167,2025-06-25,favourable,,50608,2027-06-25,ITV-1749
291,168,2020-12-28,favourable,,37946,2022-12-28,ITV-4562
292,168,2022-12-28,favourable,,56920,2024-12-27,ITV-6842
293,168,2024-12-28,favourable,,75893,2026-12-28,ITV-1250
294,170,2017-11-09,favourable,,41619,2019-11-09,ITV-2341
295,170,2019-11-09,favourable,,62428,2021-11-08,ITV-1903
296,170,2021-11-09,negative,Handbrake efficiency below threshold,83238,2023-11-09,ITV-5727
297,170,2023-11-09,favourable,,104047,2024-11-08,ITV-3388
298,170,2024-11-08,favourable,,114452,2025-11-08,ITV-2705
299,174,2018-02-14,favourable,,51510,2020-02-14,ITV-7115
300,174,2020-02-14,favourable,,77266,2022-02-13,ITV-6289
301,174,2022-02-14,favourable,,103021,2024-02-14,ITV-2314
302,174,2024-02-14,favourable,,128777,2025-02-13,ITV-5488
303,174,2025-02-13,favourable,,141655,2026-02-13,ITV-8189
304,175,2021-07-27,favourable,,38931,2023-07-27,ITV-7432
305,175,2023-07-27,favourable,,58397,2025-07-26,ITV-3680
306,176,2015-04-15,favourable,,21051,2017-04-14,ITV-0480
307,176,2017-04-14,favourable,,31577,2019-04-14,ITV-0907
308,176,2019-04-15,favourable,,42102,2021-04-14,ITV-9620
309,176,2021-04-14,favourable,,52628,2022-04-14,ITV-1461
310,176,2022-04-14,negative,Emissions above limit,57891,2023-04-14,ITV-9708
311,176,2023-04-15,negative,Rear shock absorber leaking,63154,2024-04-14,ITV-0397
312,176,2024-04-14,favourable,,68416,2025-04-14,ITV-7139
313,176,2025-04-14,favourable,,73679,2026-04-14,ITV-5751
314,177,2025-03-11,unfavourable,Excessive steering play,7999,2027-03-11,ITV-9283
315,179,2023-03-29,unfavourable,Corroded exhaust mounting,17967,2025-03-28,ITV-4650
316,179,2025-03-28,favourable,,26951,2027-03-28,ITV-6547
317,181,2025-05-06,favourable,,26726,2027-05-06,ITV-7666
318,182,2023-12-23,favourable,,42545,2025-12-22,ITV-4187
319,184,2014-08-06,favourable,,14487,2016-08-05,ITV-8157
320,184,2016-08-05,favourable,,21731,2018-08-05,ITV-9676
321,184,2018-08-06,unfavourable,Rear shock absorber leaking,28975,2020-08-05,ITV-5889
322,184,2020-08-05,unfavourable,Excessive brake imbalance,36219,2021-08-05,ITV-9945
323,184,2021-08-05,favourable,,39841,2022-08-05,ITV-1096
324,184,2022-08-06,unfavourable,Windscreen chip in swept area,43463,2023-08-06,ITV-3131
325,184,2023-08-06,favourable,,47085,2024-08-05,ITV-9788
326,184,2024-08-05,favourable,,50707,2025-08-05,ITV-6321
327,186,2024-12-23,favourable,,54572,2026-12-23,ITV-7498
328,188,2024-06-04,favourable,,36966,2026-06-04,ITV-6164
329,189,2024-10-06,favourable,,57691,2026-10-06,ITV-9949
330,193,2017-08-20,favourable,,69156,2019-08-20,ITV-9691
331,193,2019-08-20,unfavourable,Excessive steering play,103734,2021-08-19,ITV-5951
332,193,2021-08-20,favourable,,138312,2023-08-20,ITV-4171
333,193,2023-08-20,favourable,,172890,2024-08-19,ITV-6526
334,193,2024-08-19,unfavourable,Excessive steering play,190179,2025-08-19,ITV-5990
335,195,2021-03-07,favourable,,70041,2023-03-07,ITV-3171
336,195,2023-03-07,favourable,,105062,2025-03-06,ITV-5256
337,195,2025-03-07,favourable,,140082,2027-03-07,ITV-0860
338,196,2019-07-17,favourable,,31991,2021-07-16,ITV-5369
339,196,2021-07-16,favourable,,47987,2023-07-16,ITV-1335
340,196,2023-07-17,favourable,,63983,2025-07-16,ITV-9226
341,199,2020-12-04,favourable,,61513,2022-12-04,ITV-4355
342,199,2022-12-04,favourable,,92270,2024-12-03,ITV-8614
343,199,2024-12-04,favourable,,123027,2026-12-04,ITV-3259
344,201,2018-05-15,negative,Excessive steering play,43409,2020-05-14,ITV-1430
345,201,2020-05-14,favourable,,65114,2022-05-14,ITV-0231
346,201,2022-05-15,unfavourable,Worn front tyre below 1.6mm,86819,2024-05-14,ITV-2310
347,201,2024-05-14,favourable,,108524,2025-05-14,ITV-8522
348,201,2025-05-14,negative,Suspension bush play,119376,2026-05-14,ITV-4697
349,202,2014-05-27,favourable,,43300,2016-05-26,ITV-1962
350,202,2016-05-26,unfavourable,Excessive steering play,64950,2018-05-26,ITV-2757
351,202,2018-05-27,favourable,,86601,2020-05-26,ITV-1131
352,202,2020-05-26,unfavourable,Excessive brake imbalance,108251,2021-05-26,ITV-0353
353,202,2021-05-26,favourable,,119076,2022-05-26,ITV-7290
354,202,2022-05-27,favourable,,129901,2023-05-27,ITV-1960
355,202,2023-05-27,favourable,,140726,2024-05-26,ITV-6357
356,202,2024-05-26,favourable,,151551,2025-05-26,ITV-4407
357,202,2025-05-26,favourable,,162376,2026-05-26,ITV-7933
358,204,2024-08-14,unfavourable,Excessive steering play,54320,2026-08-14,ITV-0745
359,207,2016-02-25,unfavourable,Handbrake efficiency below threshold,59532,2018-02-24,ITV-6062
360,207,2018-02-24,favourable,,89298,2020-02-24,ITV-2442
361,207,2020-02-25,unfavourable,Seat belt retractor faulty,119064,2022-02-24,ITV-8084
362,207,2022-02-24,favourable,,148830,2023-02-24,ITV-4705
363,207,2023-02-24,favourable,,163713,2024-02-24,ITV-7478
364,207,2024-02-25,favourable,,178596,2025-02-24,ITV-9653
365,207,2025-02-24,favourable,,193479,2026-02-24,ITV-3908
366,208,2020-06-28,negative,Handbrake efficiency below threshold,42805,2022-06-28,ITV-2185
367,208,2022-06-28,favourable,,64207,2024-06-27,ITV-4016
368,208,2024-06-28,favourable,,85610,2026-06-28,ITV-0348
369,210,2020-12-21,favourable,,69261,2022-12-21,ITV-6631
370,210,2022-12-21,favourable,,103891,2024-12-20,ITV-3042
371,210,2024-12-21,favourable,,138522,2026-12-21,ITV-9912
372,211,2018-08-01,favourable,,51892,2020-07-31,ITV-2970
373,211,2020-07-31,favourable,,77839,2022-07-31,ITV-7425
374,211,2022-08-01,unfavourable,Excessive brake imbalance,103785,2024-07-31,ITV-3385
375,211,2024-07-31,favourable,,129732,2025-07-31,ITV-7635
376,214,2018-06-01,unfavourable,Corroded exhaust mounting,50004,2020-05-31,ITV-8373
377,214,2020-05-31,favourable,,75007,2022-05-31,ITV-1043
378,214,2022-06-01,favourable,,100009,2024-05-31,ITV-6947
379,214,2024-05-31,unfavourable,Seat belt retractor faulty,125011,2025-05-31,ITV-5882
380,214,2025-05-31,favourable,,137512,2026-05-31,ITV-2427
381,216,2024-05-24,favourable,,68321,2026-05-24,ITV-0453
382,219,2024-05-19,unfavourable,Excessive brake imbalance,31450,2026-05-19,ITV-3596
383,220,2016-03-17,favourable,,46001,2018-03-17,ITV-1394
384,220,2018-03-17,favourable,,69002,2020-03-16,ITV-7150
385,220,2020-03-17,favourable,,92003,2022-03-17,ITV-7304
386,220,2022-03-17,favourable,,115004,2023-03-17,ITV-4443
387,220,2023-03-17,favourable,,126504,2024-03-16,ITV-7614
388,220,2024-03-17,favourable,,138005,2025-03-17,ITV-0267
389,220,2025-03-17,favourable,,149505,2026-03-17,ITV-1821
390,222,2017-06-11,favourable,,74876,2019-06-11,ITV-7763
