id,vehicle_id,owner_id,owned_from,owned_until,purchase_price
111,59,89,2012-02-22,2012-10-10,59160.00
112,59,479,2012-10-10,2018-08-31,
113,59,657,2018-08-31,2019-04-23,13640.61
114,59,532,2019-04-23,,12005.56
115,60,967,2016-09-22,,36772.00
116,61,703,2017-04-01,2019-05-06,26448.00
117,61,643,2019-05-06,,
118,62,563,2023-09-14,2023-11-13,33988.00
119,62,838,2023-11-13,,31765.81
120,63,380,2011-01-27,2021-07-07,19024.00
121,63,595,2021-07-07,,1977.14
122,64,238,2025-02-18,,33988.00
123,65,547,2012-11-01,2018-01-03,19024.00
124,65,958,2018-01-03,2020-11-01,5740.64
125,65,733,2020-11-01,,3274.98
126,66,510,2025-06-28,2025-06-29,
127,66,47,2025-06-29,,55121.73
128,67,348,2025-02-07,,34104.00
129,68,118,2017-01-15,,54636.00
130,69,670,2022-07-16,2025-06-29,92220.00
131,69,191,2025-06-29,,
132,70,134,2021-04-18,2024-03-03,36888.00
133,70,25,2024-03-03,,17740.78
134,71,131,2023-07-03,2023-09-11,22852.00
135,71,350,2023-09-11,,21175.64
136,72,59,2025-03-21,,17400.00
137,73,688,2015-09-29,,29116.00
138,74,120,2019-01-31,2021-12-10,
139,74,155,2021-12-10,,10646.03
140,75,144,2011-11-06,2016-12-07,
141,75,375,2016-12-07,2017-06-04,5043.76
142,75,888,2017-06-04,2017-11-22,4576.33
143,75,18,2017-11-22,,4170.30
144,76,442,2019-09-16,2023-01-18,18792.00
145,76,398,2023-01-18,,8961.39
146,77,975,2025-06-28,,
147,78,235,2016-10-23,,14036.00
148,79,526,2019-08-26,2022-11-21,20300.00
149,79,771,2022-11-21,,8972.95
150,80,500,2011-10-06,2012-09-04,
151,80,292,2012-09-04,2021-07-10,16939.79
152,80,552,2021-07-10,2023-06-01,2927.54
153,80,754,2023-06-01,,
154,81,944,2018-02-04,2021-05-23,18792.00
155,81,496,2021-05-23,,8859.28
156,82,505,2024-01-09,,26448.00
157,83,420,2025-06-18,2025-06-28,20300.00
158,83,502,2025-06-28,,20003.52
159,84,974,2025-04-11,2025-04-15,92220.00
160,84,983,2025-04-15,,91737.74
161,85,992,2023-06-26,2024-07-23,59972.00
162,85,862,2024-07-23,,
163,86,794,2016-06-28,2017-09-08,24476.00
164,86,243,2017-09-08,2023-12-16,18456.34
165,86,153,2023-12-16,,5318.46
166,87,806,2022-11-20,2023-11-09,17400.00
167,87,746,2023-11-09,,11775.41
168,88,522,2016-01-30,2022-05-29,36888.00
169,88,235,2022-05-29,2023-08-15,9053.32
170,88,898,2023-08-15,,7116.64
171,89,215,2014-06-23,2019-08-21,38860.00
172,89,540,2019-08-21,,10427.53
173,90,326,2012-05-08,2019-11-30,25520.00
174,90,542,2019-11-30,2020-08-18,4663.98
175,90,524,2020-08-18,,4045.14
176,91,712,2017-07-22,2018-12-06,36772.00
177,91,833,2018-12-06,2018-12-24,22597.77
178,91,199,2018-12-24,,22377.99
179,92,690,2023-09-05,,25636.00
180,93,63,2013-09-10,2017-01-13,38860.00
181,93,247,2017-01-13,2022-09-04,19289.05
182,93,610,2022-09-04,,6298.30
183,94,877,2019-08-02,2022-04-11,29000.00
184,94,216,2022-04-11,2024-07-11,16154.98
185,94,397,2024-07-11,,
186,95,445,2017-08-29,2019-08-26,28652.00
187,95,64,2019-08-26,,16647.59
188,96,4,2024-06-16,2025-01-31,22852.00
189,96,540,2025-01-31,,15550.85
190,97,287,2021-07-20,2022-06-20,27840.00
191,97,789,2022-06-20,,21095.00
192,98,363,2015-07-31,,15660.00
193,99,727,2014-01-27,2018-01-21,21112.00
194,99,611,2018-01-21,2020-03-26,7937.84
195,99,496,2020-03-26,,5153.60
196,100,959,2020-03-21,2022-03-09,36888.00
197,100,893,2022-03-09,,20167.53
198,101,170,2022-07-15,2023-04-02,25636.00
199,101,23,2023-04-02,,19628.44
200,102,722,2019-08-03,2023-06-18,31204.00
201,102,697,2023-06-18,,11873.64
202,103,618,2024-02-18,,22968.00
203,104,611,2010-05-05,,22272.00
204,105,793,2022-05-28,2023-09-22,24708.00
205,105,541,2023-09-22,,16540.02
206,106,277,2018-09-04,,26216.00
207,107,904,2023-12-07,,27840.00
208,108,327,2023-07-09,2024-12-16,
209,108,275,2024-12-16,,10267.67
210,109,640,2016-09-11,,
211,110,598,2012-12-12,,19024.00
212,111,532,2012-02-06,2013-07-30,
213,111,259,2013-07-30,2022-11-13,18220.05
214,111,218,2022-11-13,,2883.50
215,112,488,2024-07-04,2025-02-13,55216.00
216,112,667,2025-02-13,,41591.02
217,113,439,2021-02-28,2021-05-08,59160.00
218,113,806,2021-05-08,,52642.26
219,114,265,2024-10-08,,25636.00
220,115,823,2022-03-15,2024-12-12,17400.00
221,115,504,2024-12-12,,8737.88
222,116,27,2023-12-24,,34916.00
223,117,218,2018-12-22,,26796.00
224,118,734,2023-11-29,2024-07-04,23664.00
225,118,73,2024-07-04,,16699.05
226,119,202,2024-07-11,,56840.00
227,120,145,2021-01-29,2024-11-03,59160.00
228,120,541,2024-11-03,,24145.42
229,121,153,2022-07-06,,24708.00
230,122,787,2017-11-05,2019-06-20,
231,122,943,2019-06-20,2024-10-06,15017.70
232,122,284,2024-10-06,,5248.21
233,123,155,2025-06-27,,56840.00
234,124,13,2018-06-10,,28652.00
235,125,376,2012-09-20,2020-01-17,19024.00
236,125,29,2020-01-17,2024-09-28,3805.41
237,125,901,2024-09-28,,
238,126,146,2022-03-25,,29580.00
239,127,528,2023-06-22,,22272.00
240,128,210,2023-07-01,,17052.00
241,129,174,2021-09-03,2024-07-08,27840.00
242,129,393,2024-07-08,,13415.13
243,130,644,2020-03-11,,27840.00
244,131,840,2020-06-13,,25636.00
245,132,645,2011-05-07,2012-04-15,68556.00
246,132,441,2012-04-15,2016-04-15,43754.11
247,132,495,2016-04-15,2018-06-09,19782.06
248,132,760,2018-06-09,2018-12-03,12913.36
249,132,67,2018-12-03,,
250,133,442,2021-04-22,2024-02-24,53244.00
251,133,949,2024-02-24,,23362.85
252,134,563,2018-04-07,2023-04-22,32364.00
253,134,280,2023-04-22,2024-02-09,10244.27
254,134,940,2024-02-09,,8736.60
255,135,810,2016-08-10,2022-05-12,34104.00
256,135,346,2022-05-12,,9240.13
257,136,186,2024-02-27,,34916.00
258,137,777,2020-01-04,2022-11-04,21112.00
259,137,625,2022-11-04,,9872.60
260,138,888,2018-01-06,2019-01-23,51620.00
261,138,913,2019-01-23,2020-06-27,40900.44
262,138,853,2020-06-27,,30816.93
263,139,474,2013-09-26,,18792.00
264,140,506,2021-06-03,,30276.00
265,141,110,2014-01-05,2019-05-22,
266,141,442,2019-05-22,,20885.11
267,142,805,2022-08-29,,24708.00
268,143,692,2020-12-12,2021-08-31,
269,143,923,2021-08-31,,48553.97
270,144,561,2018-09-01,2020-11-17,
271,144,263,2020-11-17,,16186.84
272,145,349,2022-01-10,2022-07-25,55216.00
273,145,120,2022-07-25,,42861.80
274,146,123,2020-11-29,2022-12-18,15196.00
275,146,905,2022-12-18,2024-12-28,8592.52
276,146,73,2024-12-28,,5744.73
277,147,123,2024-07-02,2025-06-04,94888.00
278,147,599,2025-06-04,,67720.52
279,148,891,2012-05-10,2012-09-10,
280,148,520,2012-09-10,2014-07-06,15566.16
281,148,570,2014-07-06,,10172.08
282,149,119,2020-05-19,2024-07-17,
283,149,324,2024-07-17,,20402.84
284,150,324,2021-02-19,,
285,151,678,2020-08-15,2023-03-25,29000.00
286,151,812,2023-03-25,,
287,152,7,2018-01-26,2021-03-20,
288,152,477,2021-03-20,,17845.38
289,153,575,2011-06-17,2021-07-10,
290,153,127,2021-07-10,2022-02-26,2922.41
291,153,183,2022-02-26,2022-07-06,2577.70
292,153,893,2022-07-06,2022-10-04,2401.92
293,153,687,2022-10-04,,2287.29
294,154,830,2024-08-02,2025-02-24,92220.00
295,154,47,2025-02-24,,70121.28
296,155,909,2021-08-30,,32364.00
297,156,302,2025-03-30,,22272.00
298,157,372,2025-05-09,2025-05-10,53244.00
299,157,869,2025-05-10,,
300,158,816,2022-01-20,2025-02-26,55216.00
301,158,573,2025-02-26,,26546.17
302,159,521,2024-01-16,2024-10-19,26448.00
303,159,903,2024-10-19,,18666.87
304,160,549,2015-06-22,,
305,161,818,2020-08-20,,57188.00
306,162,466,2011-06-07,2011-08-22,68556.00
307,162,128,2011-08-22,2014-08-17,61419.43
308,162,562,2014-08-17,2016-09-16,30567.92
309,162,799,2016-09-16,2023-06-20,20216.09
310,162,297,2023-06-20,,5288.54
311,163,372,2024-09-28,,33988.00
312,164,707,2025-06-26,,26216.00
313,165,879,2015-11-19,2016-05-15,28652.00
314,165,240,2016-05-15,2017-08-15,21751.25
315,165,16,2017-08-15,2019-06-09,16882.26
316,165,333,2019-06-09,,
317,166,956,2020-06-25,,36888.00
318,167,860,2021-06-25,,66700.00
319,168,363,2016-12-28,2018-07-17,34916.00
320,168,334,2018-07-17,2024-04-18,23184.30
321,168,208,2024-04-18,,7399.35
322,169,209,2025-05-05,2025-06-17,56840.00
323,169,674,2025-06-17,,52653.34
324,170,342,2013-11-09,,23664.00
325,171,90,2025-02-17,2025-02-21,21112.00
326,171,917,2025-02-21,,20947.36
327,172,266,2021-09-19,,22272.00
328,173,811,2024-05-27,2025-04-28,
329,173,759,2025-04-28,,
330,174,377,2014-02-14,,22968.00
331,175,728,2017-07-27,2018-04-02,34104.00
332,175,208,2018-04-02,,26826.43
333,176,746,2011-04-15,2017-10-02,30856.00
334,176,217,2017-10-02,2022-02-05,8090.73
335,176,596,2022-02-05,2024-07-04,3415.95
336,176,990,2024-07-04,2025-03-23,2117.69
337,176,818,2025-03-23,,1836.70
338,177,26,2021-03-11,,41528.00
339,178,107,2023-05-30,2023-08-07,27840.00
340,178,507,2023-08-07,,25557.50
341,179,516,2019-03-29,2021-09-24,
342,179,653,2021-09-24,,34899.38
343,180,340,2024-12-11,2025-03-03,25520.00
344,180,944,2025-03-03,,23879.78
345,181,658,2021-05-06,,34916.00
346,182,766,2019-12-23,,53360.00
347,183,915,2022-07-02,,51620.00
348,184,272,2010-08-06,2018-12-09,19024.00
349,184,420,2018-12-09,2021-05-03,
350,184,592,2021-05-03,,2173.88
351,185,848,2025-05-10,2025-06-30,20648.00
352,185,485,2025-06-30,,19958.53
353,186,669,2020-12-23,2021-05-13,34104.00
354,186,278,2021-05-13,2024-07-08,28189.71
355,186,114,2024-07-08,,14538.11
356,187,280,2025-05-10,2025-06-08,94888.00
357,187,617,2025-06-08,,91923.50
358,188,91,2020-06-04,2022-02-07,53244.00
359,188,267,2022-02-07,,34558.15
360,189,206,2020-10-06,,59972.00
361,190,865,2024-07-10,,25172.00
362,191,151,2021-10-04,2025-05-20,29580.00
363,191,737,2025-05-20,,11807.31
364,192,392,2024-01-09,2024-09-18,17052.00
365,192,900,2024-09-18,,
366,193,955,2013-08-20,2020-01-03,56956.00
367,193,673,2020-01-03,2022-11-08,13244.55
368,193,788,2022-11-08,,
369,194,982,2025-06-27,,
370,195,414,2017-03-07,2018-06-18,59972.00
371,195,397,2018-06-18,,38186.63
372,196,382,2015-07-17,2018-10-04,
373,196,279,2018-10-04,2019-08-20,11870.23
374,196,706,2019-08-20,2025-05-29,9975.86
375,196,441,2025-05-29,,3171.76
376,197,692,2022-01-15,,29580.00
377,198,885,2022-07-07,,
378,199,532,2016-12-04,2023-11-27,30856.00
379,199,794,2023-11-27,,6510.73
380,200,152,2023-08-21,,22968.00
381,201,321,2014-05-15,2021-08-19,24476.00
382,201,37,2021-08-19,,5148.57
383,202,379,2010-05-27,,55216.00
384,203,615,2025-06-05,2025-06-18,22272.00
385,203,672,2025-06-18,,
386,204,314,2020-08-14,2021-05-30,26796.00
387,204,206,2021-05-30,2024-05-05,19724.52
388,204,52,2024-05-05,,11022.69
389,205,376,2022-02-18,2022-07-30,
390,205,743,2022-07-30,,
391,206,18,2021-10-04,,20648.00
392,207,651,2012-02-25,,68556.00
393,208,488,2016-06-28,2020-01-04,21112.00
394,208,588,2020-01-04,,9354.69
395,209,507,2022-08-04,,66700.00
396,210,541,2016-12-21,,15196.00
397,211,674,2014-08-01,,24476.00
398,212,353,2025-06-17,,25172.00
399,213,33,2024-01-04,2024-12-24,92220.00
400,213,929,2024-12-24,,72587.84
401,214,117,2014-06-01,,55216.00
402,215,527,2022-01-22,,21112.00
403,216,240,2020-05-24,2022-12-28,
404,216,549,2022-12-28,2024-07-23,6808.02
405,216,131,2024-07-23,,4986.70
406,217,421,2022-03-23,2023-08-31,66700.00
407,217,557,2023-08-31,,44624.15
408,218,63,2022-10-08,,58928.00
409,219,513,2020-05-19,,
410,220,48,2012-03-17,2015-11-19,36888.00
411,220,528,2015-11-19,,15701.30
412,221,332,2025-03-11,,20648.00
413,222,33,2013-06-11,2015-01-24,15660.00
414,222,538,2015-01-24,,9181.47
415,223,208,2016-10-12,,24476.00
416,224,226,2022-02-15,,57188.00
417,225,732,2014-11-27,,
418,226,819,2019-11-22,2022-11-27,29580.00
419,226,690,2022-11-27,2024-12-12,
420,226,540,2024-12-12,,8581.06
421,227,593,2013-03-02,2015-02-10,15660.00
422,227,164,2015-02-10,2020-06-10,8979.80
423,227,143,2020-06-10,2024-02-15,3117.75
424,227,160,2024-02-15,,1501.30
425,228,804,2024-02-09,2024-03-12,12760.00
426,228,612,2024-03-12,,12303.55
427,229,847,2025-05-31,,
428,230,799,2011-02-24,,
429,231,833,2022-11-01,2024-04-07,29116.00
430,231,161,2024-04-07,,20270.32
431,232,14,2022-10-17,,22852.00
432,233,683,2018-08-30,2023-04-08,
433,233,11,2023-04-08,2024-03-04,20968.00
434,233,590,2024-03-04,,17516.71
435,234,119,2022-05-08,2022-12-21,22968.00
436,234,364,2022-12-21,,15701.88
437,235,208,2010-09-09,2012-11-25,19024.00
438,235,398,2012-11-25,2013-05-13,10495.09
439,235,335,2013-05-13,2023-01-24,9574.36
440,235,995,2023-01-24,,1396.64
441,236,222,2022-02-14,2023-12-11,55216.00
442,236,970,2023-12-11,,35613.63
443,237,17,2018-01-18,2018-08-08,
444,237,48,2018-08-08,,20236.64
445,238,161,2020-05-01,,
446,239,826,2020-11-28,2022-05-28,41412.00
447,239,91,2022-05-28,2022-08-03,26693.48
448,239,458,2022-08-03,,25739.30
449,240,607,2023-11-15,2025-04-24,
450,240,974,2025-04-24,,22414.01
451,241,87,2017-10-02,,24476.00
452,242,662,2025-02-04,2025-03-10,34916.00
453,242,854,2025-03-10,,33403.48
454,243,221,2015-03-03,2015-11-08,
455,243,554,2015-11-08,2017-04-23,26794.08
456,243,817,2017-04-23,2018-05-26,20067.93
457,243,533,2018-05-26,,16165.45
458,244,201,2022-06-27,,
459,245,307,2012-05-25,,
460,246,522,2013-07-28,,38860.00
461,247,64,2015-12-21,2018-10-01,21112.00
462,247,29,2018-10-01,2019-03-03,11914.07
463,247,263,2019-03-03,2024-08-02,10963.70
464,247,442,2024-08-02,,3740.95
465,248,639,2010-04-20,2016-04-11,15660.00
466,248,731,2016-04-11,2017-01-20,4138.34
467,248,181,2017-01-20,2019-02-27,3546.60
468,248,991,2019-02-27,2020-01-23,2336.64
469,248,33,2020-01-23,,1953.09
470,249,768,2019-07-22,,67860.00
471,250,964,2010-07-22,2017-06-24,19024.00
472,250,948,2017-06-24,2022-10-19,4399.43
473,250,876,2022-10-19,,
474,251,566,2025-05-31,2025-06-02,
475,251,122,2025-06-02,,33894.89
476,252,532,2019-01-04,2022-06-28,20648.00
477,252,70,2022-06-28,2025-03-11,9708.72
478,252,723,2025-03-11,,5678.90
479,253,849,2014-01-05,,57188.00
480,254,932,2019-10-19,2024-03-27,25636.00
481,254,756,2024-03-27,,9135.73
482,255,397,2022-11-22,,64844.00
483,256,214,2024-10-09,,24708.00
484,257,722,2020-07-18,,38164.00
485,258,557,2017-10-24,2018-02-11,32364.00
486,258,966,2018-02-11,2019-07-27,26621.51
487,258,123,2019-07-27,,18036.85
488,259,303,2025-02-14,2025-05-19,64844.00
489,259,7,2025-05-19,,
490,260,620,2014-04-04,2018-08-21,27144.00
491,260,690,2018-08-21,,
492,261,510,2015-08-01,2017-09-25,18792.00
493,261,77,2017-09-25,2019-10-15,10957.54
494,261,980,2019-10-15,2023-12-14,7290.19
495,261,960,2023-12-14,,3190.33
496,262,602,2022-05-14,,22852.00
497,263,353,2018-08-22,,22968.00
498,264,92,2022-07-01,2024-04-03,
499,264,767,2024-04-03,,19080.43
500,265,260,2018-12-18,2021-04-19,26796.00
501,265,220,2021-04-19,2022-07-20,15625.90
502,265,623,2022-07-20,,
503,266,240,2018-03-01,,67860.00
504,267,868,2025-05-26,2025-05-30,25172.00
505,267,419,2025-05-30,,25046.52
506,268,928,2015-12-06,2016-10-08,
507,268,950,2016-10-08,,29511.53
508,269,246,2010-04-16,2015-03-08,22272.00
509,269,963,2015-03-08,2015-06-07,6854.32
510,269,455,2015-06-07,2017-02-10,6523.66
511,269,542,2017-02-10,2023-07-26,4673.14
512,269,841,2023-07-26,,1298.49
513,270,211,2017-01-20,2023-07-23,53244.00
514,270,684,2023-07-23,,13679.11
515,271,842,2012-07-29,2013-12-15,27144.00
516,271,367,2013-12-15,2016-06-29,19563.98
517,271,569,2016-06-29,2021-10-29,
518,271,28,2021-10-29,,4102.58
519,272,714,2023-06-30,2023-10-16,57768.00
520,272,215,2023-10-16,,49688.00
521,273,852,2013-09-30,,55216.00
522,274,980,2017-12-09,,27840.00
523,275,31,2018-11-08,2022-12-18,
524,275,640,2022-12-18,2024-08-19,5500.63
525,275,461,2024-08-19,,
526,276,442,2020-09-14,2021-04-25,25636.00
527,276,220,2021-04-25,2022-04-12,20572.50
528,276,422,2022-04-12,,16991.40
529,277,633,2013-01-24,2022-04-29,19024.00
530,277,223,2022-04-29,,2577.22
531,278,95,2021-02-25,,31204.00
532,279,861,2018-07-25,2021-08-19,
533,279,239,2021-08-19,2024-05-25,13785.37
534,279,662,2024-05-25,,
535,280,746,2025-05-14,2025-05-16,
536,280,96,2025-05-16,,56719.10
537,281,497,2013-04-18,,
538,282,981,2012-05-27,,27028.00
539,283,448,2017-06-23,2020-10-27,53244.00
540,283,953,2020-10-27,,24947.68
541,284,447,2016-12-27,,21112.00
542,285,552,2022-09-13,,29000.00
543,286,134,2018-01-15,2020-05-24,41528.00
544,286,584,2020-05-24,2023-02-19,21771.72
545,286,897,2023-02-19,,12638.38
546,287,73,2023-04-15,2025-04-10,92220.00
547,287,206,2025-04-10,,49999.32
548,288,776,2024-03-23,,
549,289,124,2017-10-12,2024-12-16,
550,289,877,2024-12-16,,11663.01
551,290,851,2018-09-09,2020-01-06,21112.00
552,290,885,2020-01-06,2021-02-10,13700.32
553,290,596,2021-02-10,,11018.11
554,291,625,2024-01-25,,12760.00
555,292,368,2017-11-08,,26448.00
556,293,297,2019-05-03,2019-09-15,53244.00
557,293,606,2019-09-15,2020-09-26,42015.80
558,293,291,2020-09-26,,
559,294,151,2017-01-12,2021-06-21,
560,294,805,2021-06-21,2024-03-20,23154.18
561,294,690,2024-03-20,,13426.31
562,295,304,2019-10-27,,
563,296,906,2020-06-14,,32364.00
564,297,993,2012-04-21,2013-03-30,27028.00
565,297,424,2013-03-30,2018-09-21,20777.28
566,297,571,2018-09-21,,7005.18
567,298,371,2021-12-07,2022-11-22,22968.00
568,298,324,2022-11-22,,16251.29
569,299,34,2024-04-01,2024-05-04,20648.00
570,299,497,2024-05-04,,19843.03
571,300,302,2014-11-08,2016-10-07,68556.00
572,300,802,2016-10-07,2019-03-16,41281.45
573,300,870,2019-03-16,2024-06-07,
574,300,389,2024-06-07,,
575,301,772,2024-05-30,,22968.00
576,302,159,2016-05-15,2018-07-03,
577,302,855,2018-07-03,,
578,303,611,2015-04-05,2022-10-12,
579,303,640,2022-10-12,2023-03-14,12151.84
580,303,204,2023-03-14,2023-10-23,11182.51
581,303,114,2023-10-23,,
582,304,736,2021-04-04,2022-12-27,18444.00
583,304,494,2022-12-27,,11426.19
584,305,378,2015-11-12,2020-07-26,25520.00
585,305,984,2020-07-26,,8368.70
586,306,861,2020-04-22,2020-07-09,41412.00
587,306,149,2020-07-09,,
588,307,314,2025-05-23,2025-06-21,58928.00
589,307,993,2025-06-21,,
590,308,467,2020-08-11,2024-02-09,29000.00
591,308,655,2024-02-09,,12542.06
592,309,500,2024-03-04,,29000.00
593,310,901,2024-09-09,,67860.00
594,311,479,2024-05-26,,34916.00
595,312,775,2019-11-10,2024-09-22,41412.00
596,312,172,2024-09-22,,13670.13
597,313,968,2016-09-29,,26796.00
598,314,669,2017-12-12,2024-11-21,21112.00
599,314,304,2024-11-21,,4750.29
600,315,338,2024-04-13,,24708.00
601,316,460,2025-01-18,,
602,317,506,2022-06-14,,33988.00
603,318,353,2022-04-27,2024-03-27,13804.00
604,318,235,2024-03-27,,8429.81
605,319,901,2023-01-06,,18444.00
606,320,859,2019-07-27,2024-11-26,
607,320,909,2024-11-26,,6042.07
608,321,859,2016-12-13,,27028.00
609,322,74,2011-08-25,2018-12-30,27144.00
610,322,510,2018-12-30,,5467.84
611,323,802,2016-09-28,,25520.00
612,324,293,2020-02-15,,18444.00
613,325,305,2024-09-29,2024-10-13,
614,325,609,2024-10-13,,
615,326,288,2018-08-24,2020-12-15,53360.00
616,326,730,2020-12-15,,28589.60
617,327,795,2025-06-21,,26448.00
618,328,416,2022-12-02,2023-01-14,30276.00
619,328,594,2023-01-14,,
620,329,373,2025-02-05,2025-06-13,54636.00
621,329,958,2025-06-13,,
622,330,359,2015-07-27,2018-03-24,24476.00
623,330,846,2018-03-24,,13662.94
624,331,438,2025-01-13,,17400.00
625,332,206,2022-02-19,2025-03-30,56840.00
626,332,776,2025-03-30,,
627,333,806,2014-01-11,2020-11-16,18792.00
628,333,969,2020-11-16,,4446.36
629,334,682,2025-06-09,,21112.00
630,335,806,2021-05-28,,18444.00
631,336,872,2022-11-14,,
632,337,334,2010-10-14,2021-04-02,55216.00
633,337,205,2021-04-02,2022-11-01,6186.78
634,337,986,2022-11-01,,4519.36
635,338,225,2018-04-24,,32364.00
636,339,968,2020-11-27,2024-04-07,59972.00
637,339,404,2024-04-07,2025-02-04,24274.48
638,339,365,2025-02-04,,20589.82
639,340,914,2019-11-03,2021-04-28,31204.00
640,340,873,2021-04-28,2022-07-05,21202.20
641,340,622,2022-07-05,,16757.45
642,341,156,2023-11-06,,92220.00
643,342,86,2022-12-27,,22968.00
644,343,786,2014-07-14,,
645,344,6,2025-05-27,2025-06-02,38164.00
646,344,811,2025-06-02,,37881.99
647,345,197,2016-01-27,,17284.00
648,346,169,2021-03-01,2024-09-01,31204.00
649,346,320,2024-09-01,,12695.53
650,347,23,2016-08-18,2016-10-17,51620.00
651,347,179,2016-10-17,,49096.50
652,348,273,2012-05-01,2016-10-04,25520.00
653,348,601,2016-10-04,2018-10-28,8211.36
654,348,806,2018-10-28,2019-09-15,5451.27
655,348,436,2019-09-15,,
656,349,603,2022-05-08,2024-09-18,
657,349,801,2024-09-18,,27767.16
658,350,799,2017-04-17,2017-05-19,26796.00
659,350,613,2017-05-19,,25854.67
