id,vehicle_id,dealership_id,buyer_id,sale_date,sale_type,sale_price,financing,warranty_months
48,36,18,55,2021-12-11,used,13951.56,loan,24
49,37,3,254,2020-12-24,new,48422.22,cash,36
50,38,26,759,2019-03-27,new,11862.84,loan,36
51,39,18,815,2021-12-11,demo,5516.82,loan,12
52,39,25,547,2015-04-21,used,20612.93,leasing,24
53,39,7,209,2017-01-10,used,14638.03,loan,12
54,39,25,711,2020-11-17,used,6815.21,loan,12
55,40,19,860,2024-04-22,new,18735.08,loan,36
56,42,30,709,2025-01-10,used,52960.59,cash,24
57,44,15,924,2024-07-02,new,11028.60,cash,36
58,45,12,575,2016-04-04,new,21861.84,loan,36
59,46,6,86,2021-08-31,new,15028.68,loan,36
60,48,10,917,2016-07-08,new,32632.35,renting,36
61,49,18,290,2023-01-01,new,12219.68,loan,36
62,50,13,175,2020-12-03,used,18359.78,loan,12
63,52,24,476,2021-06-22,used,21540.99,renting,24
64,52,16,643,2022-07-29,used,17314.37,loan,24
65,53,15,518,2025-05-12,demo,55216.00,cash,12
66,54,12,729,2021-08-09,new,14642.31,cash,36
67,54,13,460,2024-06-01,used,9780.02,loan,12
68,55,11,856,2020-12-25,new,32584.43,renting,36
69,55,4,427,2025-02-25,used,14841.51,cash,24
70,56,10,420,2014-03-01,new,45915.10,cash,36
71,56,20,415,2019-07-21,used,16153.67,cash,12
72,56,10,505,2020-09-19,used,12815.92,leasing,24
73,56,20,758,2020-10-15,used,12636.16,cash,24
74,58,13,546,2023-11-07,new,16049.46,loan,36
75,58,12,629,2024-09-06,used,12721.63,loan,12
76,59,5,89,2015-11-21,used,23664.75,loan,12
77,59,5,479,2015-11-21,used,23664.75,loan,12
78,59,11,657,2018-08-31,used,13640.61,loan,12
79,60,5,967,2016-09-22,new,31766.57,leasing,36
80,61,17,703,2017-04-01,new,21851.52,cash,36
81,62,16,563,2023-09-14,new,27339.83,loan,36
82,62,20,838,2023-11-13,used,31765.81,loan,12
83,63,13,380,2011-01-27,new,15563.60,loan,36
84,63,12,595,2021-07-07,used,1977.14,cash,12
85,64,1,238,2025-02-18,new,28365.33,loan,36
86,65,6,547,2012-11-01,new,16359.00,leasing,36
87,65,12,733,2020-11-01,demo,3274.98,cash,24
88,66,1,510,2025-06-28,demo,55216.00,cash,12
89,67,9,348,2025-02-07,new,27209.70,loan,36
90,68,18,118,2021-12-11,used,16966.39,cash,12
91,70,27,25,2024-03-03,used,17740.78,loan,12
92,71,20,350,2023-09-11,demo,21175.64,loan,12
93,72,19,59,2025-03-21,demo,17400.00,cash,12
94,74,7,120,2019-01-31,new,21936.20,loan,36
95,74,14,155,2021-12-10,used,10646.03,cash,12
96,75,10,375,2016-12-07,used,5043.76,loan,12
97,75,30,888,2017-06-04,used,4576.33,cash,24
98,75,30,18,2017-11-22,used,4170.30,loan,12
99,76,25,442,2019-09-16,new,16413.84,cash,36
100,76,18,398,2023-01-18,used,8961.39,loan,24
101,77,12,975,2025-06-28,new,58954.75,loan,36
102,79,13,771,2022-11-21,used,8972.95,loan,12
103,80,22,292,2012-09-04,used,16939.79,renting,12
104,80,15,552,2021-07-10,used,2927.54,cash,12
105,81,7,944,2018-02-04,new,16068.78,loan,36
106,81,19,496,2021-05-23,demo,8859.28,cash,12
107,82,23,505,2024-01-09,new,21589.32,loan,36
108,83,12,502,2025-06-28,used,20003.52,leasing,12
109,84,1,974,2025-04-11,demo,92220.00,loan,12
110,84,28,983,2025-04-15,used,91737.74,leasing,12
111,85,21,992,2023-06-26,new,50314.44,cash,36
112,85,10,862,2024-07-23,used,40815.57,loan,12
113,86,15,243,2017-09-08,used,18456.34,cash,12
114,86,1,153,2023-12-16,used,5318.46,cash,12
115,87,25,806,2022-11-20,new,13818.00,leasing,36
116,87,18,746,2023-11-09,used,11775.41,loan,12
117,88,22,522,2016-01-30,new,31412.04,cash,36
118,88,15,235,2022-05-29,used,9053.32,loan,12
119,88,15,898,2023-08-15,used,7116.64,cash,12
120,89,25,215,2014-06-23,new,33677.55,leasing,36
121,89,30,540,2019-08-21,used,10427.53,leasing,12
122,90,6,326,2012-05-08,new,20974.80,cash,36
123,90,14,524,2020-08-18,used,4045.14,loan,12
124,91,7,712,2017-07-22,new,31379.83,loan,36
125,91,11,833,2018-12-06,used,22597.77,cash,12
126,91,20,199,2018-12-24,used,22377.99,cash,24
127,93,11,63,2013-09-10,new,32471.55,cash,36
128,93,22,247,2017-01-13,used,19289.05,leasing,12
129,94,14,397,2024-07-11,used,10335.75,loan,12
130,95,12,445,2017-08-29,new,24462.88,loan,36
131,95,13,64,2019-08-26,used,16647.59,cash,24
132,96,10,4,2024-06-16,new,18837.14,leasing,36
133,97,26,789,2022-06-20,used,21095.00,cash,24
134,98,10,363,2015-07-31,new,13081.50,cash,36
135,100,27,959,2020-03-21,new,30493.02,renting,36
136,101,11,170,2022-07-15,new,20495.54,loan,36
137,101,29,23,2023-04-02,used,19628.44,cash,12
138,102,1,722,2019-08-03,demo,31204.00,cash,12
139,102,22,697,2023-06-18,used,11873.64,loan,12
140,103,13,618,2024-02-18,new,18966.42,cash,36
141,104,11,611,2010-05-05,new,19741.44,loan,36
142,105,3,793,2022-05-28,new,21551.34,loan,36
143,107,4,904,2023-12-07,new,23044.80,leasing,36
144,108,19,327,2023-07-09,new,15351.00,leasing,36
145,108,7,275,2024-12-16,used,10267.67,loan,24
146,109,28,640,2016-09-11,new,14253.34,loan,36
147,110,6,598,2012-12-12,new,16135.96,loan,36
148,111,25,532,2012-02-06,new,23968.71,cash,36
149,111,7,218,2022-11-13,demo,2883.50,renting,12
150,112,22,488,2024-07-04,new,43853.88,loan,36
151,112,27,667,2025-02-13,used,41591.02,loan,12
152,113,11,439,2021-02-28,new,51377.40,loan,36
153,114,11,265,2024-10-08,demo,25636.00,leasing,12
154,116,19,27,2023-12-24,new,29142.82,loan,36
155,117,13,218,2018-12-22,new,23610.51,cash,36
156,118,16,734,2023-11-29,new,19869.60,loan,36
157,119,20,202,2024-07-11,new,45873.80,loan,36
158,120,11,145,2021-01-29,new,51770.10,loan,36
159,120,5,541,2024-11-03,used,24145.42,loan,12
160,121,3,153,2022-07-06,new,21508.74,cash,36
161,122,4,943,2019-06-20,used,15017.70,cash,12
162,122,11,284,2024-10-06,used,5248.21,cash,24
163,123,30,155,2025-06-27,new,48534.50,loan,36
164,125,6,376,2012-09-20,new,15722.68,renting,36
165,125,12,29,2020-01-17,used,3805.41,cash,12
166,125,6,901,2024-09-28,used,1497.91,loan,24
167,128,18,210,2023-07-01,demo,17052.00,loan,12
168,129,21,174,2021-09-03,new,23176.80,leasing,36
169,130,26,644,2020-03-11,new,22408.80,loan,36
170,131,30,840,2020-06-13,new,20511.01,loan,36
171,132,18,645,2021-12-11,used,6438.26,leasing,12
172,132,19,495,2016-04-15,used,19782.06,renting,12
173,132,7,760,2018-06-09,used,12913.36,renting,12
174,133,16,442,2021-04-22,new,44334.81,cash,36
175,133,24,949,2024-02-24,used,23362.85,cash,12
176,134,29,940,2024-02-09,used,8736.60,loan,24
177,135,17,810,2016-08-10,new,28532.70,loan,36
178,135,23,346,2022-05-12,used,9240.13,loan,12
179,136,7,186,2024-02-27,new,28697.34,loan,36
180,137,4,777,2020-01-04,new,18134.48,cash,36
181,137,4,625,2022-11-04,demo,9872.60,loan,12
182,138,30,913,2019-01-23,used,40900.44,loan,12
183,138,30,853,2020-06-27,demo,30816.93,cash,12
184,139,18,474,2021-12-11,used,3349.20,loan,24
185,140,8,506,2021-06-03,new,24450.48,cash,36
186,141,18,442,2021-12-11,used,12573.18,cash,12
187,142,3,805,2022-08-29,new,19619.43,loan,36
188,143,25,692,2020-12-12,new,54217.80,loan,36
189,143,7,923,2021-08-31,used,48553.97,cash,12
190,144,26,561,2018-09-01,new,22128.00,cash,36
191,144,26,263,2020-11-17,used,16186.84,cash,12
192,145,1,349,2022-01-10,new,45686.48,loan,36
193,145,22,120,2022-07-25,used,42861.80,loan,12
194,146,7,123,2020-11-29,new,13208.73,loan,36
195,146,18,73,2024-12-28,used,5744.73,loan,24
196,147,11,599,2025-06-04,used,67720.52,loan,12
197,148,25,891,2012-05-10,new,15717.24,loan,36
198,148,18,570,2021-12-11,demo,2326.83,loan,12
199,149,8,119,2020-06-06,new,50160.56,cash,36
200,149,9,324,2024-07-17,used,20402.84,loan,12
201,150,25,324,2021-02-19,new,58716.45,loan,36
202,151,7,812,2023-03-25,used,16606.07,loan,12
203,153,18,575,2021-12-11,used,2687.83,loan,24
204,153,19,183,2022-02-26,used,2577.70,loan,12
205,153,19,893,2022-07-06,used,2401.92,loan,24
206,153,25,687,2022-10-04,used,2287.29,loan,24
207,154,2,830,2024-08-02,new,73481.85,loan,36
208,154,4,47,2025-02-24,used,70121.28,loan,24
209,155,5,909,2021-08-30,new,28338.03,leasing,36
210,157,30,372,2025-05-09,new,43467.30,leasing,36
211,158,29,573,2025-02-26,demo,26546.17,renting,12
212,159,23,521,2024-01-16,new,21012.48,loan,36
213,159,9,903,2024-10-19,demo,18666.87,cash,24
214,160,7,549,2015-06-22,new,22300.43,loan,36
215,162,25,128,2011-08-22,used,61419.43,loan,24
216,162,18,562,2021-12-11,used,7153.72,loan,12
217,162,18,799,2021-12-11,used,7153.72,loan,24
218,162,18,297,2023-06-20,used,5288.54,loan,12
219,164,26,707,2025-06-26,new,22523.16,loan,36
220,165,12,240,2016-05-15,used,21751.25,loan,12
221,165,6,16,2017-08-15,used,16882.26,cash,24
222,166,22,956,2020-06-25,new,32086.20,leasing,36
223,168,13,363,2016-12-28,demo,34916.00,loan,24
224,168,12,334,2018-07-17,used,23184.30,loan,12
225,168,13,208,2024-04-18,used,7399.35,loan,12
226,169,20,209,2025-05-05,new,48941.20,renting,36
227,169,10,674,2025-06-17,used,52653.34,renting,12
228,170,28,342,2013-11-09,new,19979.76,loan,36
229,171,8,90,2025-02-17,new,17450.16,leasing,36
230,171,13,917,2025-02-21,used,20947.36,cash,12
231,172,1,266,2021-09-19,new,18771.84,loan,36
232,173,30,811,2024-05-27,new,20350.10,leasing,36
233,173,10,759,2025-04-28,used,17398.98,loan,12
234,175,23,208,2018-04-02,used,26826.43,loan,24
235,176,1,217,2017-10-02,used,8090.73,cash,12
236,176,22,596,2022-02-05,used,3415.95,loan,12
237,176,12,990,2024-07-04,used,2117.69,loan,12
238,176,29,818,2025-03-23,used,1836.70,loan,12
239,177,16,26,2021-03-11,demo,41528.00,cash,24
240,178,26,107,2023-05-30,new,23157.60,renting,36
241,179,14,516,2019-03-29,new,48613.51,leasing,36
242,179,14,653,2021-09-24,used,34899.38,loan,24
243,180,28,340,2024-12-11,new,20746.00,renting,36
244,180,9,944,2025-03-03,used,23879.78,cash,24
245,181,25,658,2021-05-06,demo,34916.00,loan,12
246,182,30,766,2019-12-23,new,44629.20,loan,36
247,183,20,915,2022-07-02,new,43245.10,loan,36
248,184,13,272,2010-08-06,new,16834.60,leasing,36
249,184,6,420,2018-12-09,demo,3498.97,cash,12
250,184,6,592,2021-05-03,used,2173.88,loan,24
251,185,5,848,2025-05-10,new,17436.88,cash,36
252,185,11,485,2025-06-30,used,19958.53,cash,24
253,186,8,669,2020-12-23,demo,34104.00,cash,12
254,186,17,114,2024-07-08,used,14538.11,loan,24
255,187,5,280,2025-05-10,new,84131.30,loan,36
256,187,11,617,2025-06-08,used,91923.50,leasing,12
257,188,16,91,2020-06-04,new,42586.02,loan,36
258,188,24,267,2022-02-07,used,34558.15,cash,12
259,189,12,206,2020-10-06,new,52134.28,cash,36
260,191,21,151,2021-10-04,new,24117.90,cash,36
261,192,18,392,2024-01-09,new,14310.45,leasing,36
262,193,8,673,2020-06-06,used,12174.82,leasing,12
263,195,6,397,2018-06-18,used,38186.63,cash,24
264,196,3,382,2020-12-24,used,7635.83,cash,24
265,196,3,279,2020-12-24,used,7635.83,loan,24
266,197,29,692,2022-01-15,new,23753.25,cash,36
267,199,24,794,2023-11-27,used,6510.73,loan,12
268,200,11,152,2023-08-21,new,20091.06,cash,36
269,201,2,321,2020-09-04,used,6223.54,loan,12
270,201,3,37,2021-08-19,used,5148.57,renting,12
271,202,12,379,2013-08-04,used,26077.35,loan,24
272,203,12,672,2025-06-18,used,21789.87,loan,12
273,204,13,206,2021-05-30,used,19724.52,loan,24
274,204,6,52,2024-05-05,used,11022.69,cash,12
275,205,10,376,2022-02-18,new,21747.74,cash,36
276,205,1,743,2022-07-30,used,18821.23,loan,12
277,206,5,18,2021-10-04,demo,20648.00,loan,24
278,207,19,651,2012-02-25,new,55619.01,cash,36
279,208,26,488,2016-06-28,new,17795.96,loan,36
280,209,12,507,2022-08-04,new,56654.75,cash,36
281,212,7,353,2025-06-17,new,20771.24,loan,36
282,213,6,33,2024-01-04,new,78887.85,loan,36
283,213,16,929,2024-12-24,used,72587.84,cash,12
284,215,30,527,2022-01-22,new,17239.04,loan,36
285,216,16,240,2020-05-24,new,12055.89,leasing,36
286,216,24,549,2022-12-28,used,6808.02,loan,12
287,216,14,131,2024-07-23,used,4986.70,cash,12
288,219,6,513,2020-05-19,new,16314.99,cash,36
289,221,5,332,2025-03-11,new,18001.14,leasing,36
290,222,20,33,2018-08-14,used,4535.54,loan,24
291,222,20,538,2018-08-14,used,4535.54,loan,24
292,223,2,208,2020-09-04,demo,9733.34,renting,24
293,224,3,226,2022-02-15,new,46036.34,cash,36
294,226,20,540,2024-12-12,used,8581.06,cash,12
295,227,30,593,2013-03-02,new,13063.95,loan,36
296,227,30,164,2015-02-10,used,8979.80,loan,12
297,227,20,143,2020-06-10,used,3117.75,renting,12
298,228,1,804,2024-02-09,new,10370.80,loan,36
299,228,22,612,2024-03-12,used,12303.55,loan,24
300,230,19,799,2011-02-24,new,23682.12,cash,36
301,232,10,14,2022-10-17,new,19877.30,cash,36
302,233,19,683,2018-08-30,demo,59972.00,loan,12
303,233,24,11,2023-04-08,used,20968.00,renting,12
304,233,1,590,2024-03-04,used,17516.71,cash,12
305,234,21,119,2022-05-08,new,19497.06,loan,36
306,234,14,364,2022-12-21,used,15701.88,loan,12
307,235,6,208,2010-09-09,new,15288.08,leasing,36
308,235,13,398,2012-11-25,used,10495.09,loan,12
309,236,15,970,2023-12-11,used,35613.63,cash,24
310,237,26,17,2018-01-18,new,23565.60,leasing,36
311,239,5,826,2020-11-28,new,33247.41,loan,36
312,239,5,91,2022-05-28,used,26693.48,loan,12
313,239,11,458,2022-08-03,used,25739.30,loan,12
314,240,8,607,2023-11-15,new,30685.83,renting,36
315,241,27,87,2017-10-02,new,19576.58,cash,36
316,242,7,662,2025-02-04,new,31255.84,cash,36
317,243,3,554,2020-12-24,used,9684.40,loan,12
318,243,30,817,2017-04-23,used,20067.93,loan,12
319,243,5,533,2018-05-26,used,16165.45,loan,12
320,244,6,201,2022-06-27,new,54234.00,cash,36
321,245,22,307,2012-05-25,new,25512.06,loan,36
322,246,7,522,2013-07-28,new,31995.85,cash,36
323,247,21,64,2020-10-25,used,7905.08,leasing,24
324,247,21,29,2020-10-25,used,7905.08,loan,12
325,247,21,442,2024-08-02,used,3740.95,loan,12
326,248,10,639,2010-04-20,new,13568.85,loan,36
327,248,10,731,2016-04-11,demo,4138.34,loan,12
328,248,10,181,2017-01-20,used,3546.60,loan,12
329,248,10,33,2020-01-23,used,1953.09,cash,24
330,249,18,768,2021-12-11,used,35866.84,loan,12
331,250,6,948,2017-06-24,used,4399.43,loan,12
332,250,12,876,2022-10-19,used,1530.79,loan,24
333,251,24,566,2025-05-31,new,28986.49,leasing,36
334,251,1,122,2025-06-02,used,33894.89,loan,24
335,252,11,532,2019-01-04,new,17556.14,loan,36
336,252,11,70,2022-06-28,used,9708.72,cash,12
337,252,5,723,2025-03-11,used,5678.90,loan,12
338,253,3,849,2020-12-24,used,11909.36,loan,12
339,254,27,932,2019-10-19,new,22716.59,loan,36
340,254,9,756,2024-03-27,used,9135.73,leasing,12
341,256,3,214,2024-10-09,new,21932.61,cash,36
342,258,5,557,2017-10-24,new,25896.78,leasing,36
343,258,19,966,2018-02-11,used,26621.51,leasing,24
344,258,27,123,2019-07-27,used,18036.85,loan,24
345,259,25,303,2025-02-14,new,55178.89,leasing,36
346,259,7,7,2025-05-19,used,58048.45,leasing,12
347,260,24,620,2018-07-13,used,10218.26,loan,12
348,260,30,690,2018-08-21,used,10004.03,loan,24
349,261,18,510,2021-12-11,used,4751.14,loan,12
350,261,18,77,2021-12-11,used,4751.14,loan,24
351,262,10,602,2022-05-14,new,19989.59,loan,36
352,263,23,353,2018-08-22,demo,22968.00,renting,12
353,264,26,767,2024-04-03,used,19080.43,leasing,24
354,265,12,260,2018-12-18,new,21968.10,loan,36
355,265,13,220,2021-04-19,used,15625.90,loan,12
356,265,6,623,2022-07-20,used,12190.10,cash,12
357,268,26,928,2015-12-06,new,33915.40,loan,36
358,268,26,950,2016-10-08,demo,29511.53,loan,12
359,269,10,246,2010-04-16,new,19430.40,leasing,36
360,269,18,963,2021-12-11,used,1791.14,loan,12
361,269,21,455,2020-10-25,used,2240.52,renting,12
362,269,28,542,2017-02-10,used,4673.14,loan,24
363,269,29,841,2023-07-26,used,1298.49,cash,12
364,270,16,211,2017-01-20,new,44302.68,loan,36
365,271,11,367,2013-12-15,demo,19563.98,loan,12
366,271,30,569,2016-06-29,used,11822.72,cash,24
367,271,9,28,2021-10-29,used,4102.58,loan,12
368,272,4,714,2023-06-30,new,50138.64,loan,36
369,272,27,215,2023-10-16,used,49688.00,loan,12
370,275,4,31,2018-11-08,new,11900.35,renting,36
371,275,21,640,2022-12-18,used,5500.63,cash,24
372,275,26,461,2024-08-19,used,3948.87,cash,12
373,276,14,442,2020-09-14,new,21671.26,cash,36
374,276,17,220,2021-04-25,demo,20572.50,cash,12
375,276,3,422,2022-04-12,used,16991.40,loan,12
376,277,12,633,2013-08-04,used,14584.33,cash,12
377,277,12,223,2022-04-29,used,2577.22,loan,12
378,279,21,861,2020-10-25,used,16208.21,leasing,24
379,279,21,662,2024-05-25,used,7963.30,cash,12
380,280,20,746,2025-05-14,new,50352.40,leasing,36
381,280,20,96,2025-05-16,used,56719.10,cash,12
382,282,19,981,2012-05-27,demo,27028.00,loan,24
383,285,1,552,2022-09-13,new,24215.00,cash,36
384,286,28,134,2018-01-15,new,35456.32,loan,36
385,286,24,897,2023-02-19,used,12638.38,leasing,12
386,287,3,73,2023-04-15,new,80318.85,renting,36
387,287,25,206,2025-04-10,used,49999.32,cash,12
388,288,11,776,2024-03-23,new,21379.60,cash,36
389,289,3,124,2020-12-24,demo,25684.28,cash,12
390,289,3,877,2024-12-16,used,11663.01,cash,12
391,290,26,885,2020-01-06,used,13700.32,loan,24
392,293,16,297,2019-05-03,new,46726.20,cash,36
393,293,14,291,2020-09-26,used,32088.43,loan,12
394,294,6,151,2017-01-12,new,57442.50,leasing,36
395,294,12,805,2021-06-21,used,23154.18,cash,12
396,297,19,993,2012-04-21,new,23297.67,loan,36
397,297,7,571,2018-09-21,used,7005.18,cash,24
398,298,13,324,2022-11-22,used,16251.29,loan,24
399,299,5,34,2024-04-01,new,16977.64,loan,36
400,300,19,302,2014-11-08,new,55311.69,cash,36
401,300,7,802,2016-10-07,demo,41281.45,renting,24
402,300,25,870,2019-03-16,used,25453.40,loan,12
403,302,6,159,2016-05-15,new,23728.32,loan,36
404,302,13,855,2018-07-03,used,15389.74,renting,12
405,303,5,611,2015-11-21,used,47705.30,loan,24
406,303,5,640,2022-10-12,used,12151.84,cash,24
407,303,5,204,2023-03-14,used,11182.51,cash,24
408,303,11,114,2023-10-23,used,9906.48,loan,24
409,304,12,736,2021-04-04,new,14783.82,renting,36
410,305,21,378,2020-10-25,used,7964.99,loan,12
411,305,30,984,2020-07-26,used,8368.70,leasing,12
412,306,5,149,2020-07-09,demo,35449.92,cash,12
413,307,15,314,2025-05-23,new,48600.36,cash,36
414,307,22,993,2025-06-21,used,57021.77,loan,12
415,308,17,467,2020-08-11,new,24307.50,loan,36
416,308,19,655,2024-02-09,used,12542.06,loan,12
417,309,14,500,2024-03-04,new,24327.50,loan,36
418,311,19,479,2024-05-26,new,30253.51,loan,36
419,312,11,172,2024-09-22,used,13670.13,renting,12
420,313,6,968,2016-09-29,new,22614.90,loan,36
421,314,26,669,2017-12-12,new,18394.74,loan,36
422,314,26,304,2024-11-21,used,4750.29,loan,12
423,316,29,460,2025-01-18,new,50439.32,loan,36
424,318,28,353,2022-04-27,new,11527.53,leasing,36
425,319,12,901,2023-01-06,new,15432.54,renting,36
426,320,5,859,2019-07-27,new,16970.52,loan,36
427,320,11,909,2024-11-26,used,6042.07,loan,12
428,321,19,859,2016-12-13,new,23283.69,cash,36
429,322,28,74,2011-08-25,new,22091.94,loan,36
430,322,10,510,2018-12-30,demo,5467.84,leasing,12
431,323,21,802,2020-10-25,used,9852.78,loan,24
432,324,6,293,2020-02-15,new,15472.29,loan,36
433,325,6,305,2024-09-29,demo,26216.00,loan,12
434,325,5,609,2024-10-13,used,25824.89,loan,12
435,326,30,288,2018-08-24,new,46736.00,renting,36
436,327,8,795,2025-06-21,new,22526.40,loan,36
437,328,17,416,2022-12-02,new,26971.74,cash,36
438,328,8,594,2023-01-14,used,29093.35,loan,12
439,329,25,373,2025-02-05,new,44514.21,cash,36
440,329,25,958,2025-06-13,used,46295.59,loan,12
441,330,2,359,2020-09-04,used,8401.48,loan,12
442,330,2,846,2020-09-04,demo,8401.48,loan,12
443,331,25,438,2025-01-13,new,15445.50,loan,36
444,332,20,776,2025-03-30,used,25983.46,loan,12
445,333,7,969,2020-11-16,used,4446.36,leasing,24
446,336,6,872,2022-11-14,new,48913.37,cash,36
447,337,13,205,2021-04-02,used,6186.78,cash,12
448,337,12,986,2022-11-01,used,4519.36,loan,24
449,338,23,225,2018-04-24,new,27531.72,loan,36
450,339,3,968,2020-12-24,demo,57249.75,leasing,12
451,339,3,365,2025-02-04,demo,20589.82,loan,12
452,340,1,914,2019-11-03,demo,31204.00,loan,12
453,340,29,873,2021-04-28,used,21202.20,loan,12
454,340,22,622,2022-07-05,demo,16757.45,loan,12
455,341,21,156,2023-11-06,new,81861.15,loan,36
456,342,16,86,2022-12-27,new,19372.32,cash,36
457,343,19,786,2014-07-14,new,58839.96,leasing,36
458,344,11,811,2025-06-02,demo,37881.99,cash,12
459,345,24,197,2018-07-13,used,9704.24,loan,12
460,346,1,169,2021-03-01,new,27849.57,loan,36
461,346,29,320,2024-09-01,used,12695.53,loan,12
462,347,30,23,2016-08-18,new,40940.00,cash,36
463,347,10,179,2016-10-17,used,49096.50,loan,24
464,348,25,273,2012-05-01,new,20941.80,renting,36
465,348,3,601,2020-12-24,used,3552.69,loan,12
466,348,12,806,2018-10-28,used,5451.27,cash,12
467,348,21,436,2020-10-25,used,3670.42,cash,12
468,349,28,603,2022-05-08,new,44518.41,loan,36
469,350,12,799,2017-04-17,new,23601.27,cash,36
470,350,6,613,2017-05-19,used,25854.67,loan,24
471,353,12,164,2021-11-02,new,17895.50,leasing,36
472,354,12,723,2015-12-09,new,21621.60,cash,36
473,354,24,124,2020-12-19,used,8895.86,leasing,24
474,355,30,440,2025-03-24,new,49254.80,loan,36
475,355,30,743,2025-06-17,used,52204.04,loan,12
476,356,5,682,2017-12-01,new,32879.70,loan,36
477,356,11,25,2018-07-04,used,33890.93,loan,12
478,358,30,430,2024-09-22,new,28462.02,cash,36
479,359,24,983,2022-05-25,used,23796.97,cash,12
480,360,13,734,2020-05-28,new,15489.78,cash,36
481,361,29,690,2019-09-30,new,25869.73,cash,36
482,362,28,662,2015-04-05,new,35492.12,cash,36
483,362,28,334,2015-05-22,used,38515.53,leasing,12
484,362,24,264,2018-12-05,used,16267.42,loan,12
485,363,18,398,2021-12-11,used,3907.24,leasing,12
486,363,25,899,2025-02-16,used,2077.03,cash,12
487,364,25,172,2023-12-13,new,14645.61,cash,36
488,366,2,995,2021-03-15,demo,24708.00,cash,12
489,368,10,235,2025-04-06,new,45717.00,loan,36
490,368,10,461,2025-04-20,used,56025.44,cash,12
491,369,1,91,2018-12-29,new,25390.91,loan,36
492,369,29,189,2019-12-02,used,21394.34,loan,24
493,370,2,632,2020-09-04,used,7733.57,leasing,12
494,370,3,120,2024-05-19,used,3707.82,leasing,12
495,372,18,926,2025-02-24,new,15216.00,cash,36
496,372,19,442,2025-06-15,used,15271.61,cash,24
497,373,16,684,2021-12-02,used,12354.93,loan,12
498,374,1,94,2019-12-05,new,25455.47,loan,36
499,374,27,55,2021-04-07,used,19559.24,loan,12
500,375,2,938,2020-09-04,new,73513.65,cash,36
501,376,14,556,2021-06-25,new,20813.78,loan,36
502,377,18,261,2024-11-02,new,46605.45,loan,36
503,377,19,622,2025-05-29,used,47801.26,cash,12
504,378,4,299,2017-07-02,used,15393.59,loan,12
505,378,21,288,2023-04-10,used,4896.95,leasing,12
506,378,26,697,2024-08-18,demo,3740.13,loan,24
507,379,19,509,2022-03-28,new,60161.40,loan,36
508,379,18,823,2023-10-02,used,43341.10,leasing,24
509,381,25,966,2025-04-05,new,15048.00,cash,36
510,382,28,588,2022-01-29,new,45055.44,cash,36
511,383,12,732,2025-02-12,new,17297.00,cash,36
