id,vin,plate,model_id,year,colour,fuel_type,transmission,engine_cc,power_hp,mileage_km,registered_on
30,ZZNGA5H82PT110607,6505 VJS,9,2023,Negro,petrol,manual,1957,134,6308,2023-12-03
31,ZZMJ9FD34SY452896,9087 DFN,56,2025,Blanco,petrol,automatic,1698,163,1410,2025-05-10
32,ZZMHGN2V6JJ061226,6128 DMY,56,2018,Negro,hybrid,automatic,1582,259,92415,2018-10-01
33,ZZCX30MJ2NF633992,4118 RYF,41,2022,Azul,diesel,manual,1097,97,6050,2022-06-21
34,ZZCX6ZAF0PM237103,4485 TYJ,41,2023,Plata,plug_in_hybrid,manual,1074,119,21670,2023-10-16
35,ZZCH25822RB961160,6771 XPW,6,2024,Blanco,petrol,manual,1517,123,13590,2024-06-23
36,ZZHF6A5HXED299463,1935 VGG,1,2014,Blanco,petrol,manual,1555,261,189951,2014-12-12
37,ZZMUGE3S6LE307657,5146 VTG,56,2020,Blanco,diesel,manual,1494,227,83289,2020-11-06
38,ZZAAC84L7KP986894,4585 MGG,43,2019,Blanco,diesel,manual,943,71,153256,2019-03-27
39,ZZHLDY439ED426131,2334 WDM,11,2014,Blanco,petrol,manual,1225,140,116752,2014-07-08
40,ZZCEAMCP6RV478465,3602 JLN,41,2024,Gris,petrol,manual,1175,121,11818,2024-04-22
41,ZZK31UPU2JL484937,3352 SHJ,68,2018,Blanco,diesel,manual,1392,118,103829,2018-01-14
42,ZZG3F6C24SM004565,3002 TMN,35,2025,Blanco,petrol,automatic,2384,177,1916,2025-01-03
43,ZZJ3LXJG0CT742751,4072 BFH,15,2012,Rojo,plug_in_hybrid,automatic,1710,284,106364,2012-10-20
44,ZZNMSW8X4RP151944,6198 SYC,39,2024,Blanco,diesel,automatic,1108,72,10415,2024-07-02
45,ZZBUD8UX4GX092450,9839 BMX,19,2016,Blanco,hybrid,manual,1367,181,182449,2016-04-04
46,ZZBN8TXY5MK916612,6987 XPP,24,2021,Negro,petrol,manual,1201,99,14842,2021-08-31
47,ZZJCA7E90SR508994,4587 YBN,14,2025,Negro,diesel,automatic,2592,384,2744,2025-05-08
48,ZZM0PM6WXGD373048,7145 CKK,34,2016,Rojo,lpg,manual,2156,164,76096,2016-07-08
49,ZZHNS9UU4PS625955,4925 ZRF,25,2023,Gris,diesel,manual,1081,81,43961,2023-01-01
50,ZZBBLR4M6LE132815,1632 PGK,24,2020,Plata,hybrid,automatic,1245,117,80542,2020-11-30
51,ZZHXMWGP7SK040786,6527 PLB,52,2025,Blanco,diesel,manual,2266,283,1752,2025-06-29
52,ZZLHEWNX6JH050067,9345 SZJ,4,2018,Blanco,hybrid,automatic,1931,273,75935,2018-10-14
53,ZZN4GUHY2SM756521,7484 VNR,9,2025,Negro,petrol,manual,2290,147,2163,2025-05-12
54,ZZBUFABV5MM211624,3220 VKV,24,2021,Negro,diesel,manual,1394,102,28008,2021-08-09
55,ZZF326L20LN703946,6160 FJP,49,2020,Negro,lpg,manual,1840,149,33879,2020-12-25
56,ZZGCJUPL7ER007019,0724 CYM,64,2014,Plata,hybrid,manual,2138,217,97983,2014-03-01
57,ZZD390TM8MC685468,1073 DLG,62,2021,Gris,diesel,manual,1790,150,76910,2021-06-30
58,ZZBW0B3A1PV513048,2645 SFF,24,2023,Blanco,plug_in_hybrid,manual,1201,110,30018,2023-11-07
59,ZZJK0KYK4CM452640,5305 WLP,15,2012,Blanco,hybrid,manual,1611,204,207597,2012-02-22
60,ZZFBR3EA0GP752147,0022 SXX,49,2016,Gris,diesel,automatic,1282,145,109480,2016-09-22
61,ZZD040MK8HX818193,5217 FWC,20,2017,Azul,electric,manual,0,96,77700,2017-04-01
62,ZZM8UVC30PV229143,6258 CRD,45,2023,Blanco,diesel,manual,1853,188,18392,2023-09-14
63,ZZB7THUXXBT805643,8771 ZKF,42,2011,Blanco,petrol,manual,1491,111,246364,2011-01-27
64,ZZMT3ZS89SJ483581,8861 BVK,45,2025,Negro,hybrid,automatic,1394,172,722,2025-02-18
65,ZZBDMKNK6CZ150914,4039 XCV,42,2012,Plata,petrol,automatic,1351,121,195574,2012-11-01
66,ZZN5RUXP4SW385096,1537 XNV,9,2025,Blanco,petrol,automatic,1827,158,2114,2025-06-28
67,ZZD6J3CP5SV961039,6044 LGM,62,2025,Azul,petrol,automatic,2028,102,3511,2025-02-07
68,ZZHSXCBR4HG975459,4384 YXN,70,2017,Plata,plug_in_hybrid,manual,2499,218,147525,2017-01-15
69,ZZF2L15Z4NJ871072,7310 WWR,31,2022,Negro,diesel,automatic,2343,246,45267,2022-07-16
70,ZZND2T073MU919384,5910 STX,63,2021,Blanco,diesel,automatic,1964,175,61313,2021-04-18
71,ZZGLVDJA0PA291705,6219 NPH,30,2023,Plata,electric,automatic,0,130,19061,2023-07-03
72,ZZH19KL77SY745316,1448 YBR,7,2025,Gris,diesel,automatic,1234,106,4838,2025-03-21
73,ZZNZU62T6FR553776,5152 HLT,29,2015,Gris,diesel,automatic,2119,171,127883,2015-09-29
74,ZZCR6M2J0KD494401,0301 GCF,27,2019,Plata,diesel,automatic,1193,100,165919,2019-01-31
75,ZZGEGANW6BW343759,2149 XNY,5,2011,Plata,petrol,manual,1184,91,155137,2011-11-06
76,ZZH7YP405KG791387,0203 XWJ,50,2019,Negro,petrol,manual,1153,95,42320,2019-09-16
77,ZZBCLFH75SR514087,0790 FTJ,40,2025,Blanco,diesel,automatic,2278,274,1703,2025-06-28
78,ZZAZSDGY3GY627050,8654 TDW,43,2016,Blanco,petrol,manual,1156,93,99046,2016-10-23
79,ZZB3U8219KM785227,6250 FWJ,59,2019,Gris,lpg,manual,1378,121,91199,2019-08-26
80,ZZNR5GPV5BB424413,9491 JXH,21,2011,Gris,diesel,manual,1718,134,228762,2011-10-06
81,ZZHVP5EX1JX265170,8145 FVT,50,2018,Blanco,hybrid,manual,1389,112,67484,2018-02-04
82,ZZDGN82H7RE689894,3395 YMH,20,2024,Azul,hybrid,manual,1164,109,24479,2024-01-09
83,ZZBFBS1K2SV699858,4324 SZP,59,2025,Blanco,petrol,manual,1004,99,1653,2025-06-18
84,ZZFB9RUT6SG645909,1599 BLL,31,2025,Blanco,diesel,manual,2886,350,3014,2025-04-11
85,ZZM97FT71PV016545,1939 FYS,56,2023,Blanco,hybrid,manual,2245,159,31005,2023-06-26
86,ZZNFB3LM2GL540560,5529 SWN,21,2016,Blanco,diesel,automatic,1621,114,38656,2016-06-28
87,ZZH5V7LJ8NG756535,2615 YXL,7,2022,Plata,petrol,automatic,1265,102,45898,2022-11-20
88,ZZNKNLA67GA189201,3949 YDS,63,2016,Plata,diesel,automatic,1884,143,127667,2016-01-30
89,ZZM87GHE7EJ484101,7600 TJN,34,2014,Gris,diesel,automatic,2098,191,272598,2014-06-23
90,ZZCSVR446CZ742986,5727 NFR,27,2012,Plata,hybrid,automatic,1431,90,232066,2012-05-08
91,ZZFFA1CE2HR792299,8045 MPZ,49,2017,Blanco,hybrid,manual,1951,115,149795,2017-07-22
92,ZZC18L4UXPB499729,1936 XCX,67,2023,Blanco,hybrid,automatic,1001,97,29419,2023-09-05
93,ZZMN5HR26DR941418,0782 ZGR,34,2013,Marrón,petrol,automatic,2199,157,41989,2013-09-10
94,ZZCXL08M7KM411508,7201 XBB,36,2019,Blanco,petrol,automatic,1836,145,28754,2019-08-02
95,ZZBE1YNF3HX396325,2848 VPH,3,2017,Blanco,diesel,manual,1416,160,105479,2017-08-29
96,ZZGHAKL00RG178069,9186 JPY,30,2024,Blanco,petrol,manual,1403,102,23292,2024-06-16
97,ZZAK7TR56MF866289,3659 FGS,13,2021,Gris,plug_in_hybrid,automatic,1848,167,35147,2021-07-20
98,ZZG02H143FA444444,6867 XHC,5,2015,Negro,petrol,automatic,1022,83,106597,2015-07-31
99,ZZAWT7BHXET178095,7407 DJN,55,2014,Gris,hybrid,manual,1333,108,191285,2014-01-27
100,ZZNVHUBR9LU721897,8745 RCW,63,2020,Blanco,hybrid,manual,1479,124,99356,2020-03-21
101,ZZC0J4B01NZ544518,0737 NYT,67,2022,Blanco,petrol,automatic,1407,104,34092,2022-07-15
102,ZZN9R9Z90KT217986,8059 YZP,18,2019,Azul,diesel,manual,1668,162,103598,2019-08-03
103,ZZCJHULY9RD828714,0588 MLR,12,2024,Azul,diesel,manual,1378,95,22440,2024-02-18
104,ZZMCP4U9XAV681624,6728 JVP,58,2010,Negro,petrol,automatic,1088,107,103669,2010-05-05
105,ZZKSPPMB6NY728211,6053 YHK,51,2022,Marrón,diesel,automatic,1737,151,39383,2022-05-28
106,ZZFWGELM9JS909369,2047 BVC,33,2018,Marrón,electric,manual,0,96,106023,2018-09-04
107,ZZATARVU9PL497066,7340 LKY,13,2023,Negro,hybrid,manual,1829,141,10778,2023-12-07
108,ZZHCZAJA6PA576634,2248 SMD,7,2023,Negro,diesel,automatic,1116,113,41537,2023-07-09
109,ZZLHG5PD4GC381307,0124 XCL,2,2016,Plata,petrol,manual,1089,65,74324,2016-09-11
110,ZZBRTPMR4CG560160,5081 HYM,42,2012,Gris,diesel,automatic,1492,94,148936,2012-12-12
111,ZZHNTB6W9CN347369,3113 THK,11,2012,Negro,petrol,manual,1283,141,125909,2012-02-06
112,ZZN74A9L9RF639668,7131 GRB,9,2024,Gris,hybrid,automatic,1750,289,14440,2024-07-04
113,ZZJB9UGN3ME512724,2578 KPW,15,2021,Negro,diesel,manual,2426,249,85546,2021-02-28
114,ZZC1DKWV8RT704666,6019 BGN,67,2024,Azul,diesel,automatic,1019,95,5877,2024-10-08
115,ZZHX8C8T1NY945542,3330 SRD,7,2022,Negro,hybrid,manual,1205,121,43190,2022-03-15
116,ZZH5AA0Z5PN474564,2126 GZS,38,2023,Blanco,petrol,automatic,1381,136,24127,2023-12-24
117,ZZBW8SL86JY746306,2534 PPW,19,2018,Verde,diesel,automatic,1966,143,76917,2018-12-22
118,ZZL7ANM56PD346191,3895 XZL,60,2023,Gris,hybrid,manual,1046,115,31899,2023-11-29
119,ZZGKVELA1RV935772,2243 RDS,16,2024,Blanco,petrol,automatic,2195,180,16364,2024-07-11
120,ZZJM3NC39MU646504,7481 JFV,15,2021,Amarillo,plug_in_hybrid,manual,2185,197,60064,2021-01-29
121,ZZK8LR9T1NC360780,9260 CNX,51,2022,Blanco,diesel,manual,1635,150,40107,2022-07-06
122,ZZCT7C6B0HL388268,5457 SPM,12,2017,Naranja,petrol,manual,1163,90,73429,2017-11-05
123,ZZGYJ52J0SY563868,4558 YSB,16,2025,Azul,plug_in_hybrid,automatic,2421,268,1115,2025-06-27
124,ZZB7DM275JP708530,1820 MSF,3,2018,Gris,diesel,automatic,1976,123,100410,2018-06-10
125,ZZB5MUFH8CB454984,3742 BBB,42,2012,Plata,petrol,manual,1065,114,180465,2012-09-20
126,ZZCVK8EX3NJ867891,9241 GGN,69,2022,Plata,diesel,manual,1813,131,36448,2022-03-25
127,ZZM1K3GG1PT342720,3705 GFW,58,2023,Blanco,petrol,manual,1132,110,20431,2023-06-22
128,ZZHTGC710PA195497,7852 XKJ,17,2023,Blanco,petrol,manual,1076,79,27844,2023-07-01
129,ZZA4AD791MS348345,9760 KNZ,13,2021,Blanco,diesel,manual,1832,189,57082,2021-09-03
130,ZZAKNAGL9LF981382,8721 CBK,13,2020,Negro,diesel,manual,1468,161,96005,2020-03-11
131,ZZCYV0ZS3LF572987,4986 MGH,67,2020,Blanco,diesel,manual,1249,102,72797,2020-06-13
132,ZZHAXNVT0BH628274,0438 SCX,1,2011,Gris,petrol,manual,1758,179,319371,2011-05-07
133,ZZLE0VEN5MN022809,0940 FYZ,22,2021,Rojo,diesel,manual,2281,220,93792,2021-04-22
134,ZZM0GSBF0JL192788,7218 DKZ,37,2018,Blanco,diesel,manual,1515,127,98615,2018-04-07
135,ZZD7K8W97GB648885,4161 FYT,62,2016,Blanco,diesel,manual,2048,144,131807,2016-08-10
136,ZZH14JMP6RY016807,0113 VDY,38,2024,Blanco,diesel,manual,1906,118,15023,2024-02-27
137,ZZAY3LPA7LG761727,2208 WGT,55,2020,Gris,diesel,automatic,1024,97,96345,2020-01-04
138,ZZGLPX1S8JZ303497,9393 RGL,64,2018,Plata,diesel,automatic,2220,223,18233,2018-01-06
139,ZZHMAEHC4DF468733,4312 LLM,50,2013,Plata,petrol,manual,1287,102,105151,2013-09-26
140,ZZD2BHM82MP035785,8789 HGM,10,2021,Negro,diesel,manual,1253,118,76575,2021-06-03
141,ZZHY3YUM7EN747368,1046 KSP,1,2014,Gris,hybrid,automatic,2080,147,129138,2014-01-05
142,ZZKWNLJA3NM970327,7513 VPJ,51,2022,Amarillo,petrol,manual,1943,160,26101,2022-08-29
143,ZZHVPB7L6LJ255636,5816 WPZ,32,2020,Negro,petrol,automatic,2262,275,77913,2020-12-12
144,ZZAVSK1EXJX252966,7073 NDG,13,2018,Negro,diesel,automatic,1387,145,65571,2018-09-01
145,ZZN6KGHUXNU278035,1207 LTK,9,2022,Gris,lpg,manual,2224,193,46355,2022-01-10
146,ZZH8ZT4G7LM568438,9743 XTM,25,2020,Verde,diesel,manual,1199,76,67542,2020-11-29
147,ZZJBB5LU1RR504337,2853 YTY,14,2024,Gris,diesel,manual,2418,246,13901,2024-07-02
148,ZZH0WLNN0CC798234,0351 HZX,50,2012,Gris,diesel,manual,1070,101,218463,2012-05-10
149,ZZD46DT04LX448551,8062 YVB,47,2020,Azul,petrol,automatic,1673,219,91042,2020-05-19
150,ZZHEWZJ26MT302794,2746 YDM,32,2021,Gris,plug_in_hybrid,manual,2121,298,65717,2021-02-19
151,ZZC3KS1R7LY703995,9901 JXN,36,2020,Blanco,hybrid,manual,2016,257,18831,2020-08-15
152,ZZJRZCRM2JA666339,5500 DBG,28,2018,Azul,diesel,manual,1865,180,142080,2018-01-26
153,ZZHTKTV1XBK318968,7534 ZND,11,2011,Blanco,electric,automatic,0,160,279210,2011-06-17
154,ZZFBWDZ40RA728438,7714 RYX,31,2024,Negro,petrol,automatic,2122,307,13309,2024-08-02
155,ZZMSUNCA6MX437693,7492 TCD,37,2021,Gris,diesel,automatic,1767,149,7665,2021-08-30
156,ZZMFWC352SB005034,1465 XCT,58,2025,Azul,hybrid,manual,1080,102,1619,2025-03-30
157,ZZG1AK244SE087670,0221 PVF,35,2025,Blanco,petrol,automatic,1860,246,1969,2025-05-09
158,ZZN7ZWSR4NP820274,6138 NSH,9,2022,Rojo,electric,automatic,0,228,37125,2022-01-20
159,ZZD4S77T9RW046850,4798 GVP,20,2024,Blanco,hybrid,automatic,1467,102,25552,2024-01-16
160,ZZHEBSZEXFZ481388,4737 CKF,11,2015,Plata,petrol,manual,1594,158,82923,2015-06-22
161,ZZK6TSWC9LE406425,7907 YRZ,26,2020,Negro,petrol,automatic,1782,178,68860,2020-08-20
162,ZZHH6AWZ8BP058740,0644 SJM,1,2011,Gris,hybrid,manual,2180,244,219417,2011-06-07
163,ZZMZ5Z0U5RV107726,2448 CFZ,45,2024,Marrón,hybrid,automatic,1510,141,2764,2024-09-28
164,ZZFXKF1F0SK403413,6575 NXN,33,2025,Gris,petrol,manual,1548,96,967,2025-06-26
165,ZZBGP0BJ9FB371263,8204 NLK,3,2015,Negro,lpg,automatic,1637,116,158081,2015-11-19
166,ZZNMZKYP0LG007111,4418 MNV,63,2020,Negro,plug_in_hybrid,manual,1834,122,58931,2020-06-25
167,ZZBGZZV07MA442268,8811 HRY,40,2021,Blanco,plug_in_hybrid,automatic,1962,292,50782,2021-06-25
168,ZZBP5U8G4GX515573,8578 KBF,54,2016,Plata,lpg,automatic,1634,203,80673,2016-12-28
169,ZZGPPT2A3SH010131,3283 XYG,16,2025,Rojo,diesel,manual,1666,218,3299,2025-05-05
170,ZZLT5YPU8DM103162,0800 GYH,60,2013,Blanco,plug_in_hybrid,automatic,1498,122,121097,2013-11-09
171,ZZCVBWEX1SK977929,2481 YZZ,41,2025,Gris,petrol,automatic,1367,113,9207,2025-02-17
172,ZZMLE0T31MY178269,7003 YCH,58,2021,Negro,plug_in_hybrid,automatic,1056,90,69761,2021-09-19
173,ZZGC4B1M1RK006539,5645 NWN,30,2024,Plata,diesel,manual,1353,101,9210,2024-05-27
174,ZZC1F0ZRXEU163931,8593 KPD,12,2014,Blanco,petrol,automatic,1216,92,146459,2014-02-14
175,ZZDJRKEZ8HK756210,1926 YXY,62,2017,Negro,petrol,manual,1724,160,77144,2017-07-27
176,ZZCCBKWK1BU120033,0914 YCS,6,2011,Blanco,diesel,manual,1746,137,74782,2011-04-15
177,ZZL8U2L85MR522457,5479 JGN,4,2021,Marrón,diesel,manual,1709,130,8607,2021-03-11
178,ZZA62LPN3PA395805,9284 BPL,13,2023,Plata,diesel,automatic,1350,166,25356,2023-05-30
179,ZZMVH7PB2KZ489159,4326 XTV,56,2019,Rojo,diesel,automatic,2407,191,28101,2019-03-29
180,ZZCACM2Z7RM806946,4790 LZZ,27,2024,Gris,diesel,manual,1393,128,2597,2024-12-11
181,ZZHLN59F8MG323956,3064 JLF,38,2021,Verde,petrol,manual,1472,163,27733,2021-05-06
182,ZZGMNKZB5KT686918,7137 JKH,48,2019,Plata,hybrid,manual,1755,252,58708,2019-12-23
183,ZZGBTR503ND456738,3791 MKD,64,2022,Blanco,petrol,automatic,1735,252,74102,2022-07-02
184,ZZBJEV6W7AC612058,0087 PXL,42,2010,Blanco,petrol,manual,1056,94,53965,2010-08-06
185,ZZJ4BF4H9SE062579,7660 VZK,23,2025,Blanco,petrol,manual,1321,109,305,2025-05-10
186,ZZDBJUXRXLH107311,1349 NPH,62,2020,Azul,diesel,automatic,2079,139,61632,2020-12-23
187,ZZJDVNTH1SW951261,3049 HND,14,2025,Gris,petrol,manual,2346,286,1366,2025-05-10
188,ZZL0MXS59LG992647,5964 XJY,22,2020,Negro,diesel,automatic,1700,239,46860,2020-06-04
189,ZZM0JEV34LV017892,7412 MNP,56,2020,Azul,hybrid,manual,1732,218,68235,2020-10-06
190,ZZCNY0ZW6RR753361,3874 YWC,57,2024,Blanco,diesel,manual,1859,160,18603,2024-07-10
191,ZZC82K832MT145561,6370 DYN,69,2021,Blanco,plug_in_hybrid,manual,2477,255,66008,2021-10-04
192,ZZHV71DG0RF587200,5225 LFL,17,2024,Negro,petrol,manual,1035,65,11109,2024-01-09
193,ZZDGAD3J1DU615374,9485 SHF,47,2013,Blanco,petrol,automatic,2109,260,205055,2013-08-20
194,ZZC7626H4SM891905,7602 JSJ,41,2025,Blanco,petrol,manual,1372,100,1273,2025-06-27
195,ZZMDRV818HG066433,7992 PTC,56,2017,Blanco,diesel,manual,1937,169,145596,2017-03-07
196,ZZK2PZL42FC186456,9911 NMR,68,2015,Negro,hybrid,manual,1431,129,79618,2015-07-17
197,ZZCNVGJ75NJ370994,9220 WKN,69,2022,Gris,petrol,manual,2011,135,46116,2022-01-15
198,ZZCLL73U8NM728085,3701 KFK,67,2022,Negro,petrol,manual,1116,95,26477,2022-07-07
199,ZZC6J3Z11GK401048,1187 MRP,6,2016,Gris,hybrid,automatic,1846,168,131785,2016-12-04
200,ZZCP2JGDXPC836275,1418 DMT,12,2023,Blanco,diesel,manual,1137,99,5604,2023-08-21
201,ZZKHYVP09EB666540,0386 KYJ,68,2014,Azul,petrol,manual,1478,119,120751,2014-05-15
202,ZZBKS9BXXAU276404,7661 MCR,8,2010,Gris,diesel,manual,1474,177,163392,2010-05-27
203,ZZM7DN1V4SY867581,2577 TGZ,58,2025,Rojo,hybrid,manual,1040,93,2025,2025-06-05
204,ZZB3BRCY9LB484493,9428 DNM,19,2020,Amarillo,diesel,manual,1783,127,66218,2020-08-14
205,ZZCUJYNZXNN108034,9311 LCD,57,2022,Blanco,hybrid,manual,1632,147,68072,2022-02-18
206,ZZJJZ5T93MD863682,4296 CCC,23,2021,Negro,petrol,manual,1398,92,45758,2021-10-04
207,ZZHUU1T4XCD278199,9948 PSS,1,2012,Rojo,petrol,automatic,2406,151,198603,2012-02-25
208,ZZAHUH6D1GJ824691,9242 LCB,55,2016,Negro,diesel,manual,1074,92,96363,2016-06-28
209,ZZBBAP3R3NK303046,8469 NKW,40,2022,Plata,diesel,automatic,1757,150,32152,2022-08-04
210,ZZH1A5126GN398019,9807 WYN,25,2016,Rojo,diesel,manual,1113,95,147577,2016-12-21
211,ZZKG5EGEXEW780023,5009 SJV,68,2014,Azul,hybrid,manual,1398,108,141578,2014-08-01
212,ZZC8LEVM9SB410393,7857 DLV,57,2025,Rojo,lpg,manual,1211,136,1919,2025-06-17
213,ZZFH7D807RW295354,1553 KXX,31,2024,Blanco,petrol,manual,2475,286,6612,2024-01-04
214,ZZB9KFCS1ES250338,9886 SKD,8,2014,Gris,diesel,automatic,2235,270,138514,2014-06-01
215,ZZC8EPD6XNA394742,3824 LCT,41,2022,Blanco,diesel,automatic,1084,126,41048,2022-01-22
216,ZZLGL4FV0LY208750,7963 BSG,65,2020,Gris,diesel,manual,1109,87,87121,2020-05-24
217,ZZBLWU2Z9NW826246,1821 GNF,40,2022,Blanco,petrol,manual,1890,201,35113,2022-03-23
218,ZZN6A3368NM715227,4280 LRH,46,2022,Blanco,plug_in_hybrid,automatic,2023,178,49288,2022-10-08
219,ZZB0VKUZ3LP866207,9614 MMC,24,2020,Blanco,electric,automatic,0,110,40212,2020-05-19
220,ZZNUU0BG0CJ884003,4901 MKV,63,2012,Plata,plug_in_hybrid,manual,1355,188,152804,2012-03-17
221,ZZJBSWBKXSC288051,1622 DZZ,23,2025,Plata,petrol,manual,1401,96,4414,2025-03-11
222,ZZGKRW9J3DZ790785,0458 WTZ,5,2013,Azul,petrol,manual,919,90,225604,2013-06-11
223,ZZKUDZ1N4GY020621,1936 BSH,68,2016,Gris,plug_in_hybrid,automatic,1134,108,118059,2016-10-12
224,ZZK81FU03NS158482,1986 NGR,26,2022,Plata,petrol,manual,1652,233,46824,2022-02-15
225,ZZB2RYWS3EY809776,7113 GDX,8,2014,Blanco,plug_in_hybrid,manual,1417,259,119059,2014-11-27
226,ZZCFJATT5KY539499,5955 VXV,69,2019,Rojo,diesel,manual,2351,264,114450,2019-11-22
227,ZZGD4E216DC163660,1565 VBB,5,2013,Plata,diesel,manual,1047,88,189023,2013-03-02
228,ZZNFDPZS5RA564776,7419 JVW,39,2024,Plata,petrol,automatic,947,65,14625,2024-02-09
229,ZZCCD1XG8SJ768551,3510 BGC,66,2025,Negro,petrol,automatic,2201,233,900,2025-05-31
230,ZZHBXBNJ6BL018393,9745 CGL,11,2011,Plata,diesel,automatic,1402,126,189438,2011-02-24
231,ZZN3C33B8NE180582,7500 BRY,29,2022,Naranja,diesel,manual,1921,142,19537,2022-11-01
232,ZZG1Z4XR7NJ548428,1928 DBB,30,2022,Plata,diesel,automatic,1229,117,32879,2022-10-17
233,ZZMY3EVZ1JW497091,7872 CYJ,56,2018,Blanco,diesel,manual,2018,174,85633,2018-08-30
234,ZZC9SBEE8NX027647,8678 ZVP,12,2022,Marrón,petrol,manual,1059,103,69779,2022-05-08
235,ZZBPLXSN0AS372995,5561 DZJ,42,2010,Rojo,hybrid,automatic,1179,99,209052,2010-09-09
236,ZZNTLNXP3NS574977,1127 MWP,9,2022,Azul,plug_in_hybrid,manual,1954,248,24532,2022-02-14
237,ZZAP0MG56JG021435,4809 ZYK,13,2018,Rojo,diesel,manual,1709,175,137611,2018-01-18
238,ZZCD2HME6LP070038,7415 NJJ,36,2020,Plata,petrol,automatic,1987,209,112188,2020-05-01
239,ZZJGHHW64LG939200,8590 MDR,28,2020,Marrón,petrol,manual,1435,152,59610,2020-11-28
240,ZZCR49PN5PW845328,7457 BVD,66,2023,Plata,petrol,automatic,2085,252,34706,2023-11-15
241,ZZNM54XX0HD415657,5201 XKM,21,2017,Plata,diesel,manual,1559,174,37835,2017-10-02
242,ZZHV8CEL5SR365051,6153 CLF,38,2025,Gris,diesel,automatic,1263,184,5355,2025-02-04
243,ZZFGMWNR2FR647222,6500 FRK,49,2015,Blanco,petrol,manual,1729,113,167123,2015-03-03
244,ZZBMHTV08NM474178,6374 JMD,40,2022,Blanco,hybrid,manual,2384,155,31629,2022-06-27
245,ZZCTTMVR8CA179039,7145 ZFL,6,2012,Negro,plug_in_hybrid,manual,1211,187,178527,2012-05-25
246,ZZMNCNNS8DW843373,0885 YKH,34,2013,Plata,hybrid,manual,2379,279,238712,2013-07-28
247,ZZAL96TH3FB718209,0450 BZH,55,2015,Gris,petrol,automatic,1346,104,19049,2015-12-21
